N	2gram	Berdyaev_M	Tvorches
1	у достоевского	75	91
2	и в	61	56
3	как бы	10	41
4	в его	10	37
5	романах достоевского	2	32
6	в романах	2	30
7	в то	2	30
8	достоевского в	10	27
9	подпольный человек	6	26
10	то же	4	25
11	не только	42	24
12	но в	12	24
13	то есть	3	23
14	и его	13	23
15	и не	26	23
16	а в	4	23
17	как и	14	23
18	достоевского не	7	22
19	в этом	34	22
20	в том	9	21
21	из подполья	11	21
22	что в	12	21
23	том что	7	19
24	он не	34	19
25	может быть	42	19
26	в преступлении	3	19
27	потому что	25	19
28	у него	38	18
29	то что	10	18
30	что он	16	17
31	все это	6	17
32	и на	9	17
33	никогда не	30	16
34	достоевский не	9	16
35	прежде всего	18	16
36	достоевского с	3	16
37	как в	9	16
38	не может	39	16
39	в бесах	8	16
40	но и	34	16
41	в творчестве	13	16
42	xix века	4	15
43	в этой	12	15
44	с его	6	15
45	но это	8	15
46	в мире	12	15
47	и с	6	15
48	это не	10	14
49	подпольного человека	7	14
50	достоевский в	7	14
51	преступление и	2	13
52	творчестве достоевского	7	13
53	о том	5	13
54	а не	36	13
55	в котором	9	12
56	достоевского это	3	11
57	преступления и	4	11
58	все же	2	11
59	в своей	18	11
60	братьях карамазовых	5	11
61	для него	28	11
62	что достоевский	4	11
63	героев достоевского	2	11
64	иван карамазов	18	10
65	в конце	11	10
66	не в	16	10
67	так и	5	10
68	уже в	6	10
69	в русской	4	10
70	герои достоевского	6	10
71	и наказания	2	10
72	достоевского как	2	10
73	но не	8	10
74	в самом	15	10
75	когда он	3	10
76	и достоевский	18	10
77	он сам	11	10
78	только в	7	10
79	как будто	4	10
80	в свою	5	9
81	в братьях	5	9
82	по природе	2	9
83	в нем	26	9
84	один из	9	9
85	и от	3	9
86	человека в	26	9
87	жизни в	3	9
88	для достоевского	11	9
89	в своих	4	9
90	так же	5	8
91	в себе	12	8
92	человека и	19	8
93	в духе	6	8
94	в их	4	8
95	ивана карамазова	10	8
96	так как	10	8
97	к этому	3	8
98	об этом	2	8
99	достоевским в	5	8
100	одним из	2	8
101	романов достоевского	3	8
102	хотя и	2	8
103	вместе с	7	8
104	в записках	2	7
105	за собой	2	7
106	творчество достоевского	16	7
107	достоевского и	12	7
108	самом деле	2	7
109	достоевского к	8	7
110	в чем	3	7
111	человеческой личности	11	7
112	и он	21	7
113	что она	5	7
114	в которой	8	7
115	в этих	6	7
116	уже не	8	7
117	его в	6	6
118	но у	2	6
119	приводит к	2	6
120	записках из	2	6
121	так что	3	6
122	и все	13	6
123	место в	4	6
124	все эти	3	6
125	о великом	6	6
126	и ее	2	6
127	настасьи филипповны	2	6
128	если он	7	6
129	хотя бы	8	6
130	достоевского нет	7	6
131	и как	3	6
132	записок из	5	6
133	если бы	5	6
134	еще более	3	6
135	достоевского но	4	6
136	в момент	3	6
137	с ним	5	6
138	своих героев	2	6
139	бы не	4	5
140	ничего не	4	5
141	в идиоте	3	5
142	до конца	16	5
143	не имеют	2	5
144	приходит к	2	5
145	по отношению	4	5
146	но если	4	5
147	и у	3	5
148	но эта	2	5
149	и других	2	5
150	как он	4	5
151	великом инквизиторе	7	5
152	это все	2	5
153	в образе	4	5
154	в своем	17	5
155	не так	6	5
156	в них	5	5
157	и это	16	5
158	быть может	9	5
159	значит что	4	5
160	что не	3	5
161	настасья филипповна	4	5
162	что и	6	5
163	в ее	3	5
164	мы не	2	5
165	и по	4	5
166	что они	4	5
167	в истории	2	5
168	что это	5	5
169	в наше	2	5
170	все время	3	5
171	в россии	2	5
172	с этим	4	5
173	из этой	2	5
174	что человек	5	5
175	мысли и	2	5
176	на деле	4	5
177	та же	4	5
178	между тем	2	5
179	как у	2	5
180	отношению к	4	5
181	что у	3	5
182	самого достоевского	2	5
183	по достоевскому	3	5
184	его романах	2	5
185	я не	4	5
186	не было	25	5
187	достоевский как	2	5
188	но с	2	5
189	и потому	17	4
190	добра и	8	4
191	в человеке	10	4
192	не был	8	4
193	он же	3	4
194	роль в	2	4
195	это и	7	4
196	эта мысль	3	4
197	романы достоевского	2	4
198	не знает	12	4
199	в такой	4	4
200	того что	13	4
201	что все	5	4
202	к нему	8	4
203	точки зрения	6	4
204	могут быть	2	4
205	сих пор	5	4
206	же не	2	4
207	мы видим	4	4
208	было в	3	4
209	и я	5	4
210	в основе	4	4
211	и когда	2	4
212	и мы	2	4
213	нет ничего	9	4
214	по преимуществу	4	4
215	в каждом	4	4
216	особенно в	3	4
217	себя в	6	4
218	говорит что	3	4
219	это значит	3	4
220	о достоевском	8	4
221	тем что	7	4
222	на земле	7	4
223	мити карамазова	5	4
224	он ни	2	4
225	и есть	21	4
226	с этой	4	4
227	его и	2	4
228	в дневнике	4	4
229	ведет к	16	4
230	не означает	2	4
231	и более	2	4
232	не мог	6	4
233	настасье филипповне	2	4
234	с собой	5	4
235	в которых	5	4
236	братья карамазовы	2	4
237	личности и	3	4
238	еще в	4	4
239	личности в	4	4
240	достоевский и	4	4
241	это был	2	4
242	той же	3	4
243	связана с	9	4
244	достоевского есть	25	4
245	но он	17	4
246	до сих	5	4
247	не есть	21	3
248	этого вопроса	3	3
249	ее и	2	3
250	для человека	5	3
251	его к	2	3
252	на самом	2	3
253	от него	4	3
254	я бы	2	3
255	бога и	13	3
256	и зла	9	3
257	к себе	3	3
258	отношение к	9	3
