N	3gram	Tiupa_Narr	Dialekti
1	с точки зрения	2	46
2	в том что	8	25
3	не может быть	5	18
4	не что иное	2	18
5	что иное как	2	18
6	тем не менее	3	16
7	то же время	3	15
8	в то же	3	14
9	в таком случае	2	14
10	о том что	6	12
11	с другой стороны	4	12
12	подобно тому как	2	9
13	то или иное	2	9
14	той или иной	4	7
15	можно сказать что	4	7
16	сами по себе	2	7
17	точно так же	2	7
18	в связи с	2	7
19	так или иначе	2	7
20	более или менее	2	6
21	с одной стороны	7	6
22	не отличается от	2	5
23	так же как	2	4
24	в данном случае	4	4
25	этой точки зрения	2	4
26	к тому же	4	4
27	не только о	2	4
28	в этом отношении	3	4
29	можно было бы	2	4
30	не может не	2	4
31	бы то ни	3	3
32	речь идет о	2	3
33	не только в	2	3
34	ту или иную	2	3
35	но все же	4	3
36	того или иного	2	3
37	в той или	2	3
38	и не в	4	2
39	перед нами не	2	2
40	на первый взгляд	2	2
41	в свою очередь	3	2
42	мы имеем дело	2	2
