N	3gram	Losev_Prob	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	9	6
3	во всяком случае	8	6
4	для того чтобы	4	5
5	по крайней мере	9	5
6	до сих пор	4	5
7	более или менее	2	5
8	о том что	8	4
9	в конце концов	4	3
10	так же как	3	3
11	точно так же	5	3
12	так или иначе	2	3
13	всяком случае не	2	3
14	тем не менее	23	3
15	в том что	17	3
16	в связи с	9	3
17	то ни было	4	2
18	и в этом	6	2
19	бы то ни	5	2
20	можно сказать что	2	2
21	ничего общего с	2	2
22	на то что	2	2
23	то же самое	17	2
24	то или иное	3	2
25	в то же	10	2
26	той или иной	16	2
27	в том виде	4	2
28	может быть и	3	2
29	в значительной мере	2	2
30	то ясно что	2	2
31	этой точки зрения	2	2
32	по сравнению с	3	2
33	может быть даже	4	2
