N	2gram	Vygotskiy_	formyVre
1	и в	65	148
2	в этом	37	73
3	то есть	30	70
4	в романе	2	58
5	в нем	8	51
6	прежде всего	2	46
7	и т	19	40
8	и не	20	37
9	в его	11	36
10	и его	8	36
11	вовсе не	11	35
12	но и	6	33
13	то же	17	32
14	т п	7	32
15	не только	16	32
16	но в	5	31
17	жизни и	6	31
18	так и	3	29
19	может быть	33	27
20	не в	12	26
21	как мы	12	26
22	как и	12	25
23	как бы	29	25
24	мы уже	12	24
25	точки зрения	19	24
26	в то	5	23
27	только в	9	23
28	то что	61	22
29	в том	46	22
30	все эти	7	21
31	связи с	2	21
32	во всех	4	21
33	в своем	8	19
34	и для	4	19
35	и на	7	19
36	у него	6	18
37	и все	14	18
38	по существу	4	18
39	еще не	3	18
40	таким образом	21	18
41	с этим	11	17
42	те же	2	17
43	при этом	10	17
44	так как	13	17
45	все же	10	16
46	того же	4	16
47	и во	3	16
48	в основе	5	16
49	не может	17	16
50	и их	2	16
51	никогда не	9	15
52	в них	4	15
53	так сказать	6	15
54	в одном	9	15
55	с точки	11	15
56	с его	2	15
57	вместе с	10	15
58	так же	12	14
59	все это	12	14
60	всех этих	2	14
61	и как	10	14
62	в конце	5	14
63	и с	4	14
64	как раз	14	14
65	а не	11	14
66	роль в	2	13
67	в их	3	13
68	в частности	3	13
69	а в	9	13
70	с другом	2	13
71	здесь в	4	13
72	того чтобы	21	13
73	же в	2	13
74	во время	4	13
75	друг с	2	13
76	для того	18	13
77	как в	8	13
78	в котором	7	13
79	в самом	41	13
80	с ним	6	13
81	ничего не	4	12
82	отнюдь не	2	12
83	в истории	3	12
84	не было	4	12
85	время в	5	12
86	и до	4	12
87	конечно не	6	12
88	и наконец	2	12
89	но не	3	12
90	потому что	26	12
91	он не	11	12
92	что в	36	12
93	его в	5	11
94	романе в	2	11
95	в ней	23	11
96	ни в	6	11
97	из них	10	11
98	здесь не	3	10
99	в ее	9	10
100	тот же	5	10
101	кроме того	2	10
102	и другие	3	10
103	сих пор	6	10
104	уже не	2	10
105	уже говорили	4	10
106	до сих	7	10
107	одного и	2	9
108	к себе	2	9
109	и других	5	9
110	и следовательно	2	9
111	жизнь и	2	9
112	наряду с	4	9
113	том что	28	9
114	и даже	4	9
115	та же	6	9
116	и это	13	9
117	с другой	8	9
118	для него	4	9
119	но все	2	9
120	есть в	3	9
121	в самой	9	9
122	их в	4	9
123	отношения к	3	9
124	до конца	5	8
125	это не	7	8
126	и прежде	2	8
127	к тому	18	8
128	отношение к	2	8
129	в целом	8	8
130	один из	7	8
131	что и	7	8
132	во всяком	6	8
133	здесь мы	6	8
134	и то	10	8
135	характер и	2	8
136	время как	6	8
137	в результате	3	8
138	и по	2	8
139	если бы	22	8
140	в этих	3	8
141	со всеми	2	8
142	с одной	7	8
143	в жизни	6	8
144	в мире	3	8
145	и к	5	8
146	в некоторых	2	8
147	в виду	6	8
148	для всех	2	7
149	в себе	9	7
150	у них	2	7
151	того что	9	7
152	между собой	2	7
153	в той	8	7
154	место в	6	7
155	было бы	22	7
156	например в	5	7
157	имеет место	2	7
158	к этому	5	7
159	из этих	6	7
160	и он	5	7
161	в которой	8	7
162	с ее	5	7
163	т д	6	7
164	ее в	7	7
165	к ним	3	7
166	еще более	2	7
167	то время	4	7
168	но он	5	7
169	все они	3	6
170	не могут	2	6
171	и ее	4	6
172	есть не	2	6
173	но эта	3	6
174	своей жизни	2	6
175	к смерти	2	6
176	с тем	14	6
177	одной стороны	6	6
178	в основу	2	6
179	между двумя	3	6
180	мы видим	15	6
181	в качестве	2	6
182	во всей	3	6
183	сказать что	14	6
184	событий и	3	6
185	мы не	7	6
186	мы можем	12	6
187	значение имеет	2	6
188	в сущности	16	6
189	не является	2	6
190	только для	3	6
191	автора и	2	6
192	о том	17	6
193	именно в	3	6
194	все что	2	6
195	имеем в	3	6
196	в которых	9	6
197	в таком	6	6
198	слова и	3	6
199	в совершенно	3	6
200	не имеют	4	5
201	был бы	4	5
202	он должен	2	5
203	только на	3	5
204	так что	10	5
205	ничем не	3	5
206	одно из	4	5
207	от этого	4	5
208	они не	2	5
209	что все	10	5
210	там где	7	5
211	что они	9	5
212	всего этого	3	5
213	в этой	20	5
214	одно и	4	5
215	хотя бы	3	5
216	мы имеем	2	5
217	в своей	6	5
218	по преимуществу	2	5
219	об этом	4	5
220	в порядке	4	5
221	тем что	7	5
222	они как	2	5
223	с этой	5	5
224	или как	2	5
225	но они	2	5
226	не имеет	8	5
