N	2gram	Voloshinov	OGranits
1	и в	32	13
2	и его	33	12
3	абстрактного объективизма	33	10
4	прежде всего	19	9
5	и не	42	8
6	не может	40	8
7	может быть	50	8
8	в его	10	7
9	и пр	31	7
10	и их	2	7
11	точки зрения	48	7
12	и т.п	17	7
13	не только	18	6
14	социального общения	15	6
15	мы должны	4	6
16	как бы	31	6
17	таким образом	29	6
18	только в	14	6
19	то что	12	6
20	языка и	28	5
21	в материале	4	5
22	и т.д	6	5
23	все же	13	5
24	с точки	31	5
25	и эта	5	5
26	но ведь	4	5
27	хотя бы	8	5
28	в процессе	31	5
29	мы можем	6	4
30	еще и	2	4
31	но в	13	4
32	лишь в	17	4
33	то же	19	4
34	в сознании	2	4
35	тех пор	2	4
36	не является	11	4
37	в своей	5	4
38	все это	4	4
39	социальной группы	6	4
40	было бы	8	4
41	в двух	4	4
42	мы не	6	4
43	в каждом	8	4
44	слов и	3	4
45	до тех	2	4
46	вполне понятно	6	4
47	никогда не	7	3
48	одно и	3	3
49	монологическое высказывание	9	3
50	языка как	26	3
51	и для	15	3
52	слово в	5	3
53	общего с	3	3
54	и то	4	3
55	и все	8	3
56	связана с	4	3
57	в ее	9	3
58	превращается в	2	3
59	с этим	6	3
60	отношению к	9	3
61	как и	19	3
62	в пределах	7	3
63	не в	13	3
64	в их	5	3
65	говорить о	2	3
66	ничего общего	5	3
67	так как	5	3
68	понятно что	4	3
69	в себе	5	3
70	к единству	3	3
71	как системы	7	3
72	что в	5	3
73	по отношению	10	3
74	точку зрения	4	3
75	но для	4	3
76	самом деле	18	3
77	есть прежде	2	3
78	за пределы	8	3
79	пор пока	2	3
80	так и	21	3
81	что же	5	3
82	в которой	4	3
83	не как	5	3
84	к одному	5	3
85	в одном	2	3
86	экспрессивной интонации	2	3
87	здесь мы	7	3
88	но и	17	3
89	не столько	5	3
90	в самом	14	2
91	могут быть	4	2
92	мы видим	2	2
93	она является	4	2
94	конечно в	4	2
95	в этом	27	2
96	смысле слова	4	2
97	для себя	4	2
98	высказывание и	2	2
99	уже в	3	2
100	в том	13	2
101	тем что	3	2
102	в отношении	7	2
103	в целом	2	2
104	если бы	12	2
105	от этого	3	2
106	о языке	9	2
107	с одной	2	2
108	не имеет	6	2
109	или иного	2	2
110	зависимости от	4	2
111	явлений и	2	2
112	каждое слово	2	2
113	и др	3	2
114	говорить об	2	2
115	ее в	2	2
116	разрыв между	3	2
117	более того	7	2
118	в действительности	3	2
119	с другой	6	2
120	там где	4	2
121	слова и	8	2
122	и помимо	2	2
123	языковых форм	8	2
124	а в	5	2
125	и тем	4	2
126	том что	12	2
127	того или	2	2
128	же слово	2	2
129	а как	7	2
130	в жизненной	4	2
131	и к	3	2
132	в языке	8	2
133	в связи	12	2
134	в зависимости	2	2
135	этой проблемы	4	2
136	в данном	8	2
137	не менее	5	2
138	и следовательно	8	2
139	изолированное монологическое	2	2
140	с ними	5	2
141	все эти	8	2
142	в области	3	2
143	так же	10	2
144	от своего	2	2
145	мы уже	7	2
146	те же	5	2
147	нуждается в	4	2
148	и при	3	2
149	с этой	2	2
150	в своих	2	2
151	в нем	17	2
152	не на	2	2
153	жизненной речи	3	2
154	интонации в	3	2
155	при этом	13	2
156	сознания и	6	2
157	оценка и	3	2
158	и ее	4	2
159	истории языка	5	2
160	нет ничего	4	2
161	форм и	5	2
162	а не	15	2
163	во всей	2	2
164	в ней	5	2
165	общения и	5	2
166	лингвистики в	2	2
167	входит в	5	2
168	еще в	2	2
169	как в	5	2
170	другой стороны	7	2
171	школы и	2	2
172	мог бы	2	2
173	и является	4	2
174	чем же	7	2
175	одной стороны	2	2
176	бы в	4	2
177	между тем	8	2
178	в целях	3	2
179	помимо этого	2	2
180	и этот	2	2
181	исследовательского пути	2	2
182	в чем	2	2
183	общественной психологии	7	2
184	является уже	2	2
185	на язык	3	2
186	имеет место	2	2
187	тот же	4	2
188	иное как	2	2
189	не что	2	2
190	в лингвистике	5	2
191	в другом	5	2
192	самого начала	9	2
193	вовсе не	15	2
194	с самого	9	2
195	учение о	3	2
196	подойти к	3	2
197	к тому	8	2
198	с помощью	11	2
199	для него	18	2
200	может стать	7	2
