N	2gram	Vinokur_Vv	Istorich
1	и в	35	181
2	и т	45	160
3	т д	39	142
4	т е	40	133
5	может быть	30	115
6	не только	26	114
7	что он	5	111
8	мы имеем	4	102
9	что в	13	90
10	но и	7	85
11	в этом	35	81
12	так как	15	75
13	то что	19	73
14	таким образом	21	72
15	вместе с	6	71
16	и не	13	67
17	все же	9	65
18	в этих	3	64
19	еще не	4	63
20	не может	19	61
21	этих случаях	2	60
22	так же	3	57
23	то же	11	56
24	никогда не	3	56
25	в том	38	53
26	том что	30	53
27	с другой	8	52
28	а в	6	52
29	потому что	18	52
30	что и	5	51
31	и что	6	51
32	и здесь	3	51
33	мы видели	3	49
34	о том	16	48
35	а не	5	48
36	его в	6	47
37	не в	10	47
38	другой стороны	5	46
39	мы должны	2	44
40	но в	10	44
41	это не	8	43
42	и его	6	43
43	в нем	13	42
44	только в	16	42
45	как в	3	42
46	в его	12	38
47	тем что	6	38
48	и на	3	38
49	что здесь	2	37
50	так и	2	37
51	уже не	6	37
52	как и	7	37
53	мы уже	2	37
54	мы можем	2	36
55	с тем	6	35
56	что они	2	35
57	все эти	3	35
58	мы не	2	35
59	что это	3	34
60	но не	9	34
61	а именно	6	34
62	связи с	3	34
63	же как	3	33
64	об этом	6	33
65	сих пор	7	32
66	в качестве	8	32
67	представляет собой	14	31
68	ничего не	2	31
69	прежде всего	10	31
70	один из	6	31
71	то это	3	31
72	при помощи	3	30
73	с этим	3	30
74	до сих	7	30
75	с одной	4	30
76	к нему	3	30
77	но все	4	29
78	как мы	11	29
79	одной стороны	4	29
80	этом случае	6	29
81	но это	2	29
82	например в	2	28
83	что она	3	28
84	и другие	2	28
85	и с	2	28
86	как он	6	27
87	так что	5	27
88	того что	12	27
89	могут быть	6	27
90	в ней	3	26
91	как это	5	26
92	и др	2	26
93	представляют собой	9	26
94	вопрос о	10	25
95	в дальнейшем	2	25
96	раньше чем	3	24
97	было бы	7	24
98	если бы	3	24
99	в виде	4	24
100	что мы	2	24
101	к этому	3	24
102	не менее	9	24
103	того как	3	24
104	все это	6	23
105	тем не	9	23
106	в частности	3	23
107	точно так	2	23
108	в этой	3	23
109	и это	6	23
110	как бы	7	23
111	при этом	3	22
112	в одном	4	21
113	сказать что	6	21
114	в другом	3	21
115	к тому	4	21
116	здесь не	3	21
117	в связи	2	21
118	одна из	3	20
119	из них	4	20
120	в силу	3	20
121	наряду с	3	20
122	из этих	9	20
123	так например	6	19
124	а затем	2	19
125	и как	9	19
126	после того	2	19
127	на том	3	19
128	в тех	2	19
129	есть и	5	19
130	на то	2	19
131	после этого	2	18
132	в данном	11	18
133	вовсе не	6	18
134	в то	6	18
135	по существу	2	17
136	в них	5	17
137	дело не	5	17
138	не вполне	4	16
139	связана с	4	16
140	со стороны	16	16
141	в котором	4	16
142	этот вопрос	7	16
143	во всех	2	16
144	данном случае	5	15
145	в целом	5	15
146	в своей	4	15
147	уже знаем	2	15
148	и то	7	15
149	в особенности	4	15
150	и даже	6	15
151	в которых	6	15
152	как будто	3	15
153	и тем	5	15
154	увидим что	2	15
155	отношение к	3	14
156	у нас	2	14
157	должна быть	2	14
158	а также	3	14
159	с этой	5	14
160	на вопрос	6	14
161	должен был	4	14
162	можно было	8	14
163	с ней	2	14
164	отношению к	4	14
165	из которых	3	14
166	и есть	3	14
167	и ее	4	14
168	одной из	4	14
169	по отношению	4	14
170	к своему	2	13
171	своего рода	3	13
172	что иное	5	13
173	и для	4	13
174	в таких	2	13
175	в руки	6	13
176	на котором	2	13
177	тогда как	2	13
178	на этом	3	13
179	в своем	3	13
180	не имеет	4	13
181	в себе	4	13
182	не просто	5	13
183	в форме	2	13
184	по себе	11	13
185	во всем	2	12
186	в их	12	12
187	ответ на	4	12
188	как только	2	12
189	одним из	5	12
190	в более	4	12
191	хотя бы	6	12
192	чаще всего	2	12
193	только после	2	12
194	что не	5	12
195	и вот	3	11
196	от этого	5	11
197	е в	4	11
198	только с	4	11
199	точки зрения	12	11
200	хотя и	5	11
201	в этот	2	11
202	но уже	2	11
203	уже в	5	11
204	иное как	6	11
205	на нее	3	11
206	ясно что	11	11
207	в очень	3	11
208	этого не	2	11
209	не что	5	11
210	по мере	4	11
211	пока не	2	10
212	на этой	3	10
213	что же	3	10
214	в ее	11	10
215	но если	6	10
216	говорит о	3	10
217	но как	2	10
218	есть только	2	10
219	за собой	3	10
220	он и	2	10
221	не мог	2	10
222	не как	3	10
223	и других	3	10
224	а с	2	10
225	а если	2	10
226	исторической действительности	2	10
227	его к	2	10
228	о чем	4	10
229	не было	2	10
230	себя в	2	10
231	и к	3	10
232	в различных	5	10
233	а как	5	9
234	в истории	9	9
235	если это	2	9
236	в свою	2	9
237	из него	2	9
238	не могут	6	9
239	здесь нет	4	9
240	тогда когда	4	9
241	по этому	3	9
242	зависимости от	3	9
243	на этот	6	9
244	зависит от	3	9
245	жизни и	2	9
246	стоит в	2	9
247	том чтобы	6	9
248	или же	3	9
249	только на	3	9
250	в чем	4	9
251	стороны и	3	9
252	вот почему	3	9
253	в течение	5	9
254	и так	2	9
255	должен быть	4	8
256	у них	2	8
257	одно из	5	8
258	но вместе	2	8
259	для этого	3	8
260	только что	4	8
261	вообще не	3	8
262	именно в	8	8
263	что такое	12	8
264	входит в	3	8
265	тому как	2	8
266	во всяком	5	8
267	именно на	2	8
268	смысле этого	9	8
269	есть еще	3	8
270	из его	2	8
271	подобно тому	2	8
272	может оказаться	3	8
273	же самое	3	8
274	и потому	2	8
275	в зависимости	3	8
276	и из	2	8
277	но с	5	8
278	от того	3	8
279	и наоборот	3	8
280	и сам	3	8
281	можно сказать	4	8
282	независимо от	5	8
283	не с	3	8
284	в конце	3	7
285	а только	8	7
286	состоит в	2	7
287	однако в	3	7
288	того чтобы	22	7
289	себе и	2	7
290	в работе	3	7
291	связь между	5	7
292	о которых	2	7
293	есть не	5	7
294	когда мы	2	7
295	тому что	2	7
296	как она	4	7
297	в начале	3	7
298	в какой	6	7
299	того же	3	7
300	будто бы	2	7
301	всяком случае	5	7
302	по его	2	7
303	как на	12	7
304	между тем	10	7
305	и при	2	7
306	этого слова	2	7
307	уже и	10	7
308	можно только	2	7
309	этой стороны	2	7
310	для объяснения	2	7
311	не есть	5	7
312	в области	4	7
313	самом деле	7	7
314	что оно	2	7
315	не столько	2	7
316	для того	23	6
317	отличие от	4	6
318	самое что	2	6
319	дело с	9	6
320	этой точки	2	6
321	между ними	3	6
322	это еще	2	6
323	но дело	3	6
324	д но	5	6
325	и уже	3	6
326	от себя	3	6
327	той же	4	6
328	имеет свою	2	6
329	до того	2	6
330	быть и	2	6
331	д все	2	6
332	или как	3	6
333	также и	20	6
334	но что	3	6
335	это может	2	6
336	мог бы	2	6
337	только по	3	6
338	только о	2	6
339	и тогда	3	6
340	этих двух	2	6
341	чтобы он	2	6
342	в каком	3	5
343	это только	4	5
344	такого рода	3	5
345	задний план	2	5
346	это уже	2	5
347	видит в	4	5
348	как нечто	8	5
349	только как	7	5
350	в своих	2	5
351	соответствии с	2	5
352	спросить себя	3	5
353	на задний	2	5
354	в свое	3	5
355	по своему	5	5
356	говорит он	2	5
357	для них	2	5
