N	2gram	Tiupa_Disk	KFilosof
1	может быть	29	45
2	в его	9	42
3	в нем	16	32
4	не может	17	29
5	и не	25	28
6	и в	27	28
7	по отношению	13	26
8	в котором	7	24
9	отношению к	13	22
10	не есть	3	22
11	в себе	22	21
12	и его	4	18
13	только в	9	18
14	в своем	11	17
15	в ее	4	17
16	а не	35	17
17	в этом	29	15
18	не в	8	13
19	для него	9	13
20	точки зрения	6	13
21	но не	17	12
22	и это	3	12
23	ни в	7	12
24	в своей	10	11
25	во всех	6	11
26	все эти	2	11
27	это не	5	10
28	в целом	5	10
29	в едином	2	10
30	все это	2	10
31	с точки	3	10
32	и есть	2	10
33	в их	5	9
34	но и	22	9
35	как бы	9	9
36	и все	5	9
37	себя в	8	8
38	не было	9	8
39	лишь в	4	8
40	со стороны	17	8
41	в мире	9	8
42	жизни и	2	8
43	в себя	7	8
44	для себя	6	7
45	то что	10	7
46	уже не	7	7
47	отнюдь не	11	7
48	что и	5	7
49	во всем	2	7
50	момент в	3	7
51	должно быть	2	6
52	отношение к	6	6
53	жизнь как	2	6
54	мира в	6	6
55	в том	29	6
56	но все	2	6
57	место в	2	6
58	но это	3	6
59	он не	4	6
60	никогда не	3	5
61	принципиально не	2	5
62	все же	8	5
63	не только	36	5
64	мы имеем	4	5
65	но как	2	5
66	бы быть	3	5
67	его как	3	5
68	хотя бы	3	5
69	то же	12	5
70	жизни в	4	5
71	ни одно	2	5
72	еще не	20	5
73	не знает	4	5
74	а в	5	5
75	но в	15	5
76	в контексте	3	5
77	как и	27	5
78	именно в	5	5
79	время и	2	5
80	жизни как	2	5
81	в одном	5	5
82	себя и	2	5
83	я и	3	5
84	в основе	11	5
85	это мир	2	4
86	тем самым	6	4
87	том что	27	4
88	что в	8	4
89	могла бы	2	4
90	не как	5	4
91	и т.д	5	4
92	времени и	5	4
93	чем не	3	4
94	о нем	3	4
95	прежде всего	17	4
96	в чем	2	4
97	к ним	3	4
98	в своих	6	4
99	мира и	3	4
100	входит в	2	4
101	при этом	22	4
102	должна быть	2	4
103	как его	2	4
104	между тем	5	4
105	до конца	2	3
106	или иного	2	3
107	слово не	2	3
108	того или	3	3
109	в то	8	3
110	в каждом	2	3
111	в другом	5	3
112	это и	2	3
113	события в	3	3
114	тем что	4	3
115	и тем	2	3
116	в современной	2	3
117	в момент	2	3
118	самом деле	2	3
119	в виду	2	3
120	к чему	2	3
121	с человеком	3	3
122	по своему	3	3
123	смысл в	2	3
124	не менее	6	3
125	не должно	2	3
126	о том	12	3
127	в акте	3	3
128	бытия а	2	3
129	в ней	2	3
130	в свою	3	3
131	могут быть	5	3
132	но для	2	3
133	котором он	2	3
134	во мне	4	3
135	но здесь	2	3
136	и на	8	3
137	что не	4	3
138	ближе к	2	3
139	и другого	2	3
140	того что	4	3
141	мы не	2	3
142	той или	6	3
143	и может	3	3
144	жизни но	2	3
145	быть и	2	3
146	не о	2	2
147	и то	4	2
148	чтобы не	2	2
149	в соответствии	4	2
150	или иной	8	2
151	и потому	3	2
152	научного мышления	3	2
153	в данном	9	2
154	его с	2	2
155	сознания в	2	2
156	говорить о	3	2
157	и ее	5	2
158	дело в	3	2
159	к этому	4	2
160	дело не	3	2
161	вопрос о	2	2
162	в составе	5	2
163	это было	2	2
164	эстетического субъекта	2	2
165	с ее	3	2
166	к себе	2	2
167	к содержанию	3	2
168	как к	2	2
169	и как	9	2
170	в принципе	4	2
171	всей его	2	2
172	в области	3	2
173	а с	8	2
174	одного и	5	2
175	он ни	2	2
176	ибо это	2	2
177	что он	6	2
178	вследствие этого	4	2
179	так и	14	2
180	этом мире	2	2
181	ни к	11	2
182	едва ли	2	2
183	в жизни	2	2
184	как в	16	2
185	всей своей	2	2
186	дело с	2	2
187	ему в	3	2
188	и само	2	2
189	оно не	2	2
190	не нужно	2	2
191	а по	2	2
192	соответствии с	5	2
193	эстетическая деятельность	3	2
194	чего не	3	2
195	в процессе	6	2
196	переживание переживания	2	2
197	один из	3	2
198	по себе	3	2
199	потому что	7	2
200	и того	6	2
201	сводится к	7	2
202	человек не	2	2
203	слова в	2	2
204	не следует	4	2
205	в качестве	45	2
206	же время	9	2
207	в этой	5	2
208	основе своей	4	2
209	с его	9	2
