N	3gram	Medvedev_F	Hudozhes
1	по отношению к	4	10
2	не сводится к	2	9
3	в том что	3	8
4	в то же	13	7
5	в отличие от	2	7
6	то же время	13	7
7	с другой стороны	4	6
8	более или менее	7	6
9	для того чтобы	3	5
10	того или иного	6	4
11	не может быть	11	4
12	с точки зрения	17	3
13	с одной стороны	5	3
14	тем не менее	2	3
15	в этом смысле	3	3
16	в связи с	9	3
17	и прежде всего	2	2
18	бы то ни	4	2
19	до известной степени	3	2
20	в противном случае	2	2
21	и в то	4	2
22	в самом деле	5	2
23	в значительной степени	3	2
24	к тому что	3	2
25	может быть и	4	2
26	сама по себе	2	2
27	в свою очередь	6	2
