N	3gram	Tiupa_Hudo	DiskursI
1	в том что	15	28
2	по отношению к	15	17
3	с одной стороны	4	14
4	не может быть	5	12
5	в данном случае	3	12
6	то же время	11	10
7	о том что	14	9
8	в то же	11	8
9	в этом отношении	4	8
10	состоит в том	3	8
11	как и в	5	7
12	с точки зрения	5	6
13	в конечном счете	4	6
14	но при этом	3	5
15	в русской литературе	3	5
16	то же самое	3	5
17	что же касается	2	5
18	подобно тому как	4	5
19	в значительной степени	3	5
20	не только в	4	5
21	по своей природе	2	5
22	несет в себе	4	5
23	в первую очередь	2	5
24	анекдота и притчи	8	4
25	тем не менее	6	4
26	не в том	2	4
27	по сути дела	2	4
28	не более чем	2	4
29	содержит в себе	2	3
30	в том случае	2	3
31	это прежде всего	2	3
32	том что в	4	3
33	как будто бы	3	3
34	того или иного	4	3
35	пока еще не	2	3
36	к себе самому	2	2
37	на том что	2	2
38	речь идет о	2	2
39	в немалой степени	2	2
40	в предыдущей главе	3	2
41	ни о чем	3	2
42	так и не	3	2
43	и притчевого начал	2	2
44	роли в миропорядке	2	2
45	в творчестве чехова	3	2
46	том случае если	2	2
47	анекдотического и притчевого	2	2
48	для своего времени	2	2
49	одних и тех	2	2
50	и тех же	2	2
51	только в том	4	2
52	и в то	2	2
53	все же не	2	2
