N	3gram	Vygotskiy_	VLabPisa
1	и т д	10	16
2	в этом отношении	7	14
3	и т п	23	9
4	с другой стороны	7	8
5	не может быть	14	8
6	по этому поводу	3	7
7	более или менее	3	6
8	в конечном счете	6	5
9	в то же	2	5
10	в том что	21	5
11	то же время	2	5
12	в зависимости от	6	5
13	вместе с тем	3	4
14	в одном из	2	4
15	в художественном произведении	8	4
16	не было бы	3	4
17	к тому что	2	4
18	можно сказать что	2	4
19	в связи с	2	4
20	не могут быть	2	4
21	мы видели что	2	3
22	подобно тому как	7	3
23	для того чтобы	11	3
24	в этой области	3	3
25	о том что	9	3
26	в конце концов	6	2
27	с одной стороны	6	2
28	не только не	4	2
29	во всяком случае	7	2
30	от того что	2	2
31	только то что	2	2
32	и в процессе	3	2
33	этой точки зрения	7	2
34	в чем же	2	2
35	и не может	2	2
36	мы знаем что	3	2
37	до сих пор	8	2
38	не в том	7	2
39	которая не может	2	2
40	только в том	4	2
41	таким образом в	2	2
42	в том чтобы	9	2
43	приводит к тому	2	2
44	можно было бы	2	2
