N	2gram	Tiupa_Teor	Mirosoze
1	и в	24	97
2	может быть	22	64
3	не только	24	63
4	в этом	12	55
5	но и	14	54
6	он не	5	53
7	а не	14	53
8	в нем	7	49
9	не может	8	49
10	у него	2	47
11	и не	17	39
12	никогда не	4	38
13	потому что	3	37
14	не в	9	34
15	для него	5	31
16	но он	4	30
17	прежде всего	3	29
18	как и	6	29
19	но в	12	27
20	в мире	26	27
21	человека и	2	26
22	и это	2	25
23	в своей	8	25
24	у нас	2	24
25	в своем	7	23
26	ведет к	2	23
27	что в	10	23
28	что он	4	22
29	в самом	7	21
30	в себе	14	20
31	отношение к	7	20
32	как бы	8	19
33	в его	12	18
34	и потому	3	17
35	того что	5	17
36	в том	20	16
37	том что	11	16
38	то что	6	16
39	и его	11	16
40	в этой	3	15
41	не знает	4	15
42	в конце	2	14
43	и вот	3	13
44	и на	2	13
45	это не	4	12
46	к нему	2	12
47	в них	2	12
48	все это	2	12
49	– не	4	12
50	от свободы	2	12
51	но не	13	12
52	в которой	3	11
53	только в	9	11
54	как в	5	11
55	и для	3	11
56	в русской	6	11
57	уже не	6	11
58	и к	3	11
59	не могут	2	10
60	так же	2	10
61	это и	2	10
62	один из	2	10
63	то же	12	10
64	человека к	3	10
65	в самой	2	10
66	xix века	2	9
67	а в	15	9
68	к тому	4	9
69	не будет	3	9
70	что и	2	9
71	я не	2	9
72	то есть	22	9
73	в свою	4	9
74	лишь в	10	9
75	вместе с	2	9
76	в этих	4	8
77	мира и	4	8
78	того чтобы	5	8
79	в отношении	4	8
80	только и	2	8
81	с его	6	8
82	себя в	7	8
83	– все	3	8
84	за пределы	2	8
85	для того	5	8
86	отношении к	4	8
87	о том	2	8
88	должен быть	2	7
89	мог бы	3	7
90	точки зрения	11	7
91	себя и	2	7
92	что она	2	7
93	на этом	2	7
94	жизни в	2	7
95	в жизни	3	7
96	в нашем	4	7
97	отношения к	4	7
98	чтобы не	2	6
99	его в	4	6
100	личности и	4	6
101	– в	20	6
102	в ее	6	6
103	свободы но	2	6
104	быть и	2	6
105	если бы	3	6
106	с этой	3	6
107	по своей	8	6
108	к чему	2	6
109	и здесь	2	6
110	оно не	2	5
111	в то	9	5
112	к которому	3	5
113	в их	4	5
114	так и	14	5
115	тот кто	2	5
116	сказать что	4	5
117	в основе	6	5
118	– это	33	5
119	говорит что	2	5
120	по преимуществу	5	5
121	отличается от	2	5
122	и как	3	5
123	еще не	6	5
124	как будто	2	5
125	личности в	4	5
126	перед ним	2	5
127	по отношению	10	4
128	как к	5	4
129	лишь один	2	4
130	он должен	3	4
131	не всегда	2	4
132	в момент	3	4
133	духовной жизни	2	4
134	есть в	3	4
135	к другому	2	4
136	а с	3	4
137	по своему	4	4
138	в чем	2	4
139	а для	2	4
140	тому что	2	4
141	место в	7	4
142	человеческой жизни	3	4
143	могут быть	5	4
144	все эти	3	4
145	что они	2	4
146	никто не	3	4
147	не все	3	4
148	не от	2	4
149	и даже	2	4
150	и по	3	4
151	на деле	2	4
152	ни в	5	4
153	отношению к	10	4
154	не случайно	5	4
155	но на	2	4
156	культуры в	3	4
157	в той	2	4
158	и что	4	4
159	к его	3	3
160	о чем	3	3
161	и мира	2	3
162	для себя	3	3
163	на смену	7	3
164	одним из	3	3
165	и тем	5	3
166	но она	2	3
167	мире и	2	3
168	между тем	5	3
169	в виду	5	3
170	принадлежит к	3	3
171	хотя и	4	3
172	и то	3	3
173	не принадлежит	2	3
174	значительной степени	2	3
175	в противоположность	3	3
176	в душе	9	3
177	об этом	2	3
178	в значительной	2	3
179	в иной	3	3
180	я и	2	3
181	превращается в	2	3
182	от всех	2	3
183	в пределах	5	3
184	во всех	3	3
185	не с	3	3
186	на почве	5	3
187	не вполне	2	3
188	о себе	2	3
189	входит в	4	3
190	приводит к	6	3
191	жизни а	2	3
192	в одном	3	3
193	всякий раз	2	3
194	со своей	4	3
195	тому как	3	3
196	роль в	3	3
197	в каком	2	2
198	к одному	2	2
199	я –	3	2
200	или иной	7	2
201	если в	2	2
202	– и	2	2
203	в повести	2	2
204	способность к	2	2
205	от своего	2	2
206	такого рода	13	2
207	к своему	2	2
208	самом деле	2	2
209	своей жизни	2	2
210	– с	8	2
211	была бы	3	2
212	к собственной	2	2
213	– как	2	2
214	не менее	6	2
215	мира с	2	2
216	того же	4	2
217	тем самым	6	2
218	могли бы	2	2
219	и сам	4	2
220	во мне	2	2
221	между ними	6	2
222	о жизни	2	2
223	не столько	7	2
224	– то	2	2
225	к жизни	2	2
226	своей природе	3	2
227	связи с	3	2
228	в основании	2	2
229	и ее	4	2
230	делает его	2	2
231	во всей	3	2
232	столь же	3	2
233	этого слова	4	2
234	их в	3	2
235	между двумя	3	2
236	направленной на	3	2
237	самим собою	2	2
238	не могли	2	2
239	то в	2	2
240	в последней	2	2
241	личности к	2	2
242	с их	2	2
243	это было	2	2
244	в глаза	2	2
245	мира в	3	2
246	подобно тому	3	2
247	сознания в	2	2
248	жизни то	2	2
249	ее в	2	2
250	и о	5	2
251	ни к	3	2
252	в какой	2	2
253	это отношение	3	2
254	с человеком	2	2
255	– на	4	2
256	человека с	3	2
257	к нам	2	2
258	с другой	9	2
259	анны карениной	2	2
260	что такое	2	2
261	– его	5	2
262	во втором	3	2
263	жизни как	5	2
264	он и	2	2
265	по себе	2	2
266	и который	2	2
267	на свою	2	2
