N	3gram	Bakhtin_Fr	EvropaiC
1	в том что	8	16
2	до сих пор	3	15
3	друг с другом	2	9
4	более или менее	2	8
5	с точки зрения	5	8
6	на самом деле	4	7
7	для того чтобы	8	7
8	в самом деле	2	5
9	к тому же	3	5
10	с другой стороны	2	4
11	о том что	5	4
12	совершенно так же	2	4
13	не может быть	4	4
14	вместе с тем	2	3
15	так же как	4	3
16	в данном случае	4	3
17	таким образом в	3	3
18	в связи с	5	3
19	с одной стороны	2	2
20	в то время	3	2
21	во всех этих	2	2
22	то же время	14	2
23	в то же	14	2
24	как и все	5	2
