N	2gram	Nazirov_Tv	Morfolog
1	и т	14	62
2	может быть	11	61
3	т д	10	60
4	таким образом	14	26
5	могут быть	4	21
6	так как	6	20
7	не может	9	19
8	в этом	11	18
9	в этих	2	17
10	представляет собой	4	17
11	и в	40	17
12	и не	12	16
13	представляют собой	2	16
14	мы видим	3	15
15	перед нами	3	14
16	с этим	2	14
17	прежде всего	10	14
18	при помощи	4	12
19	и др	2	12
20	связи с	2	12
21	а не	9	11
22	но если	4	10
23	то же	19	10
24	в том	13	10
25	то что	9	10
26	так и	5	10
27	что в	17	10
28	что и	3	10
29	а затем	5	10
30	в связи	2	10
31	все же	9	9
32	но и	10	9
33	с другой	4	9
34	не только	16	8
35	представляет собою	2	8
36	но не	7	8
37	а в	10	8
38	мы не	3	8
39	в качестве	2	8
40	не могут	2	7
41	том что	14	7
42	если в	3	7
43	по отношению	3	7
44	тем не	2	7
45	наряду с	6	7
46	не менее	8	7
47	отношению к	3	7
48	как это	2	7
49	и здесь	2	7
50	один из	5	7
51	потому что	10	7
52	это не	9	6
53	но это	10	6
54	не все	2	6
55	во всех	2	6
56	и как	5	6
57	или в	2	6
58	во время	2	6
59	и другие	4	6
60	о том	9	6
61	в образе	4	6
62	как бы	26	6
63	вовсе не	5	6
64	одна из	5	5
65	ничего не	3	5
66	вслед за	2	5
67	хотя бы	5	5
68	было бы	2	5
69	об этом	4	5
70	героя в	4	5
71	что он	11	5
72	как в	10	5
73	то это	2	5
74	далеко не	3	5
75	тому что	2	5
76	к тому	2	5
77	между тем	2	5
78	в целом	7	5
79	другой стороны	2	5
80	между собой	2	5
81	на его	4	5
82	все эти	3	5
83	что они	3	5
84	он не	10	5
85	в первом	3	5
86	хотя и	5	5
87	этот момент	2	5
88	сказать что	3	4
89	на самом	3	4
90	его в	2	4
91	так же	6	4
92	в то	23	4
93	значит что	3	4
94	в руки	2	4
95	к этому	4	4
96	на него	2	4
97	тем что	2	4
98	не является	3	4
99	еще не	5	4
100	самом деле	4	4
101	из них	4	4
102	но в	11	4
103	что его	4	4
104	как и	16	4
105	уже не	6	4
106	этот вопрос	4	4
107	мы уже	2	4
108	в таких	2	3
109	некоторые из	2	3
110	ее по	2	3
111	то в	2	3
112	означает что	2	3
113	но эти	3	3
114	в которой	5	3
115	и их	2	3
116	и у	3	3
117	друг друга	2	3
118	только что	2	3
119	если бы	4	3
120	в виде	4	3
121	не значит	2	3
122	это и	4	3
123	связана с	2	3
124	и тем	2	3
125	та же	4	3
126	не в	3	3
127	героя и	4	3
128	с этой	4	3
129	у нас	2	3
130	а во	2	3
131	в один	3	3
132	к ней	3	3
133	того что	3	3
134	приводит к	4	3
135	здесь мы	2	3
136	так например	3	3
137	как уже	2	3
138	для этой	2	3
139	ее в	3	3
140	это уже	7	3
141	ни в	2	3
142	с иваном	3	3
143	а по	3	3
144	настоящее время	2	3
145	не существует	3	3
146	в начале	2	3
147	и что	2	3
148	и тогда	2	3
149	и по	5	3
150	и его	14	3
151	только в	7	3
152	и есть	2	3
153	и только	2	3
154	в этой	7	3
155	с его	12	3
156	данном случае	2	2
157	и когда	2	2
158	это еще	2	2
159	себя в	3	2
160	в россии	5	2
161	в данном	2	2
162	действия и	3	2
163	от него	2	2
164	дело не	3	2
165	собой в	2	2
166	во второй	3	2
167	у нее	4	2
168	в глаза	2	2
169	герой в	3	2
170	и даже	8	2
171	что она	5	2
172	роль в	2	2
173	превращается в	2	2
174	в частности	4	2
175	только для	2	2
176	одним из	6	2
177	е а	3	2
178	его и	2	2
179	ни к	2	2
180	не означает	4	2
181	в чем	4	2
182	не знает	2	2
183	с одной	2	2
184	а с	4	2
185	и более	2	2
186	одной из	7	2
187	не по	3	2
188	на этот	3	2
189	не так	5	2
190	не имеет	2	2
191	в в	2	2
192	она не	2	2
193	д в	3	2
194	особое место	3	2
195	с большой	5	2
196	в своих	8	2
197	ту же	4	2
198	героя к	2	2
199	в которых	3	2
200	а а	4	2
201	однако в	3	2
202	от других	2	2
203	если он	4	2
204	точно так	3	2
205	что этот	2	2
206	в одной	5	2
207	всяком случае	2	2
208	может не	2	2
209	вряд ли	2	2
210	тогда как	3	2
211	все это	14	2
212	в основе	3	2
213	у него	11	2
214	как будто	5	2
215	например в	3	2
216	можно сказать	2	2
217	который в	4	2
218	для него	9	2
219	в одном	3	2
220	во всяком	2	2
