N	2gram	Nazirov_Tv	KulturaY
1	и т	14	143
2	т п	4	93
3	и в	40	84
4	в том	13	74
5	потому что	10	68
6	не только	16	60
7	в этом	11	57
8	было бы	2	53
9	и не	12	52
10	может быть	11	47
11	том что	14	44
12	что в	17	44
13	т д	10	42
14	в самом	6	41
15	у нас	2	38
16	самом деле	4	37
17	хотя бы	5	37
18	так как	6	36
19	таким образом	14	33
20	а не	9	33
21	если бы	4	32
22	не в	3	30
23	прежде всего	10	30
24	в его	19	30
25	все же	9	29
26	того что	3	28
27	не менее	8	28
28	все эти	3	28
29	уже не	6	26
30	не может	9	25
31	то что	9	25
32	вовсе не	5	25
33	еще не	5	24
34	с другой	4	24
35	так и	5	23
36	то же	19	23
37	только в	7	23
38	иными словами	2	22
39	тем не	2	21
40	во всяком	2	20
41	но и	10	20
42	по себе	2	20
43	и что	2	20
44	что он	11	19
45	но в	11	19
46	тем что	2	19
47	о том	9	19
48	всяком случае	2	19
49	между тем	2	18
50	связи с	2	18
51	все это	14	18
52	в качестве	2	18
53	к тому	2	18
54	как бы	26	18
55	и с	9	18
56	вместе с	4	18
57	это не	9	17
58	как раз	2	17
59	как это	2	17
60	другой стороны	2	17
61	в виду	3	16
62	ничего не	3	16
63	что не	5	16
64	что и	3	16
65	тот же	3	16
66	но не	7	16
67	по отношению	3	15
68	и тем	2	15
69	один из	5	15
70	а в	10	15
71	при этом	14	15
72	в данном	2	15
73	ни к	2	15
74	именно в	6	15
75	не было	3	15
76	в связи	2	14
77	хотя и	5	14
78	я не	5	14
79	сказать что	3	14
80	отношению к	3	14
81	и на	12	14
82	в ней	2	14
83	не могут	2	13
84	это и	4	13
85	крайней мере	4	13
86	что она	5	13
87	по крайней	4	13
88	не случайно	6	13
89	в этой	7	13
90	в которых	3	13
91	и его	14	13
92	той же	4	13
93	этот вопрос	4	12
94	с этой	4	12
95	как в	10	12
96	того же	2	12
97	могут быть	4	12
98	в таких	2	11
99	в их	5	11
100	в своем	4	11
101	в нем	4	11
102	и здесь	2	11
103	и если	3	11
104	уже в	5	11
105	он не	10	11
106	тем самым	10	10
107	в письмах	3	10
108	так же	6	10
109	в то	23	10
110	к этому	4	10
111	как и	16	10
112	ту же	4	10
113	вряд ли	2	10
114	с этим	2	10
115	в нашей	2	10
116	в первом	3	10
117	ли не	3	9
118	в целом	7	9
119	xix века	13	9
120	что все	4	9
121	в своей	8	9
122	можно сказать	2	9
123	рядом с	2	9
124	но это	10	9
125	в которой	5	9
126	но уже	2	9
127	и вот	2	9
128	не имеет	2	9
129	ни в	2	9
130	и есть	2	9
131	на самом	3	8
