N	3gram	Propp_Morf	Formalny
1	с точки зрения	6	40
2	не может быть	9	29
3	на самом деле	4	21
4	и т д	60	19
5	во всяком случае	2	16
6	в связи с	9	16
7	в настоящее время	3	13
8	по отношению к	7	12
9	в этом отношении	2	11
10	бы то ни	3	10
11	в большинстве случаев	3	9
12	с другой стороны	5	9
13	для того чтобы	3	8
14	с одной стороны	2	8
15	более или менее	2	7
16	а вовсе не	2	7
17	то ни было	2	7
18	и пр и	3	7
19	может быть и	2	6
20	в данном случае	2	6
21	в том что	4	6
22	связи с этим	5	5
23	к тому что	4	5
24	не входит в	2	4
25	тем не менее	6	4
26	не могут быть	4	4
27	подобно тому как	5	4
28	но все же	4	4
29	как мы увидим	5	3
30	мы увидим что	2	3
31	мы имеем в	2	2
32	в том случае	3	2
33	дело не в	2	2
34	мы приходим к	3	2
35	как и в	3	2
36	о том как	2	2
37	в собственном смысле	3	2
38	и в других	2	2
39	в этом случае	10	2
