N	2gram	Vygotskiy_	Tragedij
1	и в	37	18
2	в этом	32	9
3	не только	29	8
4	и не	15	7
5	он сам	3	7
6	и на	8	7
7	как бы	16	7
8	и с	10	7
9	может быть	19	7
10	же время	2	6
11	что он	16	6
12	но в	9	6
13	и его	10	6
14	у него	2	6
15	несмотря на	6	5
16	что это	8	5
17	все же	6	5
18	это не	5	5
19	то же	12	5
20	как и	20	5
21	так и	12	5
22	не может	16	5
23	в то	7	5
24	что в	25	4
25	в целом	29	4
26	но и	23	4
27	прежде всего	12	4
28	об этом	6	4
29	том что	42	4
30	в этой	13	4
31	и что	11	4
32	так же	18	4
33	и все	7	4
34	все это	9	4
35	в нем	2	4
36	то что	32	4
37	я не	4	4
38	и даже	5	4
39	в себе	8	4
40	один из	3	3
41	и как	7	3
42	уже в	8	3
43	тем самым	8	3
44	в своем	10	3
45	при этом	6	3
46	в его	16	3
47	что с	6	3
48	все эти	6	3
49	отнюдь не	2	3
50	о чем	2	3
51	с ее	3	3
52	и сам	2	3
53	должно быть	4	3
54	как в	7	3
55	как это	6	3
56	для него	5	3
57	в конце	2	3
58	с ним	3	3
59	никогда не	8	2
60	в самом	16	2
61	и то	3	2
62	но все	3	2
63	данном случае	5	2
64	по поводу	5	2
65	с тем	8	2
66	точно так	2	2
67	друг друга	5	2
68	тем что	7	2
69	перед нами	7	2
70	она должна	4	2
71	вопрос о	11	2
72	в одном	5	2
73	не имеет	5	2
74	в виде	3	2
75	ничего не	6	2
76	то и	4	2
77	в данном	5	2
78	в ее	3	2
79	но эта	3	2
80	что все	8	2
81	к тому	10	2
82	от всего	2	2
83	о том	14	2
84	в ходе	9	2
85	гораздо важнее	2	2
86	что и	3	2
87	ни в	6	2
88	не в	9	2
89	столь же	8	2
90	потому что	11	2
91	на всем	3	2
92	ребенка в	17	2
93	между этими	7	2
94	одном из	3	2
95	что этот	2	2
96	и я	2	2
97	в известной	2	2
98	в частности	8	2
99	так что	2	2
100	он не	11	2
101	и ее	9	2
102	ничем не	3	2
103	под влиянием	3	2
104	сам говорит	2	2
105	в первом	2	2
106	бы и	4	2
107	уже не	2	2
108	что она	6	2
109	по мнению	2	2
110	что эти	3	2
111	этими двумя	2	2
112	и это	3	2
113	ребенка и	8	2
114	говорит что	9	2
115	отличие от	3	2
116	в том	47	2
117	и до	5	2
118	чем он	3	2
119	который в	7	2
120	в отличие	3	2
121	как говорит	2	2
122	с его	7	2
123	что говорит	2	2
