N	2gram	Propp_Isto	Stilisti
1	и в	41	42
2	как бы	8	30
3	не только	30	28
4	прежде всего	6	22
5	то же	12	16
6	но и	20	16
7	и не	12	14
8	не может	19	13
9	может быть	19	13
10	как и	8	12
11	точки зрения	4	11
12	что мы	3	11
13	мы уже	10	11
14	в себе	3	10
15	и как	3	10
16	мы должны	7	10
17	в этом	19	10
18	как мы	6	10
19	в то	6	9
20	для того	2	9
21	все же	14	9
22	то что	12	9
23	при этом	7	9
24	мы не	10	9
25	тем самым	3	8
26	ничего не	7	8
27	так как	21	8
28	и это	9	8
29	с тем	8	8
30	в ней	4	8
31	что же	2	8
32	таким образом	15	8
33	с его	4	8
34	никогда не	16	7
35	другими словами	3	7
36	и от	5	7
37	в которой	2	7
38	мы можем	11	7
39	зависимости от	4	7
40	так и	8	7
41	потому что	13	7
42	только в	10	7
43	а не	9	7
44	и на	12	7
45	в зависимости	3	7
46	было бы	4	7
47	и его	11	7
48	и тем	4	7
49	когда мы	2	6
50	и так	2	6
51	во всех	8	6
52	не в	12	6
53	в области	3	6
54	в конце	4	6
55	в нем	12	6
56	на его	6	6
57	в его	4	6
58	в форме	4	6
59	в этой	2	6
60	и то	3	5
61	все время	2	5
62	независимо от	3	5
63	мы увидим	6	5
64	и наконец	6	5
65	как это	6	5
66	же мы	6	5
67	а с	3	5
68	мы видели	17	5
69	но все	5	5
70	тому что	2	5
71	а в	12	5
72	но в	7	5
73	те же	2	5
74	в самом	2	5
75	и с	4	5
76	уже в	4	5
77	вместе с	17	5
78	что это	6	4
79	в одном	2	4
80	так же	6	4
81	его в	7	4
82	на него	3	4
83	если бы	3	4
84	что именно	2	4
85	у нас	4	4
86	к своему	4	4
87	того что	7	4
88	можно было	3	4
89	один из	7	4
90	с появлением	6	4
91	и все	6	4
92	к тому	4	4
93	о том	15	4
94	и пр	2	4
95	что такое	2	4
96	уже не	8	4
97	в целом	2	4
98	мы видим	14	4
99	не просто	3	4
100	связаны с	4	4
101	все это	9	4
102	в качестве	5	4
103	как только	5	4
104	можно сказать	3	4
105	сказать что	5	3
106	связь и	2	3
107	это не	14	3
108	но при	2	3
109	том что	18	3
110	в начале	2	3
111	в тех	8	3
112	и эта	5	3
113	но для	3	3
114	перед нами	4	3
115	об этом	7	3
116	и даже	3	3
117	от того	4	3
118	и здесь	13	3
119	та же	5	3
120	в том	14	3
121	в частности	3	3
122	у них	3	3
123	еще не	13	3
124	только на	2	3
125	как в	17	3
126	и вот	2	3
127	чаще всего	8	3
128	не знает	2	3
129	только он	2	3
130	не с	2	3
131	то он	2	3
132	не так	4	3
133	видели что	4	3
134	что у	6	3
135	в котором	3	3
136	их в	3	3
137	мы легко	2	3
138	должно было	2	3
139	ответ на	6	3
140	если не	4	3
141	из которых	3	3
142	не будет	6	3
143	главным образом	3	3
144	но что	2	3
145	из них	2	3
146	если он	5	3
147	для нас	8	3
148	хотя и	3	3
149	жизни и	3	3
150	что и	13	3
151	в ее	3	3
152	этом мы	2	3
153	все эти	8	3
154	конечно не	2	3
155	связи с	3	3
156	перед ним	2	3
157	но вот	2	3
158	отношения к	2	3
159	уже видели	3	3
160	что эти	4	3
161	этом случае	4	3
162	в основе	2	3
163	здесь мы	11	3
164	что иное	2	2
165	первый взгляд	5	2
166	вопрос о	6	2
167	на эти	2	2
168	которые в	3	2
169	с этим	3	2
170	относится к	2	2
171	мы имеем	27	2
172	из этих	6	2
173	но как	4	2
174	и нет	3	2
175	к этому	5	2
176	эти три	3	2
177	с ней	4	2
178	по отношению	3	2
179	и больше	3	2
180	должны были	4	2
181	мы найдем	2	2
182	отношение к	6	2
183	самое время	2	2
184	друг друга	2	2
185	должен быть	2	2
186	все больше	2	2
187	из всего	3	2
188	а на	2	2
189	в середине	2	2
190	на первый	6	2
191	кроме того	6	2
192	но эта	2	2
193	тем что	11	2
194	в их	4	2
195	не всегда	6	2
196	ее с	2	2
197	и при	2	2
198	в этих	16	2
199	что он	29	2
200	ничем не	2	2
201	и сам	3	2
202	нас не	2	2
203	всех его	2	2
204	связано с	7	2
205	отношению к	3	2
206	себе и	3	2
207	в приведенных	3	2
208	сих пор	5	2
209	его не	4	2
210	себе в	3	2
211	увидим что	2	2
212	одной из	4	2
213	в жизни	2	2
214	на этот	4	2
215	но не	8	2
216	в него	4	2
217	к нему	8	2
218	но мы	3	2
219	видим что	4	2
220	он говорит	4	2
221	связанные с	3	2
222	только одна	2	2
223	связь с	7	2
224	с собой	7	2
225	ту же	3	2
226	тех случаях	7	2
227	при которых	2	2
228	этот вопрос	3	2
229	в которых	2	2
230	и те	2	2
231	однако в	2	2
232	представляет собой	8	2
233	и он	8	2
234	о чем	2	2
235	ли он	5	2
236	не было	3	2
237	между двумя	2	2
238	и когда	2	2
239	здесь не	4	2
240	больше и	3	2
241	но это	5	2
242	случай когда	2	2
243	в своей	4	2
244	или даже	3	2
245	ответить на	2	2
246	не будут	2	2
247	или в	11	2
248	в связи	3	2
249	таким же	2	2
250	он не	8	2
251	случаях когда	7	2
252	в дальнейшем	3	2
253	с ним	9	2
254	тот же	2	2
255	вовсе не	6	2
256	ясно что	2	2
