N	2gram	Potebnia_M	formyVre
1	и в	48	148
2	в этом	19	73
3	то есть	53	70
4	в нем	16	51
5	прежде всего	6	46
6	и т	12	40
7	и не	28	37
8	в его	6	36
9	и его	4	36
10	вовсе не	13	35
11	но и	30	33
12	то же	35	32
13	т п	7	32
14	не только	32	32
15	но в	8	31
16	жизни и	3	31
17	так и	17	29
18	может быть	46	27
19	не в	24	26
20	как мы	8	26
21	как и	22	25
22	как бы	10	25
23	человеческой жизни	3	24
24	мы уже	5	24
25	точки зрения	4	24
26	в то	16	23
27	человека в	2	23
28	времени и	2	23
29	только в	29	23
30	то что	37	22
31	в том	47	22
32	связи с	6	21
33	же время	8	21
34	в своем	6	19
35	и на	5	19
36	у него	3	18
37	и все	5	18
38	еще не	9	18
39	таким образом	24	18
40	человека и	8	17
41	с этим	12	17
42	те же	6	17
43	при этом	6	17
44	так как	20	17
45	все же	3	16
46	того же	5	16
47	не может	18	16
48	и их	4	16
49	никогда не	2	15
50	в разных	4	15
51	в них	9	15
52	лишь в	2	15
53	так сказать	6	15
54	в одном	4	15
55	с точки	3	15
56	вместе с	22	15
57	так же	6	14
58	его жизни	2	14
59	все это	4	14
60	и как	8	14
61	и с	4	14
62	а не	22	14
63	в их	2	13
64	а в	14	13
65	того чтобы	5	13
66	же в	3	13
67	во время	4	13
68	для того	8	13
69	как в	17	13
70	в котором	7	13
71	в самом	11	13
72	с ним	10	13
73	в истории	2	12
74	не было	12	12
75	время в	3	12
76	и до	2	12
77	конечно не	2	12
78	и наконец	3	12
79	но не	8	12
80	потому что	82	12
81	он не	4	12
82	что в	30	12
83	его в	6	11
84	между ними	4	11
85	в образе	4	11
86	в ней	11	11
87	хотя и	3	11
88	ни в	2	11
89	из них	11	11
90	уже в	10	11
91	влияние на	3	10
92	и проч	25	10
93	в ее	3	10
94	тот же	2	10
95	сих пор	4	10
96	входит в	3	10
97	уже не	11	10
98	в большинстве	2	10
99	и того	2	10
100	до сих	4	10
101	могут быть	6	9
102	одного и	2	9
103	и других	3	9
104	в других	3	9
105	и следовательно	3	9
106	том что	28	9
107	должно быть	9	9
108	и даже	3	9
109	та же	3	9
110	и это	6	9
111	с другой	8	9
112	для него	14	9
113	но все	2	9
114	есть в	6	9
115	их в	3	9
116	оно не	7	9
117	отношения к	2	9
118	это не	2	8
119	для себя	3	8
120	и потому	9	8
121	в произведении	4	8
122	к тому	9	8
123	отношение к	2	8
124	все его	2	8
125	в целом	5	8
126	большинстве случаев	2	8
127	один из	7	8
128	что и	16	8
129	во всяком	4	8
130	и то	13	8
131	время как	3	8
132	и по	5	8
133	если бы	20	8
