N	3gram	Trubetskoy	Myslijsy
1	в том что	3	47
2	заключает в себе	2	19
3	тем не менее	3	18
4	по крайней мере	5	17
5	то же время	2	13
6	в то же	2	13
7	во всяком случае	6	12
8	более или менее	5	12
9	до сих пор	5	12
10	и в этом	2	12
11	для того чтобы	5	11
12	с одной стороны	7	10
13	о том что	4	9
14	на то что	2	9
15	вместе с тем	8	8
16	можно сказать что	2	7
17	с точки зрения	6	7
18	то же самое	2	6
19	с самого начала	2	6
20	таким образом в	2	5
21	с тем и	2	5
22	и таким образом	3	5
23	с этой точки	2	4
24	в этом отношении	2	4
25	в том виде	2	4
26	бы то ни	2	3
27	этой точки зрения	2	3
28	ничего общего с	2	3
29	потому что и	2	3
30	том виде в	2	3
31	с течением времени	3	3
32	а так как	3	3
33	точно так же	3	3
34	в связи с	3	3
35	так или иначе	3	3
36	мы должны признать	2	2
37	но и для	2	2
38	не только для	2	2
39	но вместе с	2	2
40	так же как	3	2
41	друг на друга	2	2
42	и потому что	2	2
43	то ни было	2	2
44	главным образом в	3	2
45	но все же	4	2
46	всяком случае не	3	2
