N	3gram	Propp_Morf	Vladivir
1	в том что	4	29
2	о том что	3	22
3	тем не менее	6	18
4	в то время	3	13
5	во всяком случае	2	12
6	в связи с	9	12
7	более или менее	2	11
8	с точки зрения	6	10
9	не может быть	9	10
10	а также и	5	8
11	на то что	3	8
12	точно так же	2	7
13	в данном случае	2	6
14	в настоящее время	3	6
15	с другой стороны	5	6
16	бы то ни	3	5
17	то время как	3	5
18	то что в	2	5
19	мы увидим ниже	6	4
20	не что иное	2	4
21	в этом отношении	2	4
22	можно было бы	2	4
23	с одной стороны	2	4
24	для того чтобы	3	4
25	что иное как	2	4
26	и т д	60	4
27	в том случае	3	3
28	к тому что	4	3
29	хотя и не	2	3
30	может быть и	2	2
31	том случае если	2	2
32	мы не будем	2	2
33	как мы увидим	5	2
34	и тем не	2	2
35	в этом случае	10	2
36	то ни было	2	2
37	в тех же	4	2
38	мы уже видели	2	2
39	независимо от того	4	2
40	связи с этим	5	2
