N	2gram	Tiupa_Narr	VerxiiNi
1	и в	19	26
2	в этом	17	15
3	точки зрения	10	13
4	как бы	4	12
5	в том	18	11
6	не только	32	10
7	из этих	3	10
8	и с	4	10
9	может быть	25	10
10	после смерти	2	10
11	что в	3	9
12	в области	2	9
13	связи с	4	9
14	но и	23	9
15	но не	6	8
16	с другой	8	8
17	и не	20	8
18	но все	4	7
19	к нему	5	7
20	одной стороны	7	7
21	из них	3	7
22	то что	11	7
23	с одной	7	7
24	но в	6	7
25	том что	14	7
26	а с	3	7
27	все же	7	6
28	к тому	7	6
29	о том	6	6
30	в себе	8	6
31	несмотря на	2	6
32	с точки	2	6
33	и т.д	7	6
34	все эти	2	6
35	и потому	2	6
36	так и	9	6
37	никогда не	3	5
38	в мире	9	5
39	одной из	4	5
40	и для	2	5
41	не имеет	2	5
42	более или	2	5
43	так же	2	5
44	том числе	6	5
45	в силу	4	5
46	отношение к	2	5
47	в его	9	5
48	а не	12	5
49	тому же	5	5
50	или менее	2	5
51	далеко не	5	4
52	а в	11	4
53	в нем	4	4
54	не может	10	4
55	то есть	19	4
56	из которых	4	4
57	то же	4	4
58	числе и	4	4
59	только в	4	4
60	что он	6	4
61	и только	2	4
62	он не	3	4
63	в этой	5	4
64	в то	3	4
65	что это	3	3
66	в рамках	12	3
67	в своем	2	3
68	так или	2	3
69	если в	3	3
70	точно так	2	3
71	или иначе	3	3
72	уже не	5	3
73	хотя бы	4	3
74	в результате	2	3
75	в значительной	2	3
76	тем не	3	3
77	представляет собой	13	3
78	и даже	3	3
79	и как	5	3
80	за собой	4	3
81	же как	3	3
82	при этом	9	3
83	не менее	3	3
84	когда он	3	3
85	в качестве	21	3
86	в связи	2	3
87	в таком	2	3
88	можно сказать	5	3
89	отношению к	6	3
90	того что	2	3
91	для него	2	3
92	одно из	2	2
93	сказать что	4	2
94	этой точки	2	2
95	или иной	5	2
96	а также	7	2
97	утверждать что	2	2
98	и сейчас	2	2
99	состоит в	13	2
100	мы имеем	2	2
101	они в	2	2
102	ему в	2	2
103	вплоть до	2	2
104	между тем	3	2
105	одним из	2	2
106	особенно в	3	2
107	в свою	3	2
108	не как	2	2
109	выступает в	2	2
110	именно в	6	2
111	отличается от	4	2
112	если не	4	2
113	приводит к	2	2
114	те же	4	2
115	что мы	2	2
116	и на	3	2
117	уже в	3	2
118	еще не	7	2
119	к которому	2	2
120	по своей	3	2
121	наконец в	2	2
122	то или	3	2
123	жизни и	3	2
124	что именно	2	2
125	не было	2	2
126	этом отношении	3	2
127	не в	14	2
128	не всегда	2	2
129	то ни	3	2
130	ни было	3	2
131	той или	4	2
132	и все	2	2
133	же время	4	2
134	один из	3	2
135	совершенно иной	2	2
136	и после	2	2
137	прежде всего	4	2
138	бы то	3	2
139	или иное	2	2
140	не могло	2	2
141	с его	6	2
142	вслед за	4	2
143	не с	3	2
144	по существу	2	2
