N	3gram	Bakhtin_Pr	Analitik
1	в том что	3	25
2	не может быть	11	19
3	по отношению к	19	18
4	в то же	3	16
5	той или иной	2	14
6	в данном случае	4	14
7	то же время	3	14
8	в отличие от	5	14
9	в конечном счете	4	11
10	мы имеем дело	2	11
11	с одной стороны	3	9
12	с другой стороны	4	9
13	того или иного	2	9
14	в этом отношении	2	8
15	не только в	2	8
16	с точки зрения	6	8
17	тем не менее	3	6
18	но и в	2	5
19	в самом деле	3	4
20	для того чтобы	2	4
21	и тем самым	2	4
22	в основе своей	3	4
23	и не может	2	4
24	в этом смысле	3	4
25	то ни было	2	3
26	бы то ни	3	3
27	и т п	13	3
28	в противном случае	3	3
29	то же самое	2	3
30	далеко не всегда	3	3
31	не могут быть	2	3
32	между тем как	5	3
33	можно сказать что	2	3
34	коем случае не	2	2
35	в коем случае	2	2
36	в применении к	3	2
37	ни в коем	2	2
38	можно было бы	3	2
39	со всех сторон	2	2
40	внешнее материальное произведение	2	2
41	но отнюдь не	7	2
42	и прежде всего	5	2
