N	3gram	Losev_Prob	Tvorches
1	в то же	2	25
2	в том что	13	11
3	о том что	14	8
4	но в то	2	6
5	не может быть	2	6
6	в русской литературе	3	5
7	по отношению к	2	5
8	по крайней мере	8	4
9	с точки зрения	13	4
10	с самого начала	3	4
11	до сих пор	3	4
12	дело в том	4	4
13	в таком случае	2	3
14	точно так же	4	3
15	это значит что	2	3
16	хотя и не	3	3
17	с другой стороны	7	3
18	во всяком случае	6	3
19	как и его	2	2
20	как и у	2	2
21	не только для	2	2
22	на самом деле	2	2
23	тем не менее	8	2
24	потому что он	2	2
25	не только в	5	2
26	для того чтобы	3	2
27	можно сказать что	4	2
28	это уже не	2	2
29	не в силах	3	2
30	в связи с	11	2
31	вместе с тем	5	2
32	в конце концов	7	2
33	в данном случае	5	2
34	в том числе	2	2
35	а может быть	2	2
36	на первом плане	3	2
37	все же не	3	2
38	к тому же	5	2
39	в свою очередь	2	2
