N	3gram	Potebnia_M	Vvedenie
1	и т д	6	39
2	для того чтобы	4	22
3	в том что	18	15
4	в этом смысле	4	10
5	не может быть	11	10
6	тем не менее	10	9
7	до сих пор	5	7
8	в применении к	3	6
9	в то же	3	6
10	то же время	3	6
11	не что иное	2	5
12	во всяком случае	7	5
13	что иное как	2	5
14	на этот вопрос	2	5
15	и т п	4	5
16	с другой стороны	7	5
17	по крайней мере	6	4
18	не только в	3	4
19	может быть названо	5	4
20	и в том	3	4
21	само по себе	6	4
22	и в этом	7	4
23	но все же	2	4
24	с одной стороны	6	4
25	по отношению к	13	4
26	с точки зрения	3	4
27	одной стороны и	2	3
28	с тем что	4	3
29	дело в том	3	3
30	сама по себе	4	3
31	в собственном смысле	2	3
32	одной и той	3	2
33	и той же	3	2
34	сам по себе	5	2
35	подобно тому как	7	2
36	могут быть названы	3	2
37	имеет дело с	2	2
38	языка и его	5	2
39	с этой точки	2	2
40	не в том	6	2
41	и того же	6	2
42	а между тем	5	2
43	только в том	7	2
44	обратить внимание на	2	2
45	одного и того	6	2
46	и потому что	2	2
47	смысле этого слова	3	2
48	после того как	3	2
49	в связи с	2	2
50	в свою очередь	8	2
51	а так как	3	2
52	не могут быть	5	2
