N	2gram	Bakhtin_KF	StatiiOP
1	и в	28	103
2	в том	6	89
3	том что	4	77
4	в этом	15	76
5	что в	4	74
6	не только	5	60
7	о том	3	47
8	но и	9	46
9	то что	7	44
10	что он	2	42
11	в его	42	42
12	и не	28	41
13	может быть	45	38
14	было бы	8	32
15	в этой	2	31
16	вовсе не	7	31
17	все это	10	29
18	тем что	3	29
19	а в	5	27
20	а не	17	27
21	но в	5	26
22	что это	4	25
23	так и	2	25
24	и его	18	24
25	все же	5	23
26	не в	13	23
27	точки зрения	13	23
28	потому что	2	23
29	того что	3	22
30	в области	2	22
31	прежде всего	4	22
32	для того	3	22
33	как в	2	22
34	того чтобы	2	21
35	и пр	3	21
36	это не	10	20
37	в то	3	19
38	в своей	11	19
39	только в	18	19
40	не может	29	18
41	в котором	24	18
42	он не	6	18
43	самом деле	3	17
44	в данном	2	17
45	как бы	9	17
46	в ней	3	16
47	если бы	8	16
48	с тем	2	15
49	как и	5	15
50	для него	13	15
51	я не	6	15
52	и на	3	15
53	между тем	4	14
54	то же	5	14
55	но все	6	14
56	с точки	10	14
57	в своем	17	13
58	со стороны	8	13
59	а с	2	13
60	тому что	2	13
61	но это	6	13
62	в качестве	2	13
63	в нем	32	13
64	дело в	2	13
65	именно в	5	13
66	жизни и	8	13
67	не менее	3	12
68	хотя бы	5	12
69	ни в	12	12
70	в своих	4	12
71	никогда не	5	11
72	вопрос о	2	11
73	в другом	3	11
74	все эти	11	11
75	из его	3	11
76	это было	2	11
77	не было	8	11
78	ясно что	3	11
79	на самом	3	10
80	в каком	4	10
81	в виду	3	10
82	а как	2	10
83	ничего не	3	10
84	в целом	10	10
85	что и	7	10
86	во всех	11	10
87	но не	12	10
88	же время	2	10
89	в каждом	3	9
90	в чем	4	9
91	место в	6	9
92	там где	5	9
93	в одном	5	9
94	времени и	4	9
95	его жизни	3	9
96	и для	10	9
97	для нас	4	9
98	что эта	2	9
99	и тем	3	9
100	и это	12	9
101	до конца	3	8
102	могут быть	3	8
103	отношение к	6	8
104	в их	9	8
105	к этому	2	8
106	мы имеем	5	8
107	дело не	2	8
108	тем не	2	8
109	но ведь	5	8
110	совершенно не	7	8
111	не имеет	6	8
112	еще более	2	8
113	в это	2	7
114	в виде	2	7
115	гораздо более	2	7
116	другое дело	2	7
117	что этот	3	7
118	в ее	17	7
119	и то	2	7
120	кажется что	2	7
121	лишь в	8	7
122	еще не	5	7
123	отношению к	22	7
124	по себе	2	7
125	в себе	21	6
126	по отношению	26	6
127	должен быть	7	6
128	из которых	2	6
129	к нему	12	6
