N	2gram	Tiupa_Lite	Poddanst
1	не только	29	17
2	и в	26	14
3	и не	19	12
4	в области	5	11
5	в этом	19	10
6	в отношении	2	10
7	но в	5	9
8	то же	13	9
9	в том	22	9
10	в качестве	21	9
11	хотя бы	3	8
12	в пределах	4	8
13	в то	12	7
14	только в	8	7
15	же время	12	7
16	быть может	2	6
17	но и	25	6
18	было бы	4	6
19	в ней	4	6
20	xix века	6	6
21	а я	2	5
22	с другой	11	5
23	не в	11	5
24	отношении к	2	5
25	может быть	24	5
26	что в	7	4
27	тех кто	3	4
28	в своем	12	4
29	том что	19	4
30	а также	5	4
31	в русской	13	4
32	как бы	8	4
33	то что	14	4
34	не может	10	4
35	а в	5	4
36	же в	6	4
37	и как	2	3
38	с тем	2	3
39	в сравнении	2	3
40	но не	8	3
41	тем самым	8	3
42	сравнении с	2	3
43	это не	4	3
44	с точки	4	3
45	сводится к	4	3
46	в россии	2	3
47	россии как	2	3
48	столь же	5	3
49	мы не	5	3
50	я и	10	3
51	для того	2	3
52	в себе	8	3
53	точки зрения	8	3
54	потому что	5	3
55	одной стороны	8	3
56	в нем	4	3
57	между тем	2	3
58	могут быть	4	3
59	прежде всего	14	3
60	и т	2	3
61	с одной	9	3
62	для нас	3	2
63	да и	3	2
64	в жизни	7	2
65	в мире	9	2
66	если в	2	2
67	одна из	8	2
68	есть не	2	2
69	в е	3	2
70	для них	2	2
71	не к	3	2
72	никак не	2	2
73	и мы	2	2
74	и весьма	2	2
75	более чем	4	2
76	в статье	2	2
77	и тем	4	2
78	и других	4	2
79	в его	9	2
80	и вот	2	2
81	пути в	8	2
82	не менее	11	2
83	со стороны	6	2
84	культуры в	5	2
85	где в	2	2
86	в начале	4	2
87	тем более	2	2
88	в частности	18	2
89	том числе	2	2
90	как на	3	2
91	а не	28	2
92	не было	5	2
93	мысль о	2	2
94	и есть	3	2
95	например в	3	2
96	и с	4	2
97	во всех	4	2
98	где бы	2	2
99	как раз	6	2
100	в сфере	7	2
101	хх века	12	2
102	того что	7	2
103	в силу	4	2
104	из них	5	2
105	не столько	8	2
106	отнюдь не	4	2
