N	3gram	Losev_Prob	RusskieA
1	в том что	17	49
2	и т д	20	21
3	тем не менее	23	14
4	в этом случае	8	12
5	о том что	8	10
6	и в других	2	9
7	в данном случае	12	8
8	для того чтобы	4	8
9	подобно тому как	2	8
10	мы не можем	2	7
11	в настоящее время	4	7
12	как мы видели	2	6
13	не может быть	5	6
14	так же как	3	6
15	в связи с	9	5
16	не что иное	6	4
17	во всяком случае	8	4
18	в то время	6	4
19	можно было бы	6	4
20	мы не будем	3	4
21	что иное как	6	4
22	в отличие от	2	4
23	же как и	4	3
24	более или менее	2	3
25	на самом же	7	3
26	может быть и	3	3
27	с точки зрения	9	3
28	самом же деле	7	3
29	до сих пор	4	3
30	на то что	2	3
31	на самом деле	5	2
32	всяком случае не	2	2
33	потому что он	6	2
34	можно сказать что	2	2
35	о том как	4	2
36	для нас не	4	2
37	т д и	5	2
38	иметь в виду	2	2
39	как и в	2	2
40	ту или иную	3	2
41	не только в	2	2
42	не значит что	2	2
43	ничего общего с	2	2
44	и в этом	6	2
45	с одной стороны	2	2
46	дело не в	4	2
47	с другой стороны	11	2
48	равно как и	2	2
