N	3gram	Bakhtin_Fr	Tvorches
1	в то же	5	25
2	то же время	5	24
3	там же с	2	12
4	в том что	6	11
5	о том что	3	8
6	и в то	2	7
7	но в то	2	6
8	не может быть	5	6
9	по отношению к	2	5
10	с точки зрения	6	4
11	до сих пор	7	4
12	дело в том	2	4
13	в xix веке	2	4
14	в году в	2	3
15	в известной мере	6	3
16	это как бы	2	3
17	и не может	2	3
18	во всяком случае	2	3
19	в ту эпоху	2	3
20	в отличие от	4	3
21	на самом деле	2	2
22	на этот вопрос	2	2
23	но прежде всего	3	2
24	не только в	5	2
25	на протяжении всего	5	2
26	для того чтобы	2	2
27	содержит в себе	2	2
28	можно сказать что	3	2
29	это уже не	3	2
30	так и в	3	2
31	мы уже говорили	12	2
32	том числе и	7	2
33	не могут быть	2	2
34	как бы ни	2	2
35	в том числе	10	2
36	на первом плане	4	2
