N	3gram	Tiupa_Anal	Myslijsy
1	в том что	13	47
2	по отношению к	9	26
3	не может быть	17	19
4	тем не менее	3	18
5	по крайней мере	4	17
6	то же время	7	13
7	в то же	9	13
8	не в том	3	13
9	с другой стороны	2	12
10	более или менее	2	12
11	и в этом	4	12
12	и т п	3	11
13	подобно тому как	5	11
14	сами по себе	3	11
15	для того чтобы	3	11
16	с одной стороны	6	10
17	одного и того	2	9
18	о том что	8	9
19	на то что	2	9
20	и того же	2	9
21	в таком случае	5	9
22	но и в	3	9
23	не могут быть	2	9
24	в этом случае	4	8
25	и то же	2	7
26	как и в	2	7
27	одно и то	2	7
28	не только не	2	7
29	не только в	3	7
30	с точки зрения	6	7
31	в этом смысле	3	7
32	то же самое	3	6
33	между тем как	2	5
34	к тому что	2	5
35	и тот же	2	4
36	в том и	2	4
37	в данном случае	3	4
38	быть не может	3	4
39	и в самом	3	4
40	не что иное	5	4
41	с этой точки	2	4
42	в этом отношении	5	4
43	в произведении искусства	3	4
44	что иное как	6	4
45	в том чтобы	7	4
46	бы то ни	3	3
47	то есть в	2	3
48	из того что	3	3
49	в первом случае	2	3
50	этой точки зрения	2	3
51	том что он	2	3
52	могли бы быть	2	3
53	а не в	3	3
54	и тем самым	2	3
55	в связи с	2	3
56	лишь в том	3	3
57	того и другого	2	2
58	упускать из виду	2	2
59	в свое время	3	2
60	и не в	4	2
61	то ни было	3	2
62	того что в	2	2
63	состоит в том	6	2
64	а не с	2	2
65	и не может	4	2
66	мы имеем дело	7	2
67	и тогда когда	2	2
