N	2gram	Tiupa_Vved	Poddanst
1	не только	32	17
2	и в	23	14
3	и не	24	12
4	в области	5	11
5	в этом	27	10
6	но в	14	9
7	то же	8	9
8	в том	21	9
9	в качестве	18	9
10	хотя бы	2	8
11	в пределах	3	8
12	в то	5	7
13	только в	9	7
14	же время	4	7
15	но и	31	6
16	было бы	4	6
17	в ней	5	6
18	с другой	10	5
19	не в	12	5
20	и о	4	5
21	в которых	2	5
22	может быть	25	5
23	по себе	2	4
24	что в	6	4
25	если бы	10	4
26	но также	2	4
27	и потому	2	4
28	в своем	9	4
29	том что	16	4
30	а также	12	4
31	в котором	11	4
32	и к	2	4
33	как бы	8	4
34	то что	9	4
35	не может	14	4
36	а в	15	4
37	же в	3	4
38	что мы	2	3
39	и как	2	3
40	но не	9	3
41	тем самым	6	3
42	это не	7	3
43	сводится к	6	3
44	столь же	3	3
45	мы не	6	3
46	в себе	15	3
47	потому что	7	3
48	одной стороны	9	3
49	в нем	9	3
50	между тем	3	3
51	вслед за	3	3
52	могут быть	5	3
53	прежде всего	11	3
54	хотя и	10	3
55	с одной	9	3
56	с ними	2	3
57	заключается в	2	3
58	наряду с	2	3
59	для нас	4	2
60	не о	2	2
61	да и	3	2
62	в них	4	2
63	в жизни	7	2
64	в мире	9	2
65	было в	2	2
66	если в	3	2
67	одна из	5	2
68	которое в	4	2
69	в е	3	2
70	для них	3	2
71	не к	4	2
72	никак не	2	2
73	стороны и	4	2
74	и это	2	2
75	слова но	2	2
76	точек зрения	2	2
77	и тем	3	2
78	в его	9	2
79	в ряду	2	2
80	и вот	3	2
81	в перспективе	2	2
82	не менее	4	2
83	исключительно в	3	2
84	говорить о	5	2
85	со стороны	15	2
86	где в	3	2
87	в начале	3	2
88	еще более	2	2
89	тем более	3	2
90	все это	3	2
91	в частности	19	2
92	начала и	2	2
93	а не	31	2
94	не было	5	2
95	мысль о	2	2
96	и есть	2	2
97	например в	2	2
98	и с	2	2
99	во всех	2	2
100	но о	2	2
101	заключает в	4	2
102	как раз	5	2
103	есть в	2	2
104	в сфере	7	2
105	в значительной	2	2
106	того что	7	2
107	в силу	2	2
108	не столько	5	2
109	отнюдь не	14	2
