N	2gram	Tiupa_Anal	VelikijI
1	и не	33	20
2	и в	30	16
3	так как	3	9
4	то что	11	9
5	еще не	5	8
6	и потому	2	7
7	а не	25	7
8	не есть	8	6
9	в мире	14	5
10	как бы	15	5
11	на себя	5	5
12	но и	29	5
13	все это	2	5
14	ты не	2	5
15	хотя и	4	5
16	того что	5	5
17	это еще	2	4
18	что все	2	4
19	и все	5	4
20	как и	23	4
21	в котором	5	4
22	потому что	3	4
23	все что	3	4
24	в нем	3	4
25	что не	3	4
26	что мы	3	4
27	в его	15	4
28	говорить о	3	4
29	в этом	31	4
30	что он	3	4
31	и есть	3	4
32	так и	16	4
33	смысла жизни	3	4
34	никогда не	4	3
35	превращается в	3	3
36	что в	7	3
37	в том	36	3
38	и для	3	3
39	тому что	2	3
40	но в	11	3
41	к тому	12	3
42	ни в	5	3
43	нет ничего	2	3
44	должно быть	2	3
45	хотя бы	4	3
46	этого мира	2	3
47	в своей	7	3
48	во всех	5	3
49	личности и	3	3
50	от которого	4	3
51	в конце	4	3
52	за ним	2	3
53	что и	5	3
54	лишь в	12	3
55	если не	2	3
56	и что	2	3
57	не в	17	3
58	все эти	3	3
59	в этих	3	3
60	в чем	2	3
61	тот же	2	3
62	с его	3	3
63	и то	4	2
64	да и	2	2
65	не так	3	2
66	но не	13	2
67	нет и	2	2
68	это не	7	2
69	ее в	2	2
70	не только	30	2
71	не могут	3	2
72	а в	11	2
73	том что	21	2
74	для человека	2	2
75	его к	3	2
76	но мы	2	2
77	и во	3	2
78	от него	2	2
79	и тогда	3	2
80	вслед за	3	2
81	уже не	6	2
82	зачем же	2	2
83	могут быть	12	2
84	не к	3	2
85	один из	4	2
86	личности а	2	2
87	вера в	2	2
88	не будет	3	2
89	того чтобы	3	2
90	более чем	4	2
91	мира в	2	2
92	тем что	2	2
93	в личности	2	2
94	только в	8	2
95	и сам	4	2
96	и за	3	2
97	все равно	2	2
98	его и	3	2
99	в себя	8	2
100	прежде всего	8	2
101	и т	3	2
102	с ним	6	2
103	всего в	3	2
104	между тем	7	2
105	о свободе	2	2
106	а с	3	2
107	для него	5	2
108	не с	8	2
