N	3gram	Bakhtin_Fr	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	с точки зрения	5	6
4	для того чтобы	8	5
5	до сих пор	3	5
6	друг с другом	2	5
7	в том числе	6	5
8	более или менее	2	5
9	к тому же	3	4
10	о том что	5	4
11	том числе и	3	4
12	так же как	4	3
13	в том что	8	3
14	в связи с	5	3
15	можно сказать что	4	2
16	то же самое	3	2
17	сих пор еще	2	2
18	таким образом в	3	2
19	в то же	14	2
20	то же время	14	2
21	не только для	2	2
22	с самого начала	3	2
23	и связанные с	2	2
24	в этом отношении	7	2
