N	2gram	Trubetskoy	DiskursI
1	в качестве	3	72
2	а не	2	60
3	может быть	9	56
4	не только	9	49
5	и в	14	49
6	как и	4	47
7	тогда как	2	47
8	при этом	5	46
9	в том	17	44
10	и не	19	44
11	том что	9	40
12	в этом	17	38
13	в себе	9	37
14	состоит в	2	37
15	в частности	2	36
16	но и	10	35
17	но не	4	31
18	со стороны	4	28
19	но в	2	28
20	не может	22	27
21	еще не	3	23
22	отнюдь не	7	23
23	все же	4	19
24	прежде всего	8	19
25	в нем	5	19
26	в своей	5	19
27	по отношению	2	17
28	в данном	7	17
29	то же	11	17
30	в мире	4	17
31	точки зрения	11	16
32	только в	5	16
33	в его	4	15
34	то что	13	15
35	о том	7	15
36	или иной	5	14
37	не в	4	14
38	ни к	7	14
39	для него	6	13
40	как бы	4	13
41	данном случае	3	12
42	в своем	6	12
43	в своих	6	12
44	и на	5	12
45	что в	4	11
46	и как	3	11
47	не было	3	11
48	для себя	2	10
49	а в	5	10
50	а с	2	10
51	той или	3	10
52	и т.д	4	10
53	же время	10	10
54	тем самым	2	9
55	в то	10	9
56	в силу	2	9
57	между тем	5	9
58	уже не	2	9
59	себя в	4	9
60	сводится к	3	9
61	и о	2	8
62	к тому	7	8
63	потому что	5	8
64	если в	6	8
65	и даже	2	8
66	жизни в	5	8
67	в этих	2	8
68	в котором	2	8
69	из них	3	8
70	он не	5	8
71	его в	4	7
72	приводит к	4	7
73	одной из	3	7
74	и для	6	7
75	но это	2	7
76	что и	3	7
77	в этой	4	7
78	лишь в	3	7
79	ни в	2	7
80	таким образом	11	7
81	никогда не	5	6
82	что он	6	6
83	именно в	3	6
84	что же	4	6
85	и то	4	6
86	одна из	3	6
87	то в	3	6
88	во всех	5	6
89	с точки	9	6
90	к себе	2	5
91	в другом	3	5
92	проявляется в	2	5
93	в их	4	5
94	и потому	3	5
95	того что	3	5
96	несмотря на	3	5
97	как будто	2	5
98	но она	2	5
99	из этих	3	5
100	в значительной	3	5
101	к той	2	5
102	и состоит	2	5
103	говорить о	3	5
104	не к	2	5
105	в ней	2	5
106	при котором	3	5
107	тем что	3	5
108	не о	2	4
109	не могут	4	4
110	и тем	2	4
111	того или	2	4
112	только на	2	4
113	ни одна	3	4
114	и во	3	4
115	что они	3	4
116	во всяком	9	4
117	или иного	2	4
118	это в	2	4
119	в результате	2	4
120	этом случае	3	4
121	отличается от	2	4
122	связи с	3	4
123	к данному	2	4
124	в самом	3	4
125	не есть	3	4
126	и к	6	4
127	зависит от	2	4
128	по себе	2	4
129	или в	3	4
130	и есть	2	4
131	с ним	2	4
132	вопрос о	5	3
133	не подлежит	2	3
134	указывает на	2	3
135	в области	2	3
136	на основании	2	3
137	как на	8	3
138	о котором	3	3
139	она не	2	3
140	на том	3	3
141	более или	4	3
142	на себя	2	3
143	между собой	5	3
144	для этого	3	3
145	все эти	2	3
146	было бы	5	3
147	должна быть	2	3
148	да и	3	3
149	и от	2	3
150	с этим	2	3
151	в начале	2	3
152	хотя бы	5	3
153	и по	3	3
154	не просто	2	3
155	принадлежат к	2	3
156	это разумеется	2	3
157	и наконец	2	3
158	и более	2	3
159	или менее	4	3
160	отношения к	2	3
161	их в	2	3
162	к чему	2	3
163	на почве	2	3
164	всяком случае	6	3
165	жизни и	4	3
166	том случае	4	3
167	то ни	4	3
168	место в	2	3
169	в большинстве	3	3
170	и что	2	3
171	вместе с	4	3
172	мы должны	7	2
173	для всех	6	2
174	остается в	2	2
175	друг друга	3	2
176	быть и	2	2
177	бы его	2	2
178	и при	6	2
179	о которых	3	2
180	самом деле	7	2
181	по существу	5	2
182	в россии	6	2
183	к нему	2	2
184	только с	2	2
185	во главе	2	2
186	собой и	3	2
187	а потому	5	2
188	самим собой	12	2
189	к такому	2	2
190	что может	3	2
191	большинстве случаев	2	2
192	речь идет	2	2
193	ему по	2	2
194	что с	2	2
195	себя и	5	2
196	все это	6	2
197	бы то	4	2
198	принадлежность к	2	2
199	том чтобы	3	2
200	к которой	6	2
201	время в	2	2
202	должно быть	3	2
203	этот человек	2	2
204	мы можем	2	2
205	целый ряд	2	2
206	если бы	6	2
207	в меру	2	2
208	народа и	2	2
209	для того	6	2
210	отказаться от	4	2
211	себе и	4	2
212	отношении к	2	2
213	при отсутствии	2	2
214	том и	2	2
215	и должно	2	2
216	у него	2	2
217	точке зрения	3	2
218	ее в	2	2
219	на то	5	2
220	а между	5	2
221	видеть в	2	2
222	и с	7	2
223	собой все	2	2
224	путь к	4	2
225	но для	2	2
226	из которых	5	2
227	может не	3	2
228	он сам	3	2
229	в некоторых	2	2
230	является не	2	2
231	случае если	3	2
232	и только	5	2
233	во всем	4	2
