N	3gram	Tiupa_Hudo	formyVre
1	то же время	7	21
2	в то же	7	18
3	в связи с	3	15
4	с точки зрения	3	15
5	для того чтобы	5	12
6	в этом мире	2	10
7	и в то	2	10
8	одного и того	3	9
9	и того же	3	9
10	и прежде всего	2	8
11	в том числе	3	8
12	в отличие от	7	7
13	не может быть	4	7
14	с одной стороны	3	6
15	имеем в виду	3	6
16	одно и то	3	5
17	и то же	3	5
18	в том что	8	5
19	том числе и	2	5
20	мы имеем в	3	5
21	той или иной	5	5
22	включает в себя	2	4
23	может быть и	2	4
24	не могло быть	2	4
25	с другой стороны	6	4
26	по отношению к	10	4
27	до известной степени	2	3
28	тот или иной	3	3
29	в той или	2	3
30	и не могло	2	2
31	но он не	2	2
32	начало и конец	2	2
33	к тому что	2	2
34	можно сказать что	3	2
35	по своей природе	2	2
36	в основе своей	2	2
37	во всей его	2	2
38	и в самом	3	2
39	в свою очередь	2	2
