N	2gram	Potebnia_M	TeoriaLi
1	в мире	3	26
2	не только	32	24
3	и в	48	24
4	то есть	53	22
5	может быть	46	22
6	в том	47	20
7	при этом	6	20
8	тогда как	8	18
9	и не	28	17
10	а в	14	15
11	но и	30	14
12	так и	17	14
13	а не	22	14
14	в себе	26	14
15	но не	8	13
16	в этом	19	12
17	то же	35	12
18	но в	8	12
19	в его	6	12
20	том что	28	11
21	точки зрения	4	11
22	и его	4	11
23	по отношению	12	10
24	лишь в	2	10
25	отношению к	10	10
26	что в	30	10
27	в данном	3	9
28	не в	24	9
29	в искусстве	6	9
30	в душе	17	9
31	с другой	8	9
32	в то	16	9
33	только в	29	9
34	не может	18	8
35	как бы	10	8
36	в своей	2	8
37	же время	8	8
38	в своем	6	7
39	отношение к	2	7
40	в области	3	7
41	отличие от	2	7
42	в самом	11	7
43	место в	4	7
44	не столько	2	7
45	в нем	16	7
46	тем самым	11	6
47	другой стороны	4	6
48	со стороны	4	6
49	не менее	9	6
50	еще не	9	6
51	то что	37	6
52	или менее	6	6
53	как и	22	6
54	более или	6	6
55	с другими	9	6
56	уже не	11	6
57	между ними	4	6
58	в ее	3	6
59	данном случае	3	5
60	а и	5	5
61	художественного произведения	6	5
62	как в	17	5
63	ни в	2	5
64	и тем	8	5
65	для того	8	5
66	и о	6	5
67	для него	14	5
68	так или	2	5
69	между тем	19	5
70	могут быть	6	5
71	а а	2	5
72	того чтобы	5	5
73	того что	24	5
74	он не	4	5
75	можно сказать	4	5
76	никогда не	2	4
77	сказать что	8	4
78	его в	6	4
79	это не	2	4
80	во времени	2	4
81	так в	4	4
82	в форме	2	4
83	в силу	7	4
84	этого слова	14	4
85	в их	2	4
86	одного и	2	4
87	в этих	2	4
88	что он	8	4
89	по своему	2	4
90	далеко не	5	4
91	говоря словами	2	4
92	к тому	9	4
93	а только	7	4
94	того же	5	4
95	слова в	7	4
96	входит в	3	4
97	в свою	6	4
98	в целом	5	4
99	произведения искусства	2	4
100	со своей	2	4
101	отношении к	3	4
102	и того	2	4
103	и что	13	4
104	языка в	6	4
105	говорить о	6	4
106	не следует	6	4
107	отношения к	2	4
108	не знает	4	4
109	в слове	41	4
110	хотя и	3	4
111	но он	3	4
112	даже в	3	3
113	и то	13	3
114	перед нами	3	3
115	и притом	3	3
116	и потому	9	3
117	понятие о	3	3
118	сводятся к	2	3
119	из этих	10	3
120	одной стороны	4	3
121	в которой	9	3
122	не все	5	3
123	человека с	2	3
124	тем не	7	3
125	как совокупность	2	3
126	и как	8	3
127	говоря о	5	3
128	если бы	20	3
129	или в	4	3
130	он должен	2	3
131	подобно тому	3	3
132	художественное произведение	6	3
133	свою очередь	6	3
134	в таком	6	3
135	одним из	3	3
136	с этой	2	3
137	была бы	5	3
138	никто не	5	3
139	с одной	8	3
140	а с	4	3
141	не с	4	3
142	есть в	6	3
143	искусства и	3	3
144	в произведении	4	3
145	для себя	3	3
146	столь же	8	3
147	их в	3	3
148	именно в	5	3
149	потому что	82	3
150	с языком	3	3
151	тому как	6	3
152	прежде всего	6	3
153	к его	2	3
154	человеческой жизни	3	3
155	и к	5	3
156	на языке	2	3
157	к содержанию	4	3
158	этом смысле	2	3
159	только не	5	3
160	не будет	4	3
161	с точки	3	3
162	и по	5	3
163	связи с	6	3
164	таким образом	24	3
165	например в	9	3
166	в этой	3	3
167	в одном	4	3
168	вовсе не	13	3
169	вслед за	6	3
170	между двумя	5	3
171	одно и	7	2
172	произведений искусства	2	2
173	в каком	8	2
174	к одному	7	2
175	в основании	2	2
176	не от	3	2
177	могла бы	2	2
178	не могут	7	2
