N	2gram	Propp_Morf	Mirosoze
1	и в	17	97
2	может быть	61	64
3	не только	8	63
4	в этом	18	55
5	но и	9	54
6	он не	5	53
7	а не	11	53
8	не может	19	49
9	у него	2	47
10	и не	16	39
11	потому что	7	37
12	не в	3	34
13	и есть	3	33
14	для него	2	31
15	прежде всего	14	29
16	как и	4	29
17	но в	4	27
18	у нас	3	24
19	что в	10	23
20	что он	5	22
21	в россии	2	19
22	как бы	6	19
23	того что	3	17
24	в том	10	16
25	том что	7	16
26	то что	10	16
27	было бы	5	16
28	и его	3	16
29	в этой	3	15
30	не знает	2	15
31	она не	2	14
32	так как	20	14
33	та же	3	13
34	друг друга	3	13
35	это не	6	12
36	и у	3	12
37	к нему	3	12
38	смысле слова	4	12
39	все это	2	12
40	но не	8	12
41	с тем	2	11
42	но это	6	11
43	хотя бы	5	11
44	в которой	3	11
45	только в	3	11
46	как в	5	11
47	и для	4	11
48	уже не	4	11
49	и к	4	11
50	не могут	7	10
51	так же	4	10
52	это и	3	10
53	один из	7	10
54	должна быть	2	10
55	то же	10	10
56	связана с	3	10
57	не имеет	2	10
58	есть и	4	9
59	а в	8	9
60	к тому	5	9
61	что и	10	9
62	вопрос о	10	8
63	ничего не	5	8
64	от него	2	8
65	в этих	17	8
66	не так	2	8
67	они не	3	8
68	того чтобы	4	8
69	т е	25	8
70	с его	3	8
71	себя в	2	8
72	тем что	4	8
73	для того	3	8
74	о том	6	8
75	но если	10	7
76	точки зрения	7	7
77	себя и	2	7
78	все еще	3	7
79	что она	2	7
80	на этом	4	7
81	также и	6	7
82	не существует	3	7
83	в нашем	6	7
84	если он	2	7
85	чем в	2	7
86	его в	4	6
87	на пути	4	6
88	увидим что	2	6
89	в образе	6	6
90	совсем не	3	6
91	быть и	2	6
92	того как	2	6
93	самого себя	2	6
94	что это	3	6
95	можно было	4	6
96	к ней	3	6
97	к другу	2	6
98	если бы	3	6
99	с этой	3	6
100	к чему	3	6
101	и более	2	6
102	на то	3	6
103	и здесь	7	6
104	в которых	2	6
105	друг к	2	6
106	оно не	2	5
107	означает что	3	5
108	с собой	3	5
109	в то	4	5
110	так и	10	5
111	они и	5	5
112	и этот	2	5
113	должны быть	2	5
114	сказать что	4	5
115	во всяком	2	5
116	в основе	2	5
117	с этим	14	5
118	вопроса о	3	5
119	момент в	2	5
120	и как	6	5
121	все ли	2	5
122	бы в	2	5
123	мы увидим	10	5
124	еще не	4	5
125	его и	2	5
126	как будто	2	5
127	по отношению	7	4
128	иное как	2	4
129	не что	2	4
130	к себе	2	4
131	от того	4	4
132	он должен	3	4
133	не всегда	10	4
134	что иное	2	4
135	к другому	2	4
136	потому не	2	4
137	а с	2	4
138	по своему	2	4
139	в чем	2	4
140	тому что	5	4
141	и этим	7	4
142	и тот	2	4
143	могут быть	21	4
144	в начале	3	4
145	мы видим	15	4
146	все эти	5	4
147	и тогда	3	4
148	что они	5	4
149	никто не	4	4
150	сам он	3	4
151	не все	6	4
152	вряд ли	2	4
153	не от	2	4
154	значит что	4	4
155	и даже	2	4
156	и по	3	4
157	ни в	3	4
158	в середине	2	4
159	нельзя было	2	4
160	и их	3	4
161	и только	3	4
162	мы не	8	4
163	отношению к	7	4
164	время как	3	4
165	путь к	2	4
166	может не	2	4
167	в своих	2	4
168	и что	3	4
169	то время	3	4
170	в иных	4	3
171	является в	2	3
172	одним из	2	3
173	и тем	3	3
174	раньше чем	5	3
175	средство для	2	3
176	все же	9	3
177	мы должны	3	3
178	это уже	3	3
179	что же	2	3
180	между тем	5	3
181	ту же	2	3
182	на его	5	3
183	когда в	2	3
184	и когда	2	3
185	ответить на	2	3
186	хотя и	5	3
187	то это	5	3
188	к этому	4	3
189	об этом	5	3
190	не значит	3	3
191	превращается в	2	3
192	для нас	2	3
193	в пределах	3	3
194	во всех	6	3
195	в ином	3	3
196	не с	2	3
197	на этот	2	3
198	в самых	2	3
199	он может	2	3
200	входит в	4	3
201	но для	3	3
202	приводит к	3	3
203	которой все	2	3
204	в одном	2	3
205	тому как	5	3
206	всяком случае	2	3
207	роль в	2	3
208	но с	2	3
209	и за	2	3
210	учение о	5	3
211	на самом	4	2
212	в каком	2	2
213	решить вопрос	2	2
214	если в	7	2
215	который может	3	2
216	этого не	2	2
217	же можно	3	2
218	самом деле	4	2
219	а во	3	2
220	в иное	6	2
221	не менее	7	2
222	обращается в	4	2
223	друг за	2	2
224	могли бы	2	2
225	с того	3	2
226	этот случай	7	2
227	а потому	2	2
228	на той	2	2
229	совершенно другой	2	2
230	связи с	12	2
231	в сущности	3	2
232	и ее	5	2
233	во время	6	2
234	как то	2	2
235	их в	2	2
236	то в	3	2
237	у нее	2	2
238	это было	3	2
239	также в	2	2
240	этом отношении	2	2
241	в глаза	2	2
242	целый ряд	3	2
243	то перед	5	2
244	подобно тому	6	2
245	только для	2	2
246	за которым	2	2
247	ее в	3	2
248	можно сделать	2	2
249	не по	2	2
250	ни к	2	2
251	не означает	2	2
252	но они	2	2
253	в какой	3	2
254	вообще не	2	2
255	с другой	9	2
256	прежде чем	5	2
257	другу и	2	2
258	что такое	3	2
259	иное чем	3	2
260	во втором	7	2
261	себя за	2	2
262	исходит от	2	2
263	что мы	2	2
264	что эта	2	2
265	у ивана	2	2
266	она в	2	2
267	можно лишь	2	2
