N	2gram	Tiupa_Hudo	Tvorches
1	и в	34	56
2	как бы	11	41
3	в его	17	37
4	в то	12	30
5	м м	4	26
6	то же	14	25
7	не только	22	24
8	но в	6	24
9	же время	11	24
10	и его	8	23
11	и не	15	23
12	а в	11	23
13	как и	16	23
14	и т	15	22
15	в этом	22	22
16	в том	24	21
17	что в	8	21
18	том что	31	19
19	он не	8	19
20	может быть	12	19
21	потому что	7	19
22	у него	13	18
23	то что	13	18
24	что он	14	17
25	все это	2	17
26	т д	5	17
27	и на	6	17
28	никогда не	8	16
29	прежде всего	12	16
30	как в	11	16
31	при этом	21	16
32	не может	10	16
33	но и	13	16
34	в творчестве	4	16
35	в этой	11	15
36	с его	9	15
37	но это	2	15
38	в мире	10	15
39	и с	10	15
40	это не	12	14
41	и даже	4	14
42	там же	2	13
43	о том	21	13
44	а не	23	13
45	тем самым	2	12
46	м бахтин	2	12
47	в целом	2	12
48	в котором	5	12
49	все же	5	11
50	в своей	15	11
51	для него	15	11
52	отнюдь не	4	11
53	в конце	5	10
54	не в	16	10
55	так и	19	10
56	уже в	2	10
57	в русской	4	10
58	по нашему	3	10
59	но не	7	10
60	в самом	7	10
61	когда он	2	10
62	он сам	3	10
63	только в	8	10
64	как будто	7	10
65	в нем	5	9
66	один из	6	9
67	и от	6	9
68	по мнению	6	9
69	человека в	10	9
70	жизни в	12	9
71	в изображении	2	9
72	наряду с	4	9
73	в своих	4	9
74	в душе	6	9
75	даже в	4	8
76	так же	3	8
77	в себе	19	8
78	человека и	4	8
79	в духе	6	8
80	по сути	2	8
81	в их	2	8
82	одной из	5	8
83	не менее	9	8
84	это уже	2	8
85	на его	2	8
86	так как	2	8
87	тогда как	10	8
88	вовсе не	2	8
89	в лице	3	8
90	об этом	8	8
91	еще не	10	8
92	именно в	9	8
93	соответствии с	2	8
94	хотя и	3	8
95	вместе с	2	8
96	казалось бы	12	7
97	влияние на	2	7
98	самом деле	6	7
99	читателя в	6	7
100	своего рода	19	7
101	например в	3	7
102	в дальнейшем	2	7
103	и он	6	7
104	что она	10	7
105	в которой	2	7
106	в этих	7	7
107	в рассказе	23	7
108	русской литературе	3	7
109	не случайно	14	7
110	во сне	3	7
111	уже не	12	7
112	сути дела	2	7
113	и сам	3	7
114	его в	5	6
115	но у	2	6
116	приводит к	5	6
117	героя в	2	6
118	так что	3	6
119	и все	10	6
120	место в	3	6
121	не столько	4	6
122	все эти	4	6
123	и ее	3	6
124	одна из	4	6
125	хотя бы	2	6
126	конечном счете	4	6
127	если бы	7	6
128	в конечном	5	6
129	в бытовой	2	6
130	ф м	3	6
131	с ним	6	6
132	своих героев	2	6
133	бы не	3	5
134	ничего не	11	5
135	до конца	3	5
136	не имеют	3	5
137	в одной	3	5
138	приходит к	3	5
139	по отношению	15	5
140	и у	3	5
141	как он	4	5
142	в виде	2	5
143	т п	10	5
144	в своем	9	5
145	а с	5	5
146	в них	3	5
147	и это	7	5
148	в творческом	3	5
149	больше не	3	5
150	в ужасе	2	5
151	быть может	7	5
152	что не	4	5
153	что и	3	5
154	в ее	16	5
155	мы не	2	5
156	и по	3	5
157	что они	4	5
158	что это	2	5
159	все время	2	5
160	с этим	3	5
161	в первой	6	5
162	дело не	2	5
163	мысли и	2	5
164	на него	3	5
165	та же	5	5
166	между тем	14	5
167	героя и	5	5
168	и другие	5	5
169	как у	2	5
170	отношению к	15	5
171	в литературе	3	5
172	что у	4	5
173	с другой	4	5
174	как правило	6	5
175	что я	4	5
176	из них	5	5
177	я не	8	5
178	не было	8	5
179	в таком	3	5
180	но с	3	5
181	перед нами	13	4
182	и потому	3	4
183	в человеке	5	4
184	в произведениях	2	4
185	роль в	2	4
186	это и	2	4
187	только на	6	4
188	в частности	10	4
189	как это	8	4
190	не знает	2	4
191	в такой	2	4
192	того что	5	4
193	что все	3	4
194	к нему	2	4
195	точки зрения	7	4
196	так в	2	4
197	из жизни	2	4
198	что на	4	4
199	сих пор	3	4
200	а а	2	4
201	однако в	4	4
