N	2gram	Vinokur_St	Mirosoze
1	и в	61	97
2	может быть	16	64
3	не только	36	63
4	в этом	37	55
5	но и	28	54
6	он не	11	53
7	а не	19	53
8	в нем	9	49
9	не может	10	49
10	у него	3	47
11	и не	23	39
12	никогда не	7	38
13	потому что	13	37
14	в ней	9	37
15	не было	7	36
16	не в	15	34
17	для него	10	31
18	но он	5	30
19	прежде всего	11	29
20	как и	11	29
21	но в	16	27
22	и он	2	27
23	и это	4	25
24	в своей	12	25
25	он был	5	25
26	и все	3	24
27	у нас	12	24
28	в своем	8	23
29	что в	41	23
30	что он	23	22
31	в самом	14	21
32	в себе	3	20
33	отношение к	3	20
34	до конца	4	19
35	в россии	7	19
36	как бы	8	19
37	в его	19	18
38	и потому	3	17
39	того что	14	17
40	в том	56	16
41	том что	49	16
42	то что	27	16
43	было бы	21	16
44	и его	11	16
45	в этой	13	15
46	не знает	2	15
47	в котором	11	15
48	в конце	5	14
49	она не	3	14
50	так как	7	14
51	те которые	2	14
52	и на	7	13
53	это не	8	12
54	и у	2	12
55	к нему	2	12
56	в них	2	12
57	все это	13	12
58	но не	5	12
59	с тем	3	11
60	но это	9	11
61	хотя бы	8	11
62	в которой	13	11
63	только в	11	11
64	как в	15	11
65	и для	4	11
66	в русской	4	11
67	и к	5	11
68	жизни и	6	11
69	не могут	2	10
70	так же	7	10
71	это и	5	10
72	должна быть	3	10
73	чем у	2	10
74	то же	7	10
75	не имеет	5	10
76	бы и	4	9
77	xix века	2	9
78	а в	18	9
79	к тому	9	9
80	что и	8	9
81	и во	3	9
82	я не	13	9
83	то есть	2	9
84	лишь в	3	9
85	не мог	3	9
86	вместе с	5	9
87	вопрос о	9	8
88	ничего не	6	8
89	в этих	5	8
90	нужно искать	4	8
91	не так	2	8
92	они не	2	8
93	что не	3	8
94	того чтобы	15	8
95	в отношении	11	8
96	т е	21	8
97	с его	3	8
98	за пределы	2	8
99	тем что	6	8
100	для того	15	8
101	отношении к	3	8
102	о том	30	8
103	русской истории	3	8
