N	2gram	Tiupa_Teor	Myshleni
1	в том	20	195
2	внутренней речи	13	191
3	в этом	12	167
4	то что	6	166
5	и в	24	162
6	том что	11	161
7	таким образом	3	147
8	точки зрения	11	143
9	что в	10	119
10	мышления и	3	117
11	не только	24	116
12	того что	5	109
13	так же	2	100
14	речи и	4	99
15	потому что	3	95
16	того чтобы	5	91
17	может быть	22	89
18	с точки	3	89
19	что он	4	86
20	не может	8	81
21	как и	6	79
22	для того	5	78
23	и не	17	78
24	только в	9	75
25	в целом	4	74
26	но и	14	70
27	заключается в	2	67
28	в его	12	67
29	сказать что	4	65
30	как бы	8	64
31	вместе с	2	62
32	в качестве	33	60
33	и что	4	60
34	представляет собой	13	60
35	то же	12	58
36	в основе	6	58
37	в отношении	4	55
38	могли бы	2	54
39	в силу	4	53
40	между собой	3	53
41	в самом	7	52
42	к тому	4	49
43	что они	2	48
44	на основе	2	47
45	если бы	3	46
46	но не	13	45
47	с другой	9	45
48	по отношению	10	45
49	тем самым	6	43
50	внешней речи	2	43
51	как это	10	42
52	тому что	2	42
53	отношению к	10	42
54	в ходе	5	41
55	не является	5	41
56	по своей	8	40
57	одной стороны	3	40
58	о том	2	40
59	так и	14	39
60	никогда не	4	39
61	с одной	3	39
62	в области	7	38
63	не в	9	37
64	если мы	2	37
65	в этой	3	37
66	и к	3	37
67	в своем	7	36
68	все эти	3	36
69	и его	11	36
70	как в	5	36
71	а не	14	36
72	того же	4	35
73	он не	5	35
74	в которой	3	35
75	в себе	14	35
76	для себя	3	35
77	и т.д	4	35
78	во внутренней	2	34
79	и как	3	34
80	связи с	3	34
81	приводит к	6	34
82	при этом	20	33
83	прежде всего	3	33
84	по себе	2	33
85	что и	2	32
86	именно в	3	32
87	по своему	4	32
88	но в	12	32
89	и тем	5	32
90	и на	2	32
91	и то	3	31
92	между тем	5	29
93	могут быть	5	29
94	этого слова	4	29
95	самом деле	2	28
96	в своей	8	27
97	с этой	3	27
98	в то	9	27
99	перед нами	3	27
100	другой стороны	6	27
101	в их	4	26
102	в частности	23	26
103	для него	5	26
104	все это	2	25
105	еще не	6	25
106	что она	2	25
107	это не	4	25
108	только не	3	25
109	в чем	2	25
110	можно сказать	5	25
111	в какой	2	24
112	в нем	7	24
113	в слове	4	24
114	как уже	2	24
115	состоит в	22	23
116	слова в	4	23
117	ни в	5	23
118	в известном	2	22
119	и развитием	2	22
120	не могут	2	22
121	столь же	3	22
122	отношение к	7	21
123	как говорит	3	21
124	в нашем	4	21
125	его в	4	21
126	ее в	2	21
127	между ними	6	21
128	и ее	4	21
129	в виду	5	20
130	а в	15	20
131	к которому	3	20
132	как раз	3	20
133	в другом	4	20
134	на вопрос	2	20
135	на этом	2	20
136	не менее	6	20
137	говорит что	2	20
138	из этих	3	20
139	в данном	9	19
140	в себя	5	19
141	из которых	2	19
142	в той	2	19
143	а с	3	19
144	и по	3	19
145	во всех	3	19
146	один из	2	19
147	в связи	3	19
148	отличие от	7	18
149	во всей	3	18
150	одного и	4	18
151	к действительности	3	18
152	в отличие	7	18
153	этом смысле	3	18
154	на деле	2	17
155	и для	3	17
156	в свою	4	17
157	и того	4	17
158	в одном	3	17
159	казалось бы	2	17
160	этой точки	2	17
161	совпадает с	4	17
162	в этих	4	17
163	их в	3	17
164	тем же	2	17
165	я не	2	17
166	у него	2	17
167	своей природе	3	16
168	вовсе не	3	16
169	тому как	3	16
170	и другие	2	16
171	к одному	2	16
172	между двумя	3	16
173	то в	2	16
174	и даже	2	16
175	мы имеем	7	16
176	данном случае	5	15
177	известном смысле	2	15
178	тем более	2	15
179	но как	2	15
180	подобно тому	3	15
181	отличается от	2	15
182	и это	2	15
183	в них	2	15
184	и является	2	15
185	он должен	3	14
186	одной из	2	14
187	который в	2	14
188	одно и	2	14
189	о чем	3	14
190	свою очередь	3	14
191	об этом	2	14
192	с его	6	14
193	одним из	3	14
194	и здесь	2	14
195	этих двух	2	14
196	лишь в	10	13
197	значения и	2	13
198	имеет место	3	13
199	человека и	2	13
200	слова как	3	13
201	отнюдь не	3	13
202	к его	3	13
203	для всех	2	13
204	если в	2	13
205	с другими	6	13
206	но на	2	13
207	и потому	3	12
208	и составляет	3	12
209	а затем	2	12
210	в ее	6	12
211	в первом	2	12
212	тем не	3	12
213	входит в	4	12
214	даже в	3	12
215	это и	2	12
216	несмотря на	2	12
217	с их	2	12
218	только на	2	12
219	к нему	2	12
220	к другому	2	12
221	за пределы	2	12
222	мог бы	3	12
223	но он	4	12
224	в каком	2	11
225	в конце	2	11
226	идет о	2	11
227	а только	4	11
228	иначе говоря	5	11
229	на котором	2	11
230	например в	3	11
231	в пределах	5	11
232	с ее	4	11
233	ключ к	2	11
234	не могли	2	11
235	или менее	6	11
236	не знает	4	11
237	не столько	7	11
238	есть в	3	11
239	отношения к	4	11
240	здесь мы	2	10
241	у нас	2	10
242	что такое	2	10
243	или иной	7	10
244	вслед за	3	10
245	речь идет	2	10
246	том числе	3	10
247	речевой деятельности	2	10
248	в конечном	6	10
249	всякий раз	2	10
250	во второй	7	10
251	вытекает из	2	10
252	и т.п	7	10
253	в случае	2	10
254	чем это	2	10
255	самом начале	2	10
256	числе и	2	10
257	к жизни	2	10
258	не могло	2	10
259	видим в	2	9
260	такого рода	13	9
261	в момент	3	9
262	включает в	2	9
263	хотя и	4	9
264	сама по	2	9
265	мы в	2	9
266	в системе	2	9
267	и притом	3	9
268	более или	6	9
269	что можно	3	9
270	в самой	2	9
271	оно не	2	9
272	место в	7	9
273	той или	3	9
274	в первой	6	9
275	по пути	4	9
276	конечном счете	6	9
277	не с	3	9
278	должен быть	2	9
279	говорить о	4	9
280	или в	3	9
281	речи а	2	8
282	со стороны	6	8
283	и др	3	8
284	как правило	5	8
285	не на	4	8
286	только и	2	8
287	в равной	3	8
288	отношении к	4	8
289	которая в	2	7
290	одну из	2	7
291	с ними	2	7
292	а также	7	7
293	образом и	2	7
294	слова не	2	7
295	понятие о	3	7
296	имеет в	2	7
297	и особенно	2	7
298	в таком	3	7
299	и сам	4	7
300	во втором	3	7
301	принадлежит к	3	7
302	в жизни	3	7
303	в значительной	2	7
304	сознания в	2	7
305	говоря словами	4	7
306	случае не	2	7
307	это было	2	6
308	роль в	3	6
309	и больше	2	6
310	для обозначения	2	6
311	или даже	4	6
312	уже не	6	6
313	перед ним	2	6
314	и который	2	6
315	для возникновения	3	6
