N	2gram	Vinokur_Ku	formyVre
1	и в	44	148
2	в этом	31	73
3	в нем	7	51
4	прежде всего	14	46
5	и т	62	40
6	и не	23	37
7	в его	16	36
8	и его	8	36
9	вовсе не	18	35
10	но и	13	33
11	то же	12	32
12	т п	39	32
13	не только	29	32
14	но в	11	31
15	так и	10	29
16	может быть	25	27
17	не в	18	26
18	как мы	2	26
19	как и	3	25
20	как бы	11	25
21	точки зрения	25	24
22	в то	4	23
23	только в	15	23
24	то что	14	22
25	в том	47	22
26	все эти	17	21
27	связи с	8	21
28	же время	4	21
29	в своем	4	19
30	и для	3	19
31	и на	8	19
32	у него	3	18
33	и все	4	18
34	по существу	9	18
35	еще не	10	18
36	таким образом	17	18
37	с этим	6	17
38	при этом	6	17
39	так как	16	17
40	в особенности	6	17
41	в пределах	8	17
42	все же	17	16
43	того же	6	16
44	в связи	4	16
45	не может	13	16
46	и их	2	16
47	никогда не	2	15
48	в разных	2	15
49	в них	10	15
50	лишь в	6	15
51	так сказать	5	15
52	в одном	4	15
53	с точки	16	15
54	с его	4	15
55	вместе с	8	15
56	так же	8	14
57	все это	10	14
58	всех этих	4	14
59	и как	3	14
60	в конце	5	14
61	и с	11	14
62	как раз	10	14
63	а не	17	14
64	роль в	6	13
65	в их	3	13
66	в частности	6	13
67	а в	7	13
68	того чтобы	25	13
69	же в	5	13
70	для того	23	13
71	как в	6	13
72	в котором	4	13
73	в самом	20	13
74	с ним	5	13
75	ничего не	6	12
76	отнюдь не	5	12
77	в истории	3	12
78	значение и	2	12
79	не было	6	12
80	время в	2	12
81	конечно не	3	12
82	но не	11	12
83	потому что	40	12
84	он не	4	12
85	что в	25	12
86	и у	3	11
87	между ними	2	11
88	в ней	6	11
89	хотя и	7	11
90	ни в	3	11
91	из них	4	11
92	уже в	5	11
93	здесь не	5	10
94	в ее	2	10
95	тот же	7	10
96	кроме того	2	10
97	сих пор	5	10
98	также и	7	10
99	уже не	13	10
100	в большинстве	3	10
101	и того	2	10
102	на основе	2	10
103	до сих	5	10
104	могут быть	5	9
105	одного и	2	9
106	к себе	4	9
107	всего в	2	9
108	на этой	4	9
109	и следовательно	2	9
110	наряду с	2	9
111	том что	30	9
112	должно быть	6	9
113	и даже	5	9
114	и это	3	9
115	с другой	14	9
116	для него	2	9
117	но все	5	9
118	есть в	6	9
119	в самой	6	9
120	оно не	5	9
121	отношения к	2	9
122	до конца	3	8
123	это не	13	8
124	или иной	3	8
125	и потому	6	8
126	к тому	8	8
127	отношение к	2	8
128	в целом	5	8
129	большинстве случаев	3	8
130	один из	8	8
131	что и	5	8
132	во всяком	8	8
133	здесь мы	2	8
134	и то	7	8
135	а также	3	8
136	характер и	2	8
137	в результате	8	8
138	и по	4	8
139	если бы	21	8
140	в этих	5	8
141	отношению к	9	8
142	с одной	3	8
143	связанные с	3	8
144	рядом с	7	8
145	в виду	7	8
146	на фоне	3	8
147	в себе	4	7
148	не как	2	7
149	связанных с	2	7
150	за счет	2	7
151	том же	3	7
152	отличие от	3	7
153	не знает	4	7
154	того что	11	7
155	широком смысле	5	7
156	в той	6	7
157	было бы	28	7
158	например в	5	7
159	к этому	4	7
160	из этих	5	7
161	и он	4	7
162	в которой	7	7
163	т д	21	7
164	этом отношении	8	7
165	ее в	2	7
166	к ним	2	7
167	в отличие	3	7
168	в форме	3	7
169	в себя	2	7
170	но он	2	7
171	в широком	2	6
172	в отношении	2	6
173	не могут	5	6
174	есть не	2	6
175	здесь как	3	6
176	с тем	5	6
177	более того	2	6
178	ту же	6	6
179	одной стороны	2	6
180	ни одного	2	6
181	в качестве	12	6
182	сказать что	5	6
183	только и	3	6
184	тех же	2	6
185	мы можем	2	6
186	мы находим	2	6
187	в сущности	11	6
188	не является	2	6
189	только для	3	6
190	смысле слова	3	6
191	о том	10	6
192	именно в	7	6
193	в которых	8	6
194	уже на	3	6
195	что было	2	6
196	в таком	3	6
197	слова и	8	6
198	в совершенно	2	6
199	с помощью	12	6
200	во все	2	5
201	следовательно и	2	5
202	не имеют	3	5
203	о чем	2	5
204	был бы	4	5
205	он должен	2	5
206	так что	5	5
207	xix века	5	5
208	одно из	3	5
209	от этого	4	5
210	они не	4	5
211	но здесь	2	5
212	что все	6	5
213	там где	7	5
214	с ними	6	5
215	не на	4	5
216	что они	5	5
217	в этой	8	5
218	и от	2	5
219	хотя бы	19	5
220	мы имеем	11	5
221	в своей	4	5
222	по преимуществу	3	5
223	в это	3	5
224	большое значение	2	5
225	об этом	4	5
226	тем что	9	5
227	с этой	4	5
228	чаще всего	2	5
229	быть только	3	5
230	конечно и	3	5
231	не имеет	6	5
232	и является	4	5
233	далеко не	2	5
234	вообще не	2	5
235	да и	5	5
236	в смысле	2	5
237	ни были	3	5
238	и уже	2	5
239	или в	5	5
240	и только	2	5
241	той же	5	5
242	даже в	4	4
243	перед нами	4	4
244	так в	2	4
245	не для	2	4
246	мы должны	2	4
247	труда и	2	4
248	по себе	10	4
249	по отношению	9	4
