N	2gram	Bakhtin_sl	RusskieA
1	и в	69	79
2	в том	7	64
3	том что	6	59
4	что в	3	57
5	не только	37	41
6	так как	7	34
7	в этом	21	33
8	и другие	3	33
9	как бы	16	31
10	но и	37	31
11	п в	2	30
12	в других	4	30
13	как и	8	28
14	может быть	40	28
15	и на	17	28
16	одна из	6	24
17	и т	56	23
18	о том	5	23
19	при этом	12	22
20	т д	7	21
21	это не	8	20
22	как мы	15	20
23	а в	10	20
24	из них	3	19
25	все это	14	18
26	потому что	2	17
27	то что	2	17
28	таким образом	16	17
29	вместе с	3	17
30	мы не	4	16
31	один из	9	15
32	или на	2	15
33	у нас	2	14
34	мы видели	3	14
35	для нас	7	14
36	не менее	4	14
37	в них	11	14
38	как это	3	14
39	тем не	2	14
40	и не	32	14
41	и с	10	14
42	и что	2	14
43	так что	2	13
44	и по	3	13
45	к этому	3	13
46	не может	27	13
47	еще не	9	13
48	как в	18	13
49	уже не	5	13
50	в некоторых	3	13
51	в виде	4	12
52	между собой	3	12
53	этом случае	4	12
54	а на	3	11
55	но это	3	11
56	мы увидим	2	11
57	далеко не	7	11
58	его в	7	10
59	и других	5	10
60	так и	22	10
61	по существу	3	10
62	между тем	5	10
63	все же	10	10
64	что и	2	10
65	а также	5	10
66	или в	10	10
67	данном случае	3	9
68	том же	4	9
69	но в	13	9
70	и все	9	9
71	что они	2	9
72	того как	2	9
73	с ней	2	9
74	то же	17	9
75	но не	7	9
76	так же	2	8
77	того что	4	8
78	как уже	2	8
79	в данном	5	8
80	же в	2	8
81	связи с	4	8
82	не все	2	8
83	во всех	25	8
84	для того	2	8
85	в этих	8	8
86	в своем	9	7
87	ничего не	5	7
88	в свете	3	7
89	не в	14	7
90	а с	2	7
91	к нему	7	7
92	на них	2	7
93	было бы	3	7
94	до конца	25	7
95	для этого	4	7
96	из этих	3	7
97	и как	3	7
98	только в	9	7
99	связанные с	7	7
100	а не	29	7
101	и их	6	6
102	и у	2	6
103	друг друга	3	6
104	на этом	4	6
105	в их	6	6
106	только на	3	6
107	тому что	2	6
108	она не	8	6
109	к тому	3	6
110	в нем	44	6
111	так в	2	6
112	же как	2	6
113	с ними	8	6
114	все эти	15	6
115	в качестве	4	6
116	а иногда	3	6
117	чем в	3	6
118	но она	2	6
119	в одном	4	6
120	и о	3	6
121	и более	3	6
122	приводит к	2	6
123	в таком	5	6
124	на самом	2	5
125	и потому	9	5
126	тогда когда	2	5
127	что он	2	5
128	прежде всего	14	5
129	и др	17	5
130	в разных	3	5
131	к ним	2	5
132	в свою	4	5
133	с этим	5	5
134	в то	17	5
135	в целом	3	5
136	для них	2	5
137	в связи	2	5
138	там где	10	5
139	не было	4	5
140	например в	6	5
141	в его	19	5
142	можно было	2	5
143	в особенности	10	5
144	не с	5	5
145	и для	7	5
146	с другой	8	5
147	входит в	8	5
148	и к	9	5
149	или даже	5	5
150	с ним	12	5
151	мы уже	4	5
152	этих случаях	2	5
153	которые в	4	4
154	и ее	3	4
155	не был	2	4
156	влияние на	3	4
157	у них	2	4
158	и при	2	4
159	связано с	3	4
160	его и	5	4
161	но эти	3	4
162	в основном	7	4
163	и там	6	4
164	отличие от	13	4
165	не столько	4	4
166	могут быть	25	4
167	и до	2	4
168	не на	6	4
169	этого слова	2	4
170	и другим	4	4
171	во всяком	9	4
172	в основе	8	4
173	и от	5	4
174	по своему	2	4
175	связанных с	4	4
176	дело не	2	4
177	по всей	3	4
178	к ней	2	4
179	несмотря на	2	4
180	и здесь	5	4
181	не просто	2	4
182	кроме того	6	4
183	в отличие	12	4
184	но все	2	4
185	именно в	5	4
186	в котором	2	4
187	уже в	2	4
188	в ней	7	4
189	всяком случае	7	4
190	других случаях	2	4
191	то время	2	4
192	во всем	3	4
193	тем и	3	4
194	но он	4	4
195	никогда не	9	3
196	всех этих	8	3
197	в одной	2	3
198	в форме	3	3
199	них как	2	3
200	то есть	46	3
201	в виду	2	3
202	на все	3	3
203	как он	2	3
204	в одно	2	3
205	или менее	5	3
206	они были	3	3
207	что все	2	3
208	которые как	2	3
209	более или	5	3
210	точки зрения	24	3
211	связь с	2	3
212	где они	4	3
213	к слову	2	3
214	и те	3	3
215	большинстве случаев	11	3
216	в какой	2	3
217	в ее	2	3
218	и во	3	3
219	в своей	8	3
220	свою очередь	3	3
221	из самых	2	3
222	место в	2	3
223	и другими	2	3
224	хотя и	4	3
225	и то	2	3
226	с другими	8	3
227	по отношению	2	3
228	в которой	4	3
229	от этого	2	3
230	в эту	3	3
231	на каждом	2	3
232	можно говорить	2	3
233	жизни в	2	3
234	а именно	2	3
235	отношению к	2	3
236	сих пор	4	3
237	с одной	7	3
238	в различные	2	3
239	на то	2	3
240	слова в	19	3
241	с таким	3	3
242	и этим	3	3
243	с точки	11	3
244	здесь не	6	3
245	только как	2	3
246	и его	45	3
247	же и	4	3
248	как только	4	3
249	в большинстве	16	3
250	быть и	6	3
251	до сих	4	3
252	время и	3	2
253	в иных	2	2
254	следовательно и	4	2
255	и следовательно	8	2
256	в себе	3	2
257	от него	5	2
258	и вообще	2	2
259	перед нами	7	2
260	евгении онегине	3	2
261	в духе	3	2
262	вокруг него	4	2
263	не как	4	2
264	отношение к	8	2
265	и наконец	9	2
266	должен быть	3	2
267	одним из	5	2
268	и тем	3	2
269	а как	3	2
270	между ними	2	2
271	в частности	3	2
272	оно как	2	2
273	т п	49	2
274	в один	2	2
275	к различным	2	2
276	его от	2	2
277	образом в	4	2
278	может иметь	3	2
279	в него	9	2
280	при всех	2	2
281	всем этим	2	2
282	но мы	2	2
283	только с	3	2
284	они не	3	2
285	с другом	2	2
286	мы наблюдаем	2	2
287	в более	2	2
288	людей и	2	2
289	точка зрения	10	2
290	и непосредственно	6	2
291	ту же	5	2
292	далее в	2	2
293	одной стороны	7	2
294	в евгении	3	2
295	в состав	3	2
296	иногда в	2	2
297	здесь в	6	2
298	не были	3	2
299	поэзии и	4	2
300	и свои	2	2
301	мы видим	2	2
302	себя и	2	2
303	случае не	2	2
304	в двух	2	2
305	можно сказать	2	2
306	значение в	2	2
307	интерес к	3	2
308	для него	8	2
309	на ту	2	2
310	с его	8	2
311	сказать что	4	2
312	на всю	3	2
313	все то	2	2
314	на которые	3	2
315	он не	5	2
316	необходимо еще	2	2
317	другой стороны	5	2
318	как оно	3	2
319	дело в	2	2
320	в каждом	5	2
321	должно быть	3	2
322	его как	3	2
323	особенно в	3	2
324	в новое	4	2
325	если она	2	2
326	из своих	2	2
327	в прошлом	2	2
328	и даже	11	2
329	друг с	2	2
330	целый ряд	2	2
331	этом отношении	2	2
332	и которые	2	2
333	не является	3	2
334	ее с	2	2
335	с этой	3	2
336	совершенно не	2	2
337	как у	2	2
338	смысле в	4	2
339	в пределах	27	2
340	быть только	3	2
341	нас в	3	2
342	не могло	3	2
343	они как	2	2
344	борьбы с	3	2
345	и связанные	2	2
346	за пределами	3	2
347	в чем	2	2
348	к новому	3	2
349	не значит	2	2
350	оно не	12	2
351	в другой	2	2
352	по себе	4	2
353	из этого	3	2
354	говорить о	2	2
355	и особенно	2	2
356	но их	2	2
357	у него	5	2
358	друг другу	2	2
359	как его	5	2
360	но оно	5	2
361	но эта	2	2
362	из одного	2	2
