N	2gram	Tiupa_Anal	Problemy
1	и в	36	106
2	и не	14	90
3	как бы	14	70
4	может быть	19	66
5	т е	2	59
6	в его	12	56
7	в этом	19	52
8	в нем	3	51
9	не может	3	49
10	что он	5	44
11	как и	27	44
12	но и	26	40
13	точки зрения	3	40
14	для него	8	39
15	и его	18	39
16	а не	16	38
17	о себе	4	37
18	не только	40	36
19	то же	7	36
20	в пределах	5	35
21	то что	5	33
22	но в	8	33
23	прежде всего	7	32
24	в то	8	29
25	все это	5	29
26	он не	9	29
27	и все	3	28
28	не в	9	27
29	в одном	4	27
30	же время	7	26
31	в сущности	5	25
32	с точки	2	25
33	в самом	7	25
34	себе самому	2	25
35	самом деле	2	24
36	не как	3	24
37	с самим	3	24
38	героя и	7	24
39	вовсе не	2	24
40	и на	5	23
41	таким образом	4	22
42	в каждом	4	22
43	по себе	6	22
44	как мы	4	21
45	там где	2	21
46	никогда не	7	20
47	все же	6	20
48	только в	9	20
49	что в	15	19
50	с его	15	19
51	отношению к	9	19
52	слова в	2	19
53	в себе	7	18
54	по отношению	9	18
55	все эти	2	18
56	уже не	9	18
57	еще не	7	18
58	но не	13	18
59	это не	4	17
60	в том	16	17
61	так и	19	17
62	себе самом	2	17
63	а в	17	17
64	самим собою	3	17
65	и к	7	17
66	с ним	2	17
67	в другом	3	16
68	если бы	2	16
69	в своей	12	16
70	и для	4	15
71	у него	2	15
72	в отношении	2	14
73	в своем	7	14
74	в конце	6	14
75	я не	3	14
76	лишь в	9	14
77	и сам	8	14
78	он и	4	14
79	как раз	8	14
80	его в	4	13
81	перед нами	7	13
82	в романе	3	13
83	в целом	8	13
84	себя и	2	13
85	в мире	17	13
86	в большинстве	2	13
87	том что	19	12
88	в одной	2	12
89	даже в	6	12
90	ничего не	3	12
91	так что	2	12
92	к тому	10	12
93	между тем	8	12
94	не знает	2	12
95	что и	10	12
96	при этом	19	12
97	было бы	6	12
98	во всяком	6	12
99	так сказать	2	12
100	но это	3	12
101	за пределы	3	12
102	и даже	12	12
103	и как	5	12
104	как в	9	12
105	и что	2	12
106	не могут	2	11
107	в форме	2	11
108	она не	3	11
109	этого слова	3	11
110	бы и	2	11
111	он сам	2	11
112	тем что	3	11
113	с другой	10	11
114	входит в	4	11
115	мы уже	2	11
116	к одному	2	10
117	в произведении	3	10
118	отношение к	2	10
119	для себя	2	10
120	что не	3	10
121	ведь и	2	10
122	далеко не	8	10
123	приводит к	5	10
124	той же	7	10
125	в слове	5	10
126	и потому	3	9
127	или в	4	9
128	самим собой	3	9
129	могут быть	4	9
130	в них	4	9
131	хотя и	4	9
132	да и	3	9
133	другой стороны	7	9
134	человека в	3	9
135	что у	3	9
136	всяком случае	6	9
137	в той	3	9
138	но как	4	8
139	уже в	5	8
140	наконец в	3	8
141	как к	2	8
142	это и	4	8
143	того что	4	8
144	здесь не	8	8
145	несмотря на	2	8
146	нам кажется	3	8
147	с ними	2	8
148	и до	2	8
149	и от	3	8
150	и он	4	8
151	с их	3	8
152	в результате	6	8
153	о том	9	8
154	в диалоге	2	8
155	из них	4	8
156	не о	2	7
157	были бы	3	7
158	в этих	2	7
159	но эта	2	7
160	в их	7	7
161	от себя	3	7
162	все его	2	7
163	к самому	2	7
164	мира и	2	7
165	между ними	3	7
166	что они	3	7
167	и ее	3	7
168	например в	2	7
169	тот же	3	7
170	сказать что	2	7
171	в жизни	2	7
172	что она	3	7
173	сама по	3	7
174	лишь на	3	7
175	и их	3	7
176	такой же	2	7
177	во всех	4	7
178	двуголосое слово	2	7
179	автора и	5	7
180	не было	3	7
181	в себя	6	7
182	от автора	2	6
183	идет о	2	6
184	отличие от	5	6
185	а с	2	6
186	не менее	9	6
187	на его	3	6
188	себя в	6	6
189	героя а	2	6
190	во время	2	6
191	и здесь	4	6
192	но зато	2	6
193	одна из	6	6
194	с этим	4	6
195	в начале	10	6
196	можно было	2	6
197	во всем	5	6
198	превращается в	3	6
199	и вот	2	6
200	художественного мира	3	6
201	в отличие	5	6
202	на меня	3	6
