N	2gram	Tiupa_Teor	Analitik
1	не только	24	71
2	тогда как	18	67
3	и в	24	66
4	в качестве	33	61
5	литературного произведения	11	58
6	но и	14	57
7	в том	20	52
8	может быть	22	52
9	в частности	23	51
10	в этом	12	51
11	как и	6	50
12	и не	17	48
13	в тексте	19	42
14	а не	14	42
15	художественной реальности	7	41
16	том что	11	40
17	при этом	20	40
18	так и	14	35
19	то есть	22	35
20	художественного впечатления	6	34
21	в мире	26	31
22	своего рода	11	30
23	состоит в	22	30
24	коммуникативного события	10	30
25	представляет собой	13	30
26	не может	8	29
27	как бы	8	29
28	отнюдь не	3	29
29	а в	15	28
30	в его	12	27
31	и его	11	27
32	не в	9	26
33	но не	13	26
34	текста в	3	26
35	всего лишь	8	24
36	в себе	14	24
37	не случайно	5	24
38	художественного целого	4	24
39	иначе говоря	5	23
40	к тому	4	22
41	и даже	2	22
42	в этой	3	22
43	что в	10	22
44	лишь в	10	21
45	и т.п	7	20
46	о том	2	20
47	я в	18	20
48	по отношению	10	19
49	но в	12	19
50	в своей	8	19
51	то же	12	19
52	в самом	7	19
53	с его	6	19
54	в то	9	18
55	в данном	9	18
56	отношению к	10	18
57	тем самым	6	17
58	или иной	7	17
59	с другой	9	17
60	со стороны	6	17
61	такого рода	13	17
62	эстетического объекта	3	17
63	в целом	4	17
64	только в	9	17
65	могут быть	5	16
66	то что	6	16
67	в пределах	5	16
68	что и	2	16
69	в их	4	15
70	художественного текста	11	15
71	прежде всего	3	15
72	ритмических рядов	3	15
73	в рамках	13	15
74	уже не	6	15
75	и на	2	15
76	между тем	5	15
77	данном случае	5	14
78	в принципе	7	14
79	факторов художественного	4	14
80	отличие от	7	14
81	не менее	6	14
82	того же	4	14
83	той или	3	14
84	мы имеем	7	14
85	себя в	7	14
86	я и	2	14
87	эстетического отношения	12	14
88	в отличие	7	14
89	далеко не	4	14
90	столь же	3	14
91	же время	8	14
92	в себя	5	14
93	по себе	2	13
94	на уровне	2	13
95	произведение искусства	12	13
96	точки зрения	11	13
97	как раз	3	13
98	этого слова	4	13
99	ритмического ряда	3	13
100	для него	5	13
101	а также	7	13
102	как правило	5	13
103	объектной организации	10	13
