N	3gram	Vinokur_Vv	formyVre
1	и т п	5	32
2	то же время	6	21
3	в то же	6	18
4	в связи с	2	15
5	как мы уже	2	15
6	с точки зрения	4	15
7	для того чтобы	22	12
8	не только в	4	11
9	до сих пор	7	10
10	одного и того	2	9
11	и того же	2	9
12	в этом отношении	4	7
13	и т д	39	7
14	в отличие от	4	7
15	не может быть	10	7
16	с одной стороны	4	6
17	и в этом	4	6
18	а также и	2	6
19	и в особенности	4	6
20	одно и то	2	5
21	и то же	2	5
22	в том что	15	5
23	в широком смысле	7	5
24	той или иной	3	5
25	одной стороны и	3	5
26	может быть и	2	4
27	в этом случае	6	4
28	с другой стороны	5	4
29	но все же	4	4
30	во всяком случае	5	4
31	по отношению к	4	4
32	также и в	3	3
33	то же самое	3	3
34	в другом месте	2	3
35	в зависимости от	3	3
36	здесь все время	2	3
37	о том что	13	3
38	но в то	3	3
39	вместе с тем	3	3
40	здесь не место	2	3
41	что в этом	2	3
42	по сравнению с	4	3
43	в значительной мере	2	2
44	в строгом смысле	3	2
45	можно сказать что	3	2
46	с тем что	3	2
47	дело в том	3	2
48	вообще не может	2	2
49	в соответствии с	2	2
50	в данном случае	4	2
51	могут быть названы	2	2
52	и в самом	3	2
53	в свою очередь	2	2
