N	2gram	Bakhtin_fo	VeschiIm
1	и не	19	57
2	не только	16	48
3	то что	13	48
4	не может	8	46
5	и в	84	45
6	вещи и	3	40
7	и есть	3	40
8	может быть	18	39
9	и т	21	39
10	т д	3	38
11	а не	7	37
12	значит что	2	32
13	это значит	3	30
14	потому что	11	25
15	было бы	2	24
16	в себе	7	23
17	по себе	3	23
18	только в	12	23
19	сказать что	4	22
20	в смысле	5	22
21	и следовательно	5	20
22	как бы	11	20
23	и ее	4	19
24	с нею	2	19
25	но и	14	19
26	есть только	2	18
27	все же	12	18
28	в этом	41	18
29	есть не	4	17
30	и это	5	17
31	прежде всего	28	17
32	так как	12	17
33	что мы	2	17
34	того что	5	16
35	таким образом	14	16
36	как раз	13	16
37	в том	16	15
38	как и	15	15
39	в ней	4	15
40	уже не	5	15
41	не в	10	14
42	и то	5	14
43	том что	7	13
44	есть и	4	13
45	и для	12	13
46	в самом	9	13
47	в себя	3	13
48	ничего не	9	12
49	вещей и	7	12
50	совершенно не	3	12
51	что в	9	12
52	точки зрения	14	12
53	что и	5	12
54	что они	3	12
55	и как	12	12
56	то же	18	12
57	еще не	8	12
58	и даже	5	12
59	о том	4	12
60	если мы	2	12
61	и с	10	12
62	еще и	3	11
63	в то	13	11
64	что не	3	11
65	вовсе не	20	11
66	себя в	2	11
67	и их	11	11
68	и пр	2	11
69	также и	6	11
70	ни в	9	11
71	и только	3	11
72	в чем	3	10
73	с ее	7	10
74	ясно что	2	10
75	это не	8	9
76	так что	4	9
77	в своем	8	9
78	она не	2	9
79	должно быть	6	9
80	хотя бы	2	9
81	в результате	6	9
82	у нас	2	9
83	но не	9	9
84	ни с	3	9
85	и его	26	9
86	с ним	5	9
87	в отношении	5	8
88	его в	8	8
89	и потому	4	8
90	даже не	2	8
91	и явления	2	8
92	что он	2	8
93	но в	16	8
94	в ее	6	8
95	мы не	4	8
96	себя и	6	8
97	все это	10	8
98	можно сказать	2	8
99	только и	5	8
100	смысла и	2	8
101	по сравнению	3	8
102	с другими	3	8
103	мы имеем	2	8
104	если бы	6	8
105	с тем	5	8
106	в философии	2	8
107	для него	5	8
108	с другой	4	8
109	отнюдь не	7	8
110	с чем	2	7
111	из них	8	7
112	самом деле	2	7
113	а в	6	7
114	необходимо чтобы	2	7
115	все эти	12	7
116	в сущности	5	7
117	или не	2	7
118	можно только	2	7
119	есть именно	2	7
120	слова и	4	7
121	тем что	4	7
122	вообще не	4	7
123	с этой	3	7
124	оно не	3	7
125	сравнению с	3	7
126	никогда не	8	6
127	в каком	2	6
128	вопрос о	2	6
129	для себя	8	6
130	когда мы	2	6
131	и все	10	6
132	в нем	28	6
133	между ними	5	6
134	в разных	6	6
135	должны быть	2	6
136	и до	7	6
137	в своей	2	6
138	как мы	19	6
139	одно и	4	6
140	одна из	3	6
141	и вообще	3	6
142	в данном	4	6
143	бытия и	2	6
144	дело в	3	6
145	быть только	4	6
146	и вещи	2	6
147	на почве	2	6
148	их в	6	6
149	в той	5	6
150	жизни и	12	6
151	с точки	9	6
152	момент в	2	6
153	в одном	10	6
154	да и	4	5
155	мы должны	2	5
156	когда я	2	5
157	должен быть	2	5
158	вместе с	9	5
159	как это	2	5
160	того же	9	5
161	точка зрения	4	5
162	тогда когда	2	5
163	мы находим	2	5
164	один из	5	5
165	на себя	2	5
166	мы видим	4	5
167	в его	19	5
168	хотя и	5	5
169	быть и	4	5
170	во всех	13	5
171	в которой	3	5
172	об этом	3	5
173	и здесь	2	5
174	кроме того	7	5
175	или как	5	5
176	в жизни	6	5
177	нет и	4	5
178	от всех	2	5
179	все что	2	5
180	в свою	2	5
181	как можно	3	5
182	как она	3	5
183	так же	7	4
184	том как	2	4
185	к себе	8	4
186	в конце	11	4
187	отношение к	5	4
188	и у	8	4
189	в их	9	4
190	так и	17	4
191	что все	4	4
192	в этой	3	4
193	то время	4	4
194	его на	3	4
195	того чтобы	11	4
196	в качестве	6	4
197	не было	8	4
198	тот же	4	4
199	во всяком	5	4
200	в основе	9	4
201	и от	3	4
202	то в	2	4
203	и явлений	6	4
204	с этим	11	4
205	есть в	3	4
206	как оно	2	4
207	и эта	2	4
208	и еще	3	4
209	с самим	6	4
210	к ней	2	4
211	мы можем	2	4
212	в особенности	15	4
213	и вот	2	4
214	его и	2	4
215	и более	3	4
216	время как	5	4
217	в котором	8	4
218	образом и	2	4
219	на этом	2	4
220	явления и	2	4
221	равно как	4	4
222	находится в	3	4
223	еще более	7	4
224	же время	13	4
225	он не	6	4
226	и сам	2	4
227	не быть	3	4
228	однако не	2	4
229	а следовательно	4	4
230	какое это	2	3
231	не является	4	3
232	человека и	15	3
233	а потом	2	3
234	но она	2	3
235	в другом	2	3
236	по самому	3	3
237	этот тип	2	3
238	только на	3	3
239	в частности	11	3
240	неотделимо от	2	3
241	по существу	17	3
242	мы видели	2	3
243	только я	2	3
244	но оно	2	3
245	к тому	6	3
246	а только	2	3
247	была бы	2	3
248	вещами и	3	3
249	с которой	2	3
250	одной стороны	3	3
251	если не	3	3
252	в целом	2	3
253	же как	2	3
254	и во	13	3
255	той или	3	3
256	было в	2	3
257	и может	2	3
258	в истории	6	3
259	из самых	3	3
260	только один	2	3
261	тем более	4	3
262	от этого	4	3
263	и нет	2	3
264	и образ	3	3
265	и самое	5	3
266	жизни в	11	3
267	для того	12	3
268	как в	10	3
269	ни к	3	3
270	нас в	3	3
271	с одной	5	3
272	но все	6	3
273	сами по	2	3
274	у него	8	3
275	не имеет	5	3
276	явлений и	3	3
277	в самой	3	3
278	и вещей	3	3
279	выражение в	3	3
280	он становится	2	3
281	но когда	2	3
282	к другому	2	3
283	или в	3	3
284	на нас	3	3
285	отношения к	7	3
286	не к	2	3
287	мы будем	5	3
288	мы уже	17	3
289	но он	4	3
290	не о	2	2
291	данном случае	2	2
292	следовательно и	3	2
293	о чем	4	2
294	чтобы они	4	2
295	здесь как	3	2
296	не как	2	2
297	в это	5	2
298	то есть	42	2
299	наряду с	7	2
300	не был	2	2
301	в одно	3	2
302	и прежде	4	2
303	в виду	5	2
304	но эта	5	2
305	как он	4	2
306	за ними	3	2
307	у них	4	2
308	точку зрения	3	2
309	первый тип	6	2
310	его от	3	2
311	и дает	3	2
312	одно из	3	2
313	совсем не	4	2
314	но эти	4	2
315	на этой	4	2
316	с другом	5	2
317	уже в	5	2
318	по природе	2	2
319	своей собственной	3	2
320	ту же	4	2
321	форме и	2	2
322	так в	2	2
323	что на	3	2
324	в определенном	3	2
325	нет ничего	4	2
326	и та	2	2
327	и вне	3	2
328	между собой	5	2
329	не столько	2	2
330	и совершенно	3	2
331	раньше и	2	2
332	а затем	3	2
333	связи с	14	2
334	в связи	13	2
335	не на	4	2
336	того и	3	2
337	и они	4	2
338	них и	2	2
339	вопрос об	2	2
340	все то	2	2
341	если они	2	2
342	а также	5	2
343	здесь не	5	2
344	в начале	3	2
345	только к	3	2
346	к этому	5	2
347	не обязательно	2	2
348	нем нет	2	2
349	по преимуществу	4	2
350	это было	2	2
351	поэтому и	4	2
352	он только	2	2
353	в данной	2	2
354	друг с	5	2
355	стороны и	2	2
356	что здесь	2	2
357	мы еще	5	2
358	природе своей	2	2
359	человека в	22	2
360	этом отношении	5	2
361	они как	2	2
362	и другие	6	2
363	раз в	4	2
364	чем не	5	2
365	начиная от	3	2
366	было и	4	2
367	себе и	4	2
368	но они	3	2
369	жизнь и	4	2
370	лишь как	3	2
371	же и	2	2
372	почти все	4	2
373	самим собою	5	2
374	связан с	2	2
375	ее к	2	2
376	и так	2	2
377	конечно и	5	2
378	далеко не	3	2
379	где она	2	2
380	на анализе	2	2
381	именно в	5	2
382	но к	2	2
383	и к	4	2
384	но для	2	2
385	но на	4	2
386	в более	2	2
387	для нас	2	2
388	и на	13	2
389	раз и	3	2
390	и того	7	2
391	он сам	2	2
392	и уже	4	2
393	с собой	2	2
394	конечно не	7	2
395	является не	2	2
396	во всем	3	2
397	той же	2	2
398	мы говорили	3	2
399	во втором	2	2
400	с его	10	2
401	к реальному	3	2
402	и внутреннее	3	2
403	на основе	5	2
404	тем же	3	2
