N	2gram	Tiupa_Teor	VeschiIm
1	и не	17	57
2	не только	24	48
3	то что	6	48
4	не может	8	46
5	и в	24	45
6	может быть	22	39
7	а не	14	37
8	потому что	3	25
9	не просто	2	24
10	в себе	14	23
11	что она	2	23
12	по себе	2	23
13	только в	9	23
14	сказать что	4	22
15	и что	4	22
16	в имени	2	21
17	что такое	2	20
18	как бы	8	20
19	и ее	4	19
20	но и	14	19
21	в этом	12	18
22	и это	2	17
23	прежде всего	3	17
24	и –	3	17
25	того что	5	16
26	таким образом	3	16
27	как раз	3	16
28	в том	20	15
29	как и	6	15
30	уже не	6	15
31	не в	9	14
32	– в	20	14
33	и то	3	14
34	том что	11	13
35	а и	5	13
36	это и	2	13
37	не будет	3	13
38	и больше	2	13
39	и для	3	13
40	в самом	7	13
41	то ни	2	13
42	в себя	5	13
43	что в	10	12
44	точки зрения	11	12
45	что и	2	12
46	что они	2	12
47	и как	3	12
48	то же	12	12
49	ни было	2	12
50	еще не	6	12
51	и даже	2	12
52	о том	2	12
53	если мы	2	12
54	бы то	2	12
55	еще и	2	11
56	в то	9	11
57	не менее	6	11
58	вовсе не	3	11
59	себя в	7	11
60	тем не	3	11
61	– не	4	11
62	ни в	5	11
63	в чем	2	10
64	с ее	4	10
65	это не	4	9
66	со стороны	6	9
67	в своем	7	9
68	я и	2	9
69	у нас	2	9
70	но не	13	9
71	говорить о	4	9
72	и его	11	9
73	в отношении	4	8
74	его в	4	8
75	и потому	3	8
76	что он	4	8
77	– как	2	8
78	но в	12	8
79	в ее	6	8
80	себя и	2	8
81	все это	2	8
82	можно сказать	5	8
83	только и	2	8
84	с другими	6	8
85	мы имеем	7	8
86	отличается от	2	8
87	если бы	3	8
88	для него	5	8
89	не с	3	8
90	с другой	9	8
91	отнюдь не	3	8
92	с чем	2	7
93	и тем	5	7
94	самом деле	2	7
95	а в	15	7
96	все эти	3	7
97	я не	2	7
98	сама по	2	7
99	с этой	3	7
100	оно не	2	7
101	мог бы	3	7
102	никогда не	4	6
103	в каком	2	6
104	для себя	3	6
105	определенным образом	2	6
106	так или	5	6
107	в нем	7	6
108	между ними	6	6
109	в своей	8	6
110	тех или	3	6
111	одно и	2	6
112	в данном	9	6
113	дело в	2	6
114	на почве	5	6
115	или иначе	6	6
116	их в	3	6
117	несмотря на	2	6
118	в той	2	6
119	с точки	3	6
120	в одном	3	6
121	как к	5	5
122	должен быть	2	5
123	свою очередь	3	5
124	вместе с	2	5
125	собственно говоря	2	5
126	как это	10	5
127	того же	4	5
128	один из	2	5
129	на себя	2	5
130	в его	12	5
131	о ней	3	5
132	хотя и	4	5
133	быть и	2	5
134	во всех	3	5
135	в которой	3	5
136	об этом	2	5
137	и здесь	2	5
138	в жизни	3	5
139	подобно тому	3	5
140	от всех	2	5
141	в свою	4	5
142	только не	3	5
143	тому как	3	5
144	– это	33	5
145	но –	2	5
146	– только	3	4
147	так же	2	4
148	и притом	3	4
149	в силу	4	4
150	в конце	2	4
151	отношение к	7	4
152	в их	4	4
153	так и	14	4
154	в этой	3	4
155	более или	6	4
156	этой точки	2	4
157	не предполагает	5	4
158	того чтобы	5	4
159	в качестве	33	4
160	с ними	2	4
161	в основе	6	4
162	то в	2	4
163	есть в	3	4
164	дело не	2	4
165	и вот	3	4
166	по своей	8	4
167	и о	5	4
168	отношении к	4	4
169	образом и	2	4
170	на этом	2	4
171	или менее	6	4
172	сводится к	12	4
173	же время	8	4
174	он не	5	4
175	и сам	4	4
176	перед нами	3	3
177	к одному	2	3
178	для меня	2	3
179	но как	2	3
180	не является	5	3
181	человека и	2	3
182	но она	2	3
183	в другом	4	3
184	и а	4	3
185	казалось бы	2	3
186	только на	2	3
187	в частности	23	3
188	может и	2	3
189	а с	3	3
190	это может	2	3
191	к нему	2	3
192	к тому	4	3
193	а только	4	3
194	была бы	3	3
195	вещами и	2	3
196	одной стороны	3	3
197	другой стороны	6	3
198	в целом	4	3
199	– то	2	3
200	тогда как	18	3
201	заключается в	2	3
202	той или	3	3
203	не все	3	3
204	могла бы	2	3
205	ту или	2	3
206	тем более	2	3
207	говорит что	2	3
208	на меня	3	3
209	превращается в	2	3
210	жизни в	2	3
211	для того	5	3
212	как в	5	3
213	ни к	3	3
214	с одной	3	3
215	случае не	2	3
216	у него	2	3
217	в самой	2	3
218	есть как	2	3
219	я в	18	3
220	или иную	2	3
221	из которых	2	3
222	к другому	2	3
223	однако в	7	3
224	или в	3	3
225	отношения к	4	3
226	этих двух	2	3
227	имеем дело	2	3
228	но он	4	3
229	данном случае	5	2
230	чтобы не	2	2
231	тем самым	6	2
232	к действительности	3	2
233	тому что	2	2
234	о чем	3	2
235	– и	2	2
236	то есть	22	2
237	в одно	2	2
238	и прежде	2	2
239	в виду	5	2
240	на две	3	2
241	– с	8	2
242	на вопрос	2	2
243	для такого	2	2
244	зрения и	2	2
245	это тоже	2	2
246	так в	4	2
247	а а	5	2
248	между собой	3	2
249	не столько	7	2
250	– все	3	2
251	тем или	2	2
252	а затем	2	2
253	при всем	2	2
254	связи с	3	2
255	в связи	3	2
256	не на	4	2
257	в первом	2	2
258	в первой	6	2
259	и который	2	2
260	к его	3	2
261	а также	7	2
262	здесь не	2	2
263	не обязательно	3	2
264	по преимуществу	5	2
265	это было	2	2
266	и другие	2	2
267	самим собою	2	2
268	не случайно	5	2
269	далеко не	4	2
270	или иных	3	2
271	именно в	3	2
