N	2gram	Bakhtin_sl	KulturaY
1	и т	56	143
2	т п	49	93
3	и в	69	84
4	в том	7	74
5	потому что	2	68
6	не только	37	60
7	точки зрения	24	59
8	в этом	21	57
9	было бы	3	53
10	и не	32	52
11	может быть	40	47
12	том что	6	44
13	что в	3	44
14	т д	7	42
15	для того	2	41
16	в самом	6	41
17	у нас	2	38
18	хотя бы	6	37
19	так как	7	36
20	с точки	11	36
21	таким образом	16	33
22	а не	29	33
23	можно было	2	32
24	не в	14	30
25	прежде всего	14	30
26	в его	19	30
27	все же	10	29
28	того что	4	28
29	не менее	4	28
30	все эти	15	28
31	в языке	7	26
32	уже не	5	26
33	не может	27	25
34	то что	2	25
35	вовсе не	16	25
36	еще не	9	24
37	с другой	8	24
38	так и	22	23
39	то же	17	23
40	только в	9	23
41	с помощью	5	23
42	языка в	21	22
43	тем не	2	21
44	во всяком	9	20
45	но и	37	20
46	по себе	4	20
47	и что	2	20
48	что он	2	19
49	но в	13	19
50	языка и	18	19
51	речи в	5	19
52	зависимости от	4	19
53	о том	5	19
54	всяком случае	7	19
55	между тем	5	18
56	связи с	4	18
57	все это	14	18
58	в качестве	4	18
59	к тому	3	18
60	в сущности	18	18
61	как бы	16	18
62	и с	10	18
63	вместе с	3	18
64	это не	8	17
65	как раз	3	17
66	как это	3	17
67	можно говорить	2	17
68	другой стороны	5	17
69	в той	13	17
70	слова и	21	17
71	в виду	2	16
72	ничего не	5	16
73	в зависимости	4	16
74	что и	2	16
75	но не	7	16
76	по отношению	2	15
77	и тем	3	15
78	один из	9	15
79	а в	10	15
80	при этом	12	15
81	того как	2	15
82	в данном	5	15
83	должно быть	3	15
84	целый ряд	2	15
85	лишь в	6	15
86	именно в	5	15
87	не было	4	15
88	в них	11	14
89	в связи	2	14
90	хотя и	4	14
91	как мы	15	14
92	сказать что	4	14
93	отношению к	2	14
94	сих пор	4	14
95	также и	5	14
96	если мы	2	14
97	и на	17	14
98	в ней	7	14
99	до сих	4	14
100	не могут	7	13
101	по существу	3	13
102	в пределах	27	13
103	к языку	3	13
104	для нас	7	13
105	там где	10	13
106	и его	45	13
107	той же	3	13
108	для этого	4	12
109	с этой	3	12
110	как в	18	12
111	того же	7	12
112	тогда когда	2	12
113	могут быть	25	12
114	этого слова	2	12
115	в результате	4	12
116	речь в	2	12
117	говорить о	2	12
118	или иной	13	11
119	должен быть	3	11
120	в их	6	11
121	в своем	9	11
122	языка как	10	11
123	речи и	4	11
124	на себе	2	11
125	те же	3	11
126	язык как	5	11
127	из этих	3	11
128	должна быть	3	11
129	в нем	44	11
130	этом отношении	2	11
131	совершенно не	2	11
132	и здесь	5	11
133	что язык	2	11
134	и то	2	11
135	слова в	19	11
136	в какой	2	11
137	уже в	2	11
138	он не	5	11
139	так же	2	10
140	в то	17	10
141	к этому	3	10
142	они не	3	10
143	как и	8	10
144	ту же	5	10
145	бы и	6	10
146	того или	2	10
147	с этим	5	10
148	несмотря на	2	10
149	в особенности	10	10
150	в первом	3	10
151	на фоне	11	10
152	конечно не	7	10
153	не просто	2	10
154	в целом	3	9
155	xix века	2	9
156	здесь не	6	9
157	что все	2	9
158	и для	7	9
159	в своей	8	9
160	можно сказать	2	9
161	рядом с	7	9
162	или иного	2	9
163	а также	5	9
164	но это	3	9
165	в которой	4	9
166	но уже	2	9
167	слова как	8	9
168	на то	2	9
169	ни в	4	9
170	и есть	2	9
171	на самом	2	8
172	в частности	3	8
173	мы видели	3	8
174	в чем	2	8
175	литературный язык	9	8
176	с одной	7	8
177	и о	3	8
178	был бы	2	8
179	что они	2	8
180	этом случае	4	8
181	слов и	5	8
182	с его	8	8
183	да и	2	8
184	по преимуществу	5	8
185	и как	3	8
186	в этих	8	8
187	тому что	2	8
188	смысл и	3	8
189	но все	2	8
190	далеко не	7	8
191	не есть	2	8
192	в таком	5	8
193	же в	2	8
194	до конца	25	7
195	в свою	4	7
196	языке как	3	7
197	в процессе	14	7
198	о слове	7	7
199	в поэзии	4	7
200	как он	2	7
201	свою очередь	3	7
202	и потому	9	7
203	не знает	3	7
204	а с	2	7
205	она не	8	7
206	на том	2	7
207	одной стороны	7	7
208	нисколько не	3	7
209	языка но	7	7
210	с ними	8	7
211	например в	6	7
212	речи не	2	7
213	так сказать	11	7
214	не все	2	7
215	как о	2	7
216	же и	4	7
217	язык в	9	7
218	в истории	6	7
219	а именно	2	7
220	и более	3	7
221	столь же	2	7
222	в котором	2	7
223	с ним	12	7
224	в одном	4	7
225	только как	2	7
226	в слове	11	7
227	не значит	2	7
228	даже в	4	6
229	перед нами	7	6
230	слов в	2	6
231	данном случае	3	6
232	в себе	3	6
233	нуждается в	3	6
234	как к	5	6
235	роль в	4	6
236	на этом	4	6
237	п в	2	6
238	отличие от	13	6
239	в свое	3	6
240	может иметь	3	6
241	которые в	4	6
242	от этого	2	6
243	языка это	2	6
244	в отличие	12	6
245	что оно	4	6
246	не столько	4	6
247	в ее	2	6
248	той или	13	6
249	не на	6	6
250	на язык	2	6
251	за пределы	6	6
252	дело не	2	6
253	мы не	4	6
254	отличается от	3	6
255	п но	2	6
256	что как	2	6
257	или в	10	6
258	же время	15	6
259	не с	5	6
260	литературного языка	28	6
261	романа в	5	6
262	оно не	12	6
263	языка не	4	6
264	приводит к	2	6
265	могли бы	2	6
266	язык это	3	6
267	в сфере	2	6
268	никогда не	9	5
269	в отношении	9	5
270	язык не	5	5
271	и к	9	5
272	речи как	3	5
273	а на	3	5
274	в духе	3	5
275	в форме	3	5
276	в другом	4	5
277	в иных	2	5
278	слово в	18	5
279	и у	2	5
280	здесь как	3	5
281	и при	2	5
282	или менее	5	5
283	так что	2	5
284	по своему	2	5
285	о нем	6	5
286	установка на	8	5
287	более или	5	5
288	в большей	3	5
289	даже и	4	5
290	широком смысле	3	5
291	так в	2	5
292	языку как	4	5
293	но как	2	5
294	смысле слова	2	5
295	отметить что	3	5
296	живет и	2	5
297	в двух	2	5
298	интерес к	3	5
299	и от	5	5
300	всех этих	8	5
301	не как	4	5
302	речи но	2	5
303	и даже	11	5
304	кроме того	6	5
305	языка на	3	5
306	самого языка	3	5
307	у него	5	5
308	нас в	3	5
309	лишь как	3	5
310	на протяжении	3	5
311	отношение к	8	5
312	конечно и	3	5
313	язык и	17	5
314	еще более	7	5
315	или иначе	2	5
316	есть не	2	5
317	и их	6	5
318	только не	2	5
319	точка зрения	10	5
320	только о	2	5
321	и только	2	5
322	чем в	3	5
323	все они	9	4
324	его в	7	4
