N	2gram	Voloshinov	Poddanst
1	не только	6	17
2	и в	13	14
3	и не	8	12
4	в области	2	11
5	в этом	2	10
6	в отношении	2	10
7	но в	4	9
8	то же	4	9
9	в том	2	9
10	хотя бы	5	8
11	в пределах	3	8
12	только в	6	7
13	но и	3	6
14	было бы	4	6
15	в ней	2	6
16	с другой	2	5
17	не в	3	5
18	и пр	7	5
19	может быть	8	5
20	что в	3	4
21	если бы	2	4
22	том что	2	4
23	а также	2	4
24	мы должны	6	4
25	и к	2	4
26	как бы	6	4
27	то что	6	4
28	не может	8	4
29	а в	2	4
30	с точки	5	3
31	мы не	4	3
32	в себе	3	3
33	точки зрения	7	3
34	одной стороны	2	3
35	в нем	2	3
36	между тем	2	3
37	вслед за	2	3
38	могут быть	2	3
39	прежде всего	9	3
40	тот же	2	3
41	с одной	2	3
42	с ними	2	3
43	да и	3	2
44	в них	2	2
45	есть не	2	2
46	и тем	2	2
47	в его	7	2
48	с этим	3	2
49	в общем	2	2
50	не менее	2	2
51	говорить о	3	2
52	все это	4	2
53	в выборе	4	2
54	а не	2	2
55	во всей	2	2
56	в ее	3	2
57	думать что	2	2
58	в которую	2	2
59	не столько	3	2
