N	3gram	Propp_Russ	Problemy
1	с точки зрения	3	25
2	в большинстве случаев	2	12
3	в том что	27	8
4	и в этом	2	7
5	и т д	12	7
6	в отличие от	4	6
7	подобно тому как	3	5
8	можно было бы	2	5
9	но все же	2	5
10	тем не менее	3	4
11	друг к другу	2	4
12	может быть и	3	4
13	о том что	6	4
14	в то время	3	3
15	и в других	7	3
16	в данном случае	7	3
17	как мы уже	2	3
18	на то что	2	3
19	как мы увидим	5	3
20	все же не	2	3
21	в настоящее время	3	3
22	т е в	6	3
23	это не значит	2	3
24	в этом случае	9	3
25	как можно больше	2	2
26	же как и	3	2
27	но тем не	2	2
28	и в том	2	2
29	но это не	3	2
30	но и на	2	2
31	еще далеко не	2	2
32	с таким же	2	2
33	к тому что	4	2
34	вместе с тем	10	2
35	для того чтобы	6	2
36	о том же	4	2
37	в свою очередь	2	2
