N	3gram	Vygotskiy_	RusskieA
1	в том что	33	49
2	состоит в том	7	29
3	в этом случае	5	12
4	вместе с тем	4	11
5	о том что	7	10
6	том что в	2	9
7	в том чтобы	3	9
8	в данном случае	3	8
9	для того чтобы	20	8
10	подобно тому как	6	8
11	мы не можем	2	7
12	в настоящее время	2	7
13	состояла в том	2	7
14	как мы видели	4	6
15	не может быть	4	6
16	так же как	9	6
17	в связи с	6	5
18	к тому что	5	5
19	мы видели что	2	5
20	не что иное	2	4
21	во всяком случае	2	4
22	один из них	2	4
23	в то время	4	4
24	можно было бы	8	4
25	только тогда когда	2	4
26	как мы уже	2	4
27	что иное как	2	4
28	в отличие от	3	4
29	но вместе с	3	3
30	приводит нас к	3	3
31	же как и	2	3
32	тому как в	3	3
33	по отношению к	19	3
34	с тем что	3	3
35	с точки зрения	12	3
36	друг к другу	3	3
37	и что в	2	3
38	в какой степени	2	3
39	до сих пор	3	3
40	к выводу что	3	3
41	на то что	5	3
42	в свою очередь	4	3
43	в этом и	2	2
44	на самом деле	3	2
45	до того как	2	2
46	потому что он	7	2
47	можно сказать что	7	2
48	в этом отношении	7	2
49	о том как	3	2
50	с таким же	3	2
51	ничего общего с	3	2
52	вопрос о том	4	2
53	друг с другом	10	2
54	с одной стороны	10	2
55	приводят нас к	2	2
56	с другой стороны	8	2
57	так как это	3	2
58	но все же	2	2
