N	2gram	Berdyaev_O	Narrotol
1	не только	11	62
2	и не	13	50
3	но и	13	45
4	а не	11	38
5	может быть	11	30
6	и в	19	30
7	в том	5	29
8	том что	2	28
9	в этом	12	28
10	а в	5	27
11	как и	6	24
12	не в	11	23
13	то что	5	23
14	не может	4	20
15	в себе	3	17
16	так и	2	17
17	в его	7	16
18	но в	2	15
19	и его	4	14
20	в своем	2	13
21	в своей	2	13
22	у него	22	13
23	о том	3	13
24	все же	2	12
25	прежде всего	9	12
26	как бы	3	12
27	в нем	10	11
28	в этой	5	11
29	жизни в	2	11
30	хотя и	2	11
31	никогда не	9	10
32	ничего не	2	10
33	того что	3	10
34	и все	10	10
35	с его	4	10
36	еще не	3	9
37	что он	3	9
38	что в	4	9
39	для него	5	9
40	потому что	9	9
41	с ним	3	9
42	того чтобы	4	8
43	и он	8	8
44	и для	2	8
45	в самом	5	8
46	и к	2	8
47	он не	7	8
48	это не	3	7
49	в ее	2	7
50	и на	2	7
51	что и	2	6
52	сказать что	2	6
53	что у	2	6
54	все что	3	6
55	человеческих отношений	4	6
56	в другом	2	5
57	и о	2	5
58	о любви	2	5
59	к нему	3	5
60	было бы	3	5
61	и то	2	5
62	и от	3	5
63	для того	3	5
64	в своих	3	5
65	в русской	3	5
66	не было	9	5
67	он сам	4	5
68	и ее	3	4
69	в душе	2	4
70	не все	2	4
71	что они	2	4
72	хотя бы	3	4
73	к этому	2	4
74	это было	3	4
75	к ней	2	4
76	не имеет	2	4
77	человека в	11	4
78	и с	2	4
79	по себе	2	4
80	о которой	2	4
81	до конца	7	3
82	и потому	2	3
83	как к	2	3
84	и вот	3	3
85	его не	2	3
86	одно из	2	3
87	своей жизни	2	3
88	что не	4	3
89	все эти	4	3
90	о его	5	3
91	в которой	2	3
92	лишь в	7	3
93	должен был	2	3
94	в этих	3	3
95	но он	7	3
96	в человеке	9	2
97	достоевского и	5	2
98	так что	2	2
99	человека есть	2	2
100	могут быть	3	2
101	быть может	3	2
102	можно ли	2	2
103	что же	2	2
104	никто не	3	2
105	в россии	5	2
106	должно быть	2	2
107	это за	3	2
108	в этот	2	2
109	мысль о	2	2
110	все это	6	2
111	тем что	2	2
112	не есть	2	2
113	и есть	3	2
114	он лишь	3	2
115	отношение к	5	2
116	ни с	7	2
117	когда он	3	2
118	в самую	4	2
119	человеке в	5	2
120	в других	2	2
121	человек и	4	2
