N	2gram	Losev_Prob	Stilisti
1	и в	62	42
2	как бы	11	30
3	не только	33	28
4	прежде всего	13	22
5	хотя бы	6	18
6	то же	23	16
7	но и	20	16
8	и не	56	14
9	не может	14	13
10	может быть	39	13
11	как и	15	12
12	точки зрения	14	11
13	что мы	12	11
14	мы уже	4	11
15	в себе	23	10
16	и как	4	10
17	отнюдь не	16	10
18	мы должны	13	10
19	в этом	25	10
20	как мы	12	10
21	в то	18	9
22	для того	5	9
23	все же	10	9
24	то что	42	9
25	эти слова	2	9
26	при этом	9	9
27	мы не	15	9
28	тем самым	9	8
29	ничего не	4	8
30	так как	14	8
31	и это	11	8
32	с тем	9	8
33	в ней	12	8
34	что же	9	8
35	таким образом	13	8
36	никогда не	7	7
37	другими словами	9	7
38	и от	11	7
39	в которой	3	7
40	мы можем	11	7
41	зависимости от	3	7
42	и той	2	7
43	так и	16	7
44	потому что	40	7
45	только в	33	7
46	а не	28	7
47	и на	4	7
48	того чтобы	4	7
49	в зависимости	3	7
50	было бы	14	7
51	и его	12	7
52	той же	2	7
53	и тем	16	7
54	одно и	4	6
55	или иной	20	6
56	когда мы	24	6
57	бы в	3	6
58	во всех	4	6
59	не в	21	6
60	но ведь	2	6
61	в области	2	6
62	в конце	7	6
63	или как	4	6
64	в нем	13	6
65	в процессе	2	6
66	в его	10	6
67	в этой	10	6
68	мы будем	3	6
69	и то	17	5
70	все время	2	5
71	того или	8	5
72	независимо от	4	5
73	и следовательно	3	5
74	в нашем	13	5
75	то есть	63	5
76	слова и	3	5
77	не является	19	5
78	и наконец	2	5
79	самом деле	6	5
80	как это	4	5
81	а с	2	5
82	мы видели	2	5
83	но все	5	5
84	и является	6	5
85	тому что	5	5
86	а в	9	5
87	но в	17	5
88	или иного	5	5
89	в самом	4	5
90	и с	11	5
91	уже в	5	5
92	в той	8	5
93	с точки	9	5
94	же самое	20	5
95	вместе с	3	5
96	да и	9	4
97	что это	3	4
98	в одном	4	4
99	так же	11	4
100	ту или	3	4
101	само собой	3	4
102	его в	4	4
103	на него	3	4
104	если бы	9	4
105	то или	5	4
106	что именно	3	4
107	не что	6	4
108	были бы	5	4
109	слова как	3	4
110	у нас	17	4
111	того что	10	4
112	можно было	7	4
113	одной и	2	4
114	и все	13	4
115	к тому	4	4
116	о том	14	4
117	что такое	4	4
118	или иную	3	4
119	если мы	24	4
120	уже не	12	4
121	и к	9	4
122	в целом	9	4
123	не существует	6	4
124	языка и	4	4
125	не знаем	2	4
126	или иное	3	4
127	той или	22	4
128	не просто	36	4
129	все это	9	4
130	в качестве	10	4
131	себя в	4	4
132	как только	3	4
133	тех или	10	4
134	можно сказать	10	4
135	не к	2	4
136	в слове	4	4
137	и без	9	4
138	тем же	2	4
139	сказать что	24	3
140	на самом	13	3
141	мы ни	4	3
142	это не	10	3
143	слова но	3	3
144	том что	25	3
145	бы мы	2	3
146	а к	2	3
147	в начале	3	3
148	в тех	3	3
149	но для	3	3
150	и поэтому	3	3
151	перед нами	8	3
152	об этом	7	3
153	и даже	21	3
154	этого слова	5	3
155	от того	2	3
156	то мы	3	3
157	и здесь	8	3
158	или иных	7	3
159	конце концов	4	3
160	в виду	20	3
161	в том	35	3
162	в частности	4	3
163	у них	2	3
164	еще не	12	3
165	только на	6	3
166	ведь в	2	3
167	совершенно не	7	3
168	как в	10	3
169	в разных	4	3
170	мертвых душ	2	3
171	только он	2	3
172	для него	4	3
173	по своему	6	3
174	то он	3	3
175	не так	8	3
176	как предмет	2	3
177	и для	5	3
178	явления природы	2	3
179	ни на	5	3
180	нам в	2	3
181	что у	3	3
182	только благодаря	2	3
183	в котором	3	3
184	их в	2	3
185	заметить что	2	3
186	в голову	2	3
187	зрения на	2	3
188	что оно	4	3
189	как таковой	2	3
190	если не	7	3
191	из которых	6	3
192	не будет	3	3
193	но что	3	3
194	из них	4	3
195	для нас	23	3
196	представить себе	5	3
197	ведь если	3	3
198	хотя и	9	3
199	несмотря на	4	3
200	жизни и	7	3
201	что и	11	3
202	необходимо чтобы	2	3
203	в ее	6	3
204	этом мы	3	3
205	мы в	6	3
206	все эти	14	3
207	конечно не	3	3
208	связи с	10	3
209	до того	2	3
210	но вот	4	3
211	отношения к	3	3
212	этом случае	8	3
213	в основе	3	3
214	здесь мы	5	3
215	что иное	6	2
216	еще и	10	2
217	в каком	9	2
218	первый взгляд	3	2
219	в отношении	4	2
220	для этого	9	2
221	и вообще	20	2
222	вопрос о	2	2
223	имели в	2	2
224	и все-таки	3	2
225	и потому	13	2
226	с этим	5	2
227	для всех	3	2
228	относится к	4	2
229	с другими	6	2
230	в нашей	4	2
231	мы имеем	7	2
232	нет ничего	6	2
233	но как	6	2
234	же такое	3	2
235	бы и	7	2
236	но даже	7	2
237	времени и	4	2
238	и нет	2	2
239	к этому	2	2
240	с ней	5	2
241	и больше	4	2
242	от их	2	2
243	с самим	4	2
244	не нужно	2	2
245	чего же	4	2
246	иное как	6	2
247	при условии	4	2
248	у человека	2	2
249	самое время	10	2
250	друг друга	5	2
251	есть не	13	2
252	себе все	2	2
253	же самой	4	2
254	на первый	6	2
255	кроме того	5	2
256	но эта	4	2
257	тем что	8	2
258	в языке	4	2
259	бы не	2	2
260	находятся в	5	2
261	в их	2	2
262	тот или	4	2
263	да еще	3	2
264	в значительной	2	2
265	и при	2	2
266	в этих	6	2
267	что он	16	2
268	в наших	3	2
269	ничем не	2	2
270	и сам	6	2
271	нас не	6	2
272	и ни	5	2
273	ни к	3	2
274	себе и	4	2
275	на отдельные	3	2
276	сих пор	4	2
277	его не	2	2
278	в пределах	3	2
279	нашего исследования	2	2
280	себе в	5	2
281	который мы	2	2
282	только тогда	2	2
283	на этот	4	2
284	знак и	10	2
285	только потому	3	2
286	но не	6	2
287	и этот	3	2
288	в него	2	2
289	для каждого	2	2
290	также и	22	2
291	к нему	3	2
292	гораздо более	6	2
293	связанные с	2	2
294	равно как	2	2
295	в своих	2	2
296	еще более	3	2
297	с собой	6	2
298	внутри себя	2	2
299	даже и	33	2
300	не есть	57	2
301	из трех	2	2
302	будет иметь	2	2
303	этот вопрос	3	2
304	в которых	3	2
305	не говоря	2	2
306	однако в	3	2
307	между собой	3	2
308	и он	3	2
309	о чем	4	2
310	для них	4	2
311	как таковое	2	2
312	не было	6	2
313	и когда	4	2
314	здесь не	11	2
315	но это	13	2
316	что вся	2	2
317	это же	4	2
318	в своей	8	2
319	или даже	6	2
320	как нечто	9	2
321	и тогда	3	2
322	существует и	2	2
323	не будут	2	2
324	или в	7	2
325	в связи	9	2
326	он не	10	2
327	природы и	3	2
328	значение и	7	2
329	с ним	11	2
330	мы говорили	3	2
331	для всякого	2	2
332	вовсе не	62	2
333	ясно что	11	2
