N	3gram	Vinokur_St	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	10	9
4	в том что	29	7
5	для того чтобы	13	6
6	во всяком случае	8	6
7	на самом деле	7	6
8	до сих пор	12	5
9	а между тем	2	5
10	бы то ни	2	4
11	на то что	5	4
12	более или менее	2	4
13	не может быть	5	4
14	вместе с тем	2	3
15	в этом случае	3	3
16	в конце концов	2	3
17	в данном случае	7	3
18	и то что	2	3
19	можно было бы	8	3
20	к тому что	4	2
21	что он не	5	2
22	точно так же	2	2
23	и в том	3	2
24	того или иного	4	2
25	только в том	3	2
26	о том что	19	2
27	в настоящее время	2	2
28	тот факт что	5	2
