N	3gram	Tiupa_Vved	StatiiOP
1	в том что	10	47
2	о том что	6	29
3	в этом отношении	7	24
4	во всяком случае	3	13
5	с другой стороны	2	13
6	не может быть	6	11
7	в то же	5	9
8	в самом деле	2	9
9	то же время	4	9
10	на то что	2	9
11	можно было бы	2	9
12	на самом деле	4	8
13	тем не менее	3	8
14	не только в	3	8
15	в данном случае	15	7
16	у нас нет	2	7
17	не в том	3	7
18	по отношению к	11	6
19	речь идет о	3	6
20	что же касается	2	5
21	но и в	3	5
22	в том чтобы	2	5
23	мере в какой	2	4
24	с одной стороны	9	4
25	в том как	2	3
26	той мере в	2	3
27	на этот раз	2	3
28	к тому же	6	3
29	а с другой	3	3
30	более или менее	2	3
31	в той мере	2	3
32	состоит в том	2	3
33	в значительной степени	2	3
34	то же самое	2	2
35	как мы видели	3	2
36	имеем дело с	4	2
37	а также и	2	2
38	как и в	2	2
39	с того что	2	2
40	той или иной	4	2
41	не столько в	2	2
42	в отличие от	11	2
43	по большей части	4	2
44	в свою очередь	5	2
