N	3gram	Tiupa_Anal	Narrotol
1	в том что	12	18
2	в данном случае	11	17
3	не только в	5	13
4	по отношению к	9	11
5	в отличие от	5	11
6	о том что	7	9
7	к тому же	7	9
8	в то же	7	8
9	той или иной	6	8
10	тем не менее	3	8
11	в этом отношении	3	8
12	в соответствии с	2	8
13	то же время	7	8
14	не может быть	2	8
15	можно сказать что	2	6
16	и тем самым	2	6
17	с одной стороны	3	6
18	в известном смысле	2	6
19	состоит в том	2	6
20	мы имеем дело	4	6
21	подобно тому как	3	5
22	но и в	2	5
23	в свою очередь	7	5
24	во всяком случае	6	4
25	в конечном счете	5	4
26	в равной степени	2	4
27	так и не	5	3
28	речь идет о	2	3
29	как уже говорилось	2	3
30	тогда как в	3	3
31	присутствия в мире	5	3
32	того или иного	5	3
33	в ответ на	2	3
34	с точки зрения	2	3
35	едва ли не	3	3
36	я в мире	7	3
37	по природе своей	3	3
38	дело в том	3	3
39	а в том	2	3
40	и то что	2	3
41	здесь не только	4	2
42	в русской литературе	5	2
43	тем или иным	2	2
44	не только не	3	2
45	в таком случае	2	2
46	в войне и	2	2
47	одного и того	4	2
48	присутствия я в	5	2
49	человеческого я в	2	2
50	войне и мире	2	2
51	тому же в	2	2
52	и того же	4	2
53	дело здесь не	4	2
54	кадров внутреннего зрения	3	2
55	с той или	2	2
56	в той или	2	2
