N	3gram	Propp_Russ	Marksizm
1	с точки зрения	3	46
2	в связи с	4	14
3	в том что	27	14
4	для того чтобы	6	11
5	в отличие от	4	10
6	в большинстве случаев	2	9
7	может быть и	3	8
8	в настоящее время	3	8
9	в свою очередь	2	7
10	на то что	2	6
11	как мы уже	2	6
12	к тому что	4	5
13	в этом случае	9	5
14	на самом же	2	5
15	самом же деле	2	5
16	мы уже знаем	2	4
17	о том что	6	4
18	но все же	2	4
19	тем не менее	3	3
20	мы не будем	4	3
21	можно было бы	2	3
22	и в этом	2	3
23	же как и	3	2
24	кроме того в	3	2
25	ничего общего не	2	2
26	а иногда и	4	2
27	так же как	5	2
28	и в других	7	2
29	в данном случае	7	2
30	и у нас	2	2
31	в какой степени	3	2
32	как мы увидим	5	2
33	и в том	2	2
