N	2gram	Savitsky_E	VLabPisa
1	таким образом	2	32
2	в этом	12	29
3	не только	18	26
4	и в	37	26
5	может быть	6	23
6	хотя бы	15	20
7	и не	14	20
8	т е	9	18
9	в процессе	4	17
10	не может	9	17
11	в том	11	15
12	в его	2	15
13	этом отношении	3	14
14	в силу	2	14
15	прежде всего	9	13
16	в частности	5	12
17	как это	4	12
18	в качестве	14	12
19	что в	21	11
20	с другой	7	11
21	из них	3	11
22	то же	15	10
23	не могут	2	10
24	но и	14	10
25	о том	3	10
26	в своем	14	8
27	том что	6	8
28	на основании	2	8
29	могут быть	2	8
30	другой стороны	2	8
31	было бы	8	8
32	только в	9	8
33	вместе с	2	8
34	очевидно что	3	7
35	во всех	6	7
36	то что	6	7
37	как и	7	7
38	главным образом	2	7
39	говорит о	3	7
40	же в	2	7
41	а не	2	7
42	не в	5	6
43	в то	16	6
44	в себе	9	6
45	в порядке	2	6
46	так и	10	6
47	бы и	3	6
48	между тем	8	6
49	никогда не	3	5
50	даже в	4	5
51	сказать что	4	5
52	в одном	2	5
53	в результате	3	5
54	в пределах	25	5
55	в их	11	5
56	не является	3	5
57	к тому	8	5
58	как бы	6	5
59	утверждать что	2	5
60	в них	3	5
61	же время	14	5
62	на основе	2	5
63	можно утверждать	2	4
64	одном из	2	4
65	ее в	3	4
66	с тем	3	4
67	что все	2	4
68	когда он	3	4
69	отнюдь не	9	4
70	в самом	4	4
71	в ее	8	4
72	в своей	8	4
73	можно сказать	4	4
74	в этой	2	4
75	и от	3	3
76	при помощи	2	3
77	и к	3	3
78	с этим	2	3
79	так же	9	3
80	но как	2	3
81	вслед за	6	3
82	этот процесс	2	3
83	бы в	2	3
84	но даже	4	3
85	в значительной	2	3
86	и как	2	3
87	если бы	2	3
88	для того	6	3
89	как на	3	3
90	того что	7	3
91	мы видели	3	3
92	далеко не	2	3
93	этот вопрос	2	3
94	она не	2	3
95	а в	2	3
96	всего лишь	3	3
97	в котором	2	3
98	именно в	4	3
99	точки зрения	23	3
100	мира и	3	3
101	в которых	3	3
102	между ними	2	3
103	жизни и	2	3
104	того чтобы	6	3
105	что и	3	3
106	и по	5	3
107	или в	2	3
108	вовсе не	6	3
109	если в	2	2
110	или иной	4	2
111	меньшей степени	2	2
112	и потому	5	2
113	производства в	2	2
114	того или	4	2
115	с другими	2	2
116	одной стороны	8	2
117	можно было	3	2
118	с а	2	2
119	начиная с	2	2
120	и даже	6	2
121	с более	3	2
122	в области	11	2
123	и наконец	2	2
124	частности в	2	2
125	в течение	5	2
126	в известной	3	2
127	с одной	8	2
128	заключается в	2	2
129	одной из	5	2
130	от них	3	2
131	к ним	3	2
132	но не	5	2
133	и для	3	2
134	и этот	2	2
135	стороны и	6	2
136	также и	7	2
137	но в	14	2
138	на то	6	2
139	в общем	3	2
140	ли это	3	2
141	в своих	2	2
142	в ней	4	2
143	в сфере	3	2
144	стороны в	2	2
145	этой точки	5	2
146	между прочим	7	2
147	тогда когда	2	2
148	можно ли	3	2
149	по себе	4	2
150	всяком случае	3	2
151	для них	2	2
152	войны и	2	2
153	и некоторые	3	2
154	отметить что	3	2
155	же как	5	2
156	он сам	2	2
157	он не	2	2
158	во всей	2	2
159	должна быть	2	2
160	но с	2	2
161	на язык	2	2
162	хотя и	2	2
163	во всяком	3	2
