N	2gram	Berdyaev_N	slovoVRo
1	и в	16	92
2	в нем	5	59
3	может быть	7	59
4	и не	11	51
5	не только	5	44
6	не может	16	41
7	но и	3	39
8	в этом	7	36
9	а не	17	34
10	во всех	3	32
11	так и	2	30
12	могут быть	2	29
13	все это	5	25
14	и на	2	22
15	не в	6	21
16	как в	3	21
17	в то	2	20
18	прежде всего	4	19
19	как и	7	18
20	себя в	2	18
21	все эти	2	17
22	в истории	3	17
23	в основе	3	17
24	и даже	2	17
25	в них	4	16
26	но в	2	16
27	и с	2	15
28	это не	4	13
29	с его	6	13
30	и для	4	13
31	с другой	3	13
32	никогда не	6	12
33	и потому	4	12
34	а в	2	12
35	еще не	3	12
36	и к	5	12
37	одной стороны	2	11
38	с одной	2	11
39	все они	2	10
40	в том	8	10
41	и все	4	10
42	она не	3	10
43	в себе	2	10
44	лишь в	6	10
45	уже не	2	10
46	и от	2	9
47	в своей	3	9
48	сказать что	3	9
49	одна из	2	9
50	с ее	5	9
51	но не	2	9
52	в смысле	2	9
53	конечно не	3	9
54	он не	8	9
55	человека и	3	8
56	в ней	5	8
57	все время	2	8
58	с этим	2	8
59	том что	2	7
60	у него	2	7
61	за пределы	3	7
62	жизни и	8	7
63	не было	4	7
64	роль в	2	6
65	xix века	5	6
66	что в	9	6
67	ни в	6	6
68	другой стороны	2	6
69	в новое	3	6
70	хотя бы	2	6
71	эпохи и	4	6
72	мира и	2	6
73	не знает	6	5
74	стремится к	3	5
75	не менее	4	5
76	мы не	2	5
77	должен быть	5	5
78	эти формы	3	5
79	хотя и	2	5
80	для этого	2	5
81	с их	2	5
82	должна быть	3	5
83	на протяжении	2	5
84	о том	4	5
85	вместе с	2	5
86	так же	2	4
87	и формы	2	4
88	того чтобы	2	4
89	новое время	4	4
90	же как	2	4
91	но это	6	4
92	всех сторон	4	4
93	формы и	2	4
94	всех сферах	3	4
95	к тому	3	4
96	по существу	2	4
97	в духе	3	3
98	но она	2	3
99	в новом	2	3
100	такого рода	2	3
101	xviii века	2	3
102	как это	2	3
103	со всех	4	3
104	смысле слова	3	3
105	ведь и	2	3
106	должно быть	4	3
107	это было	3	3
108	жизни в	3	3
109	такой же	2	3
110	силы и	2	3
111	не есть	3	3
112	мир и	2	3
113	к новому	7	3
114	потому что	4	3
115	и это	2	3
116	связана с	2	3
117	и есть	10	2
118	это и	2	2
119	есть в	2	2
120	то что	4	2
121	по своему	4	2
122	в прошлом	3	2
123	что все	2	2
124	xix и	4	2
125	и общества	2	2
126	к ним	3	2
127	все категории	2	2
128	и т.п	2	2
129	не могла	2	2
130	место в	2	2
131	в ее	3	2
132	от всякого	2	2
133	нашего времени	2	2
134	время как	2	2
135	и что	2	2
136	можно было	2	2
137	что она	2	2
138	стремиться к	2	2
139	перестает быть	4	2
140	в жизни	5	2
141	ни к	2	2
142	том и	2	2
143	культуры и	7	2
144	в средние	3	2
145	нет и	2	2
146	средние века	7	2
147	в мировой	2	2
148	нового времени	12	2
149	не к	2	2
150	не значит	3	2
151	и быстро	3	2
