N	3gram	Trubetskoy	Mirosoze
1	не может быть	4	28
2	в том что	16	9
3	для того чтобы	7	7
4	в высшей степени	2	7
5	друг к другу	2	6
6	о том что	4	6
7	вместе с тем	3	6
8	может быть и	4	5
9	до сих пор	15	5
10	по отношению к	11	4
11	в конце концов	4	4
12	на то что	7	4
13	заключает в себе	2	4
14	в то время	2	4
15	во всяком случае	2	3
16	том что он	2	3
17	как и в	2	3
18	не может не	3	3
19	как и все	2	3
20	так же как	3	3
21	по сравнению с	5	3
22	он не может	2	2
23	том что все	2	2
24	именно потому что	2	2
