N	3gram	Tiupa_Hudo	VeschiIm
1	не может быть	4	24
2	то ни было	2	12
3	бы то ни	2	12
4	тем не менее	3	11
5	в том что	8	9
6	в самом деле	2	7
7	сама по себе	2	7
8	с точки зрения	3	6
9	так или иначе	4	6
10	одно и то	3	5
11	и то же	3	5
12	в то же	7	5
13	подобно тому как	3	5
14	в свою очередь	2	5
15	с этой точки	2	4
16	более или менее	6	4
17	этой точки зрения	2	4
18	то же время	7	4
19	можно сказать что	3	3
20	ту или иную	2	3
21	с одной стороны	3	3
22	с другой стороны	6	3
23	и в то	2	3
24	в основе своей	2	2
25	для того чтобы	5	2
26	том что он	2	2
27	к тому что	2	2
28	в отношении к	2	2
29	в связи с	3	2
30	в этом смысле	3	2
31	мы имеем дело	2	2
32	тех или иных	2	2
33	в той или	2	2
