N	3gram	Propp_Isto	Problemy
1	по отношению к	2	18
2	не может быть	4	14
3	в большинстве случаев	2	12
4	до сих пор	7	10
5	во всяком случае	2	9
6	с другой стороны	10	9
7	друг с другом	2	8
8	в том что	8	8
9	и т д	30	7
10	к тому же	4	5
11	подобно тому как	3	5
12	можно было бы	2	5
13	но все же	5	5
14	тем не менее	6	4
15	то что было	2	4
16	о том что	3	4
17	как и в	2	4
18	смысле этого слова	3	4
19	как мы видели	7	3
20	в то время	2	3
21	и в других	3	3
22	в данном случае	6	3
23	на то что	4	3
24	как мы увидим	2	3
25	не только не	2	3
26	т е в	2	3
27	то время как	2	3
28	другой стороны и	3	3
29	в этом случае	8	3
30	мы увидим что	2	3
31	можно сказать что	2	3
32	что и в	3	2
33	же как и	3	2
34	но тем не	2	2
35	таким образом и	2	2
36	не только в	3	2
37	в одном из	2	2
38	в этих случаях	13	2
