N	2gram	Kanaev_Sov	PoTuStor
1	может быть	12	17
2	и в	7	16
3	и пр	2	12
4	мы можем	6	9
5	в этом	7	9
6	таким образом	11	9
7	прежде всего	5	9
8	точки зрения	12	8
9	совершенно не	2	8
10	не может	17	8
11	не только	4	7
12	с точки	5	6
13	самом деле	2	6
14	и к	3	6
15	при этом	3	6
16	все эти	5	5
17	что такое	2	5
18	как бы	4	5
19	еще не	3	5
20	как мы	2	4
21	все это	3	4
22	в его	2	4
23	и не	6	4
24	и все	3	4
25	но в	3	4
26	с самого	3	4
27	в этой	3	4
28	но мы	3	4
29	и наконец	5	4
30	так как	4	4
31	в нем	3	4
32	в один	2	4
33	самого начала	3	4
34	отнюдь не	3	4
35	и даже	2	4
36	что в	2	3
37	жизни и	4	3
38	и потому	3	3
39	на этой	3	3
40	а в	4	3
41	в том	4	3
42	их в	4	3
43	в области	3	3
44	и есть	2	3
45	на две	3	3
46	могут быть	2	3
47	всяком случае	2	3
48	вместе с	4	3
49	в одном	3	3
50	на этом	2	3
51	мы знаем	2	3
52	во всяком	2	3
53	для нас	3	2
54	может иметь	2	2
55	мы видим	2	2
56	не можем	7	2
57	что это	2	2
58	и по	2	2
59	а на	2	2
60	не менее	2	2
61	и мы	3	2
62	было бы	3	2
63	не могут	2	2
64	можно назвать	2	2
65	то же	3	2
66	с этим	2	2
67	как и	6	2
68	говорить о	2	2
69	в науке	2	2
70	мы не	9	2
71	из этих	2	2
72	в самом	2	2
73	знаем что	2	2
74	у него	2	2
75	если мы	4	2
76	со всеми	2	2
77	в развитии	4	2
78	нет и	4	2
79	с помощью	4	2
80	между собой	3	2
