N	2gram	Bakhtin_Fr	VeschiIm
1	и не	34	57
2	не только	24	48
3	то что	7	48
4	не может	9	46
5	и в	105	45
6	может быть	11	39
7	потому что	6	25
8	было бы	4	24
9	не просто	3	24
10	в себе	7	23
11	только в	16	23
12	сказать что	12	22
13	в смысле	2	22
14	и следовательно	3	20
15	как бы	33	20
16	с нею	2	19
17	но и	20	19
18	есть только	3	18
19	все же	10	18
20	в этом	22	18
21	и это	3	17
22	прежде всего	26	17
23	так как	11	17
24	что мы	2	17
25	того что	3	16
26	таким образом	5	16
27	как раз	3	16
28	от всего	3	15
29	в том	17	15
30	как и	15	15
31	в ней	7	15
32	уже не	3	15
33	не в	4	14
34	но это	5	14
35	том что	9	13
36	а и	2	13
37	есть и	2	13
38	это и	3	13
39	и для	3	13
40	в самом	7	13
41	в себя	9	13
42	ничего не	3	12
43	совершенно не	5	12
44	что в	4	12
45	точки зрения	10	12
46	что и	2	12
47	что они	2	12
48	и как	2	12
49	то же	6	12
50	еще не	8	12
51	и даже	10	12
52	о том	5	12
53	и с	8	12
54	еще и	6	11
55	в то	5	11
56	не менее	2	11
57	что не	3	11
58	вовсе не	25	11
59	содержит в	2	11
60	и их	3	11
61	и пр	5	11
62	также и	3	11
63	в чем	2	10
64	с ее	3	10
65	это не	4	9
66	в своем	11	9
67	она не	2	9
68	другими словами	2	9
69	хотя бы	2	9
70	бы в	2	9
71	на то	2	9
72	но не	7	9
73	ни с	3	9
74	и его	24	9
75	с ним	6	9
76	в отношении	7	8
77	его в	7	8
78	и потому	14	8
79	что он	5	8
80	но в	16	8
81	в ее	5	8
82	себя и	2	8
83	все это	16	8
84	можно сказать	4	8
85	смысла и	2	8
86	по сравнению	2	8
87	в свете	3	8
88	для него	12	8
89	с другой	3	8
90	от того	2	7
91	из них	7	7
92	самом деле	3	7
93	а в	4	7
94	все эти	15	7
95	в сущности	20	7
96	относится к	4	7
97	можно только	5	7
98	есть именно	2	7
99	тем что	5	7
100	ни на	3	7
101	оно не	2	7
102	сравнению с	2	7
103	без всякого	3	7
104	никогда не	11	6
105	и все	7	6
106	в нем	16	6
107	между ними	4	6
108	в разных	2	6
109	и до	6	6
110	в своей	8	6
111	имени в	2	6
112	как мы	12	6
113	одна из	5	6
114	и вообще	5	6
115	можно было	4	6
116	дело в	2	6
117	с полной	3	6
118	быть только	3	6
119	и вещи	2	6
120	этот вопрос	2	6
121	их в	3	6
122	несмотря на	5	6
123	в той	5	6
124	жизни и	14	6
125	с точки	6	6
126	в одном	8	6
127	да и	5	5
128	мы должны	2	5
129	как к	3	5
130	себе в	2	5
131	точка зрения	3	5
132	даже и	5	5
133	и без	4	5
134	между прочим	2	5
135	мы находим	4	5
136	один из	5	5
137	мы видим	2	5
138	в его	24	5
139	хотя и	4	5
140	на это	2	5
141	в чисто	2	5
142	во всех	13	5
143	мысли и	4	5
144	об этом	2	5
145	и здесь	4	5
146	кроме того	2	5
147	в жизни	7	5
148	нет и	2	5
149	подобно тому	2	5
150	от всех	3	5
151	что для	3	5
152	все что	2	5
153	тому как	2	5
154	так же	2	4
155	к себе	3	4
156	в конце	3	4
157	отношение к	9	4
158	и у	7	4
159	в их	6	4
160	так и	16	4
161	в этой	11	4
162	его на	2	4
163	того чтобы	3	4
164	не было	3	4
165	тот же	4	4
166	во всяком	2	4
167	с ними	2	4
168	в основе	8	4
169	и от	3	4
170	есть в	6	4
171	и эта	5	4
172	и еще	5	4
173	к ней	2	4
174	мы можем	2	4
175	на него	2	4
176	в особенности	7	4
177	и вот	5	4
178	по своей	3	4
179	от всякого	3	4
180	и о	4	4
181	и более	4	4
182	что только	2	4
183	на этом	2	4
184	главным образом	6	4
185	еще более	6	4
186	говорит о	2	4
187	и чисто	5	4
188	же время	5	4
189	он не	3	4
190	и сам	2	4
191	собственном смысле	3	4
192	явления как	2	3
193	но как	3	3
194	не является	4	3
195	человека и	4	3
196	но даже	2	3
197	в другом	2	3
198	и эти	2	3
199	но именно	4	3
200	только на	3	3
201	в частности	6	3
202	и ни	4	3
203	по существу	2	3
204	мы видели	3	3
205	к нему	5	3
206	только с	3	3
207	к тому	3	3
208	не понимает	4	3
209	и само	2	3
210	в отрыве	2	3
211	одной стороны	2	3
212	понимания и	4	3
213	нельзя сказать	2	3
214	в целом	3	3
215	и во	6	3
216	той или	5	3
217	своего существования	2	3
218	в истории	5	3
219	могла бы	2	3
220	в собственном	4	3
221	применении к	3	3
222	превращается в	6	3
223	жизни в	8	3
224	для того	2	3
225	как в	6	3
226	ни к	2	3
227	с одной	2	3
228	но все	5	3
229	у него	2	3
230	чем мы	2	3
231	в своих	8	3
232	в самой	5	3
233	выражение в	5	3
234	из которых	2	3
235	и она	2	3
236	на язык	2	3
237	бы ни	2	3
238	из основных	2	3
239	перестает быть	3	3
240	или в	2	3
241	отношения к	5	3
242	не к	2	3
243	этих двух	2	3
244	отрыве от	3	3
245	мы будем	4	3
246	мы уже	18	3
247	но он	5	3
248	не о	2	2
249	в свой	2	2
250	как ее	2	2
251	свое время	5	2
252	к этим	2	2
253	о чем	3	2
254	еще раз	4	2
255	в это	2	2
256	то есть	71	2
257	наряду с	2	2
258	здравого смысла	2	2
259	и прежде	4	2
260	и выражения	2	2
261	в виду	5	2
262	но эта	2	2
263	на все	5	2
264	в свое	6	2
265	и со	3	2
