N	3gram	Vygotskiy_	Morfolog
1	и т д	6	60
2	мы видим что	7	11
3	не может быть	3	9
4	с точки зрения	11	6
5	мы увидим ниже	2	6
6	с другой стороны	5	5
7	как мы увидим	2	5
8	на самом деле	3	4
9	в том что	20	4
10	к тому что	5	4
11	образом мы видим	2	4
12	о том что	8	3
13	то время как	3	3
14	в том случае	4	3
15	состоит в том	2	3
16	в то время	4	3
17	для того чтобы	17	3
18	на то что	16	3
19	том случае если	4	2
20	во всяком случае	6	2
21	то что в	5	2
22	мы увидим что	9	2
23	в данном случае	5	2
24	точно так же	3	2
25	о том как	3	2
26	а вовсе не	2	2
27	можно было бы	6	2
28	говорить о том	3	2
29	с одной стороны	6	2
